区分,山岳トンネル（在来工法）箇所数(か所),山岳トンネル（在来工法）割合(％),山岳トンネル（NATM）箇所数(か所),山岳トンネル（NATM）割合(％),開削トンネル箇所数(か所),開削トンネル割合(％)
現在（平成26年）供用開始50年未満,21,50,23,100,55,98
現在（平成26年）供用開始50以上,21,50,0,0,1,1
30年後（平成56年）供用開始50年未満,0,0,16,70,26,46
30年後（平成56年）供用開始50以上,42,100,7,30,30,54
