路線名（通称）,箇所
環状第４号線(東向島地区),墨田区東向島四丁目～同区八広一丁目?
補助第１２０号線（八広はなみずき通り）,墨田区八広四丁目～同区八広六丁目、東向島六丁目
補助第２７７号線,葛飾区東水元一丁目～同区東水元二丁目
放射第３２号線（四ツ目通り）,墨田区押上三丁目～同区京島一丁目、二丁目、三丁目
補助第１４２号線（千葉街道）,江戸川区南小岩五丁目～同区東小岩四丁目
補助第１４３号線（柴又街道）,江戸川区東小岩五丁目、六丁目～同区南小岩八丁目/葛飾区柴又四丁目～同区柴又七丁目
補助第１４４号線,江戸川区平井二丁目/江東区東砂五丁目～同区東砂六丁目
国道１４号・菅原橋（自転車歩行者道）,?江戸川区中央三丁目～同区本一色二丁目
