区分/年別,明43.8(1910),大6.10(1917),昭13.8・9(1938),昭22.9(1947),昭23.9(1948),昭24.8・9(1949),昭33.7(1958),昭33.9(1958),昭36.10(1961),昭41.6(1966),昭46.8(1971),昭51.9(1976),昭53.4(1978),昭54.10(1979),昭56.7(1981),昭56.10(1981),昭57.9(1982),昭57.11(1982),昭60.7(1985),平元.7・8(1989),平3.9(1991),平5.8(1993),平11.8(1999)
災害種別,暴風雨/（洪水）,暴風雨/（高潮）,暴風雨/（高潮）,カスリーン台風/（洪水）,アイオン台風/（洪水）,キティ台風/（高潮）,第11号台風/（高潮）,第22号台風/（洪水）/狩野川,第24号台風/（高潮）,第4号台風/（豪雨洪水）,第23号台風,第17号台風/（洪水）,集中豪雨/（洪水）,第20号台風/（洪水）,集中豪雨/（洪水）,第24号台風/（洪水）,第18号台風/（洪水）,集中豪雨/（洪水）,集中豪雨/（洪水）,集中豪雨/（洪水）,第18号台風/（洪水）,第11号台風/（洪水）,集中豪雨/（洪水）
気圧(ヘクトパスカル),995.2,952.7,978.6,992.5,972.0,985.9,946.1,970.7,965.0,981.9,986.2,,,976.1,,968.6,965.0,,,,980.0,965.0,
時間最大雨量(m/h),45.1,16.5,30.2,34.7,38.8,12.6,17.9,76.0,48.1,30.0,48.0,65.0,62.0,47.0/大島48.5,80.0,51.0/大島84.5,65.0,530,91.0,70.0,60.0,76.0,115.0
総雨量(mm),283.9/（7～11日）,161.6/（28～1日）,144.4/（31～1日）,166.8/（13～15日）,158.0/（15～16日）,64.9/（31～1日）,108.5/（22～23日）,444.1/（22～27日）,162.3/（9～11日）,235.0/（27～28日）,205.5/(30～31日),220.0/（8～9日）,100.0/（6日）,120/（17～19日）/大島255.0,86.0/（22日）,204.0/（22～23日）/大島403.5,289.0/（11～12日）,78.0/（30日）,96.0/（14日）,276.0/（31～1日）,289.0/（18～19日）,294.0/（26～28日）,125.0/（29日）
風向・最大風速(m/s),NW9.9,SSE39.6,S31.0/(S46.7),NW15.0,NNW18.7/(-25.4),ESE24.9/(S30.7),S28.8/(S36.5),WNW20.5/(WNW26.5),NNW14.8,N15.5/(N28.3),N110/(E19.0),,,S17.5/(S38.2),,NNW14.4/(NNE28.8),NNE35.0,,,,,WNW35.0/(N35.0),
潮位(A.P.m),,4.21,2.89,2.50,2.65,3.15,2.89,2.91,2.39,,,,,3.55,,,2.67,,,,,,
浸水面積(km2),201.43,86.60,77.90,114.32,28.64,95.01,29.46,211.03,32.37,87.62,7.14,3.83,2.29,1.47,4.70,19.59,16.16,5.87,2.62,0.82,1.78,3.42,154
床上浸水家屋(戸),133307,131334,42867,80041,529,73751,13459,123626,4949,16159,561,2190,2081,180,3074,6854棟,7574,1012,1588,1929,561,2454,2900
床下浸水家屋(戸),44750,49004,65703,45157,16516,64127,22970,340404,89848,86737,9906,6022,4863,1550,10588,35167棟,16712,5232,8052,2755,3120,5079,2193
死者(人),45,509,7,6,1,18,3,36,1,2,2,0,2,6,0,,0,0,0,0,0,0,0
傷者(人),117,961,27,3,22,104,130,164,4,1,2,,,93,,1,,,,,,,
行方不明(人),7,54,4,2,1,,,3,,6,,,,,,,,,,,,,
損害家屋流失(戸),,999,7,40,2,,,42,2,,,,,,,,,,,,,,
損害家屋全壊(戸),,258,395,70,76,896,18,330,1,25,,,2,33,,1,2,,,,,,
損害家屋半壊(戸),,4716,1091,81,158,233,50,590,7,24,5,,1,345,,1,1,,,,,,
損害家屋破損流失(戸),27594,,,,,,367,,,,,,,,,,,,,,,,
損害家屋一部破損(戸),,,,,,,,,,135,,,,1444,,5,,,,,,,
