調査地点,合計,石油運搬船,曳舟,水上バス,官庁戦,はしけ,工事船,屋形船,釣船・漁船,その他
岩瀬,45,28,10,0,2,1,0,0,0,4
千住,142,60,40,2,2,21,1,2,2,12
新川,324,65,82,45,27,28,20,31,11,15
竹芝,292,59,46,58,51,8,21,3,17,19
