名称,路線名,設置個所,延長（m）,備考
昭島つつじが丘立体,（一162）三ツ木八王子線,昭島市つつじが丘三,35.0,排水場、警報装置
芝山立体,（主40）さいたま東村山線,清瀬市元町二,50.0,排水場、警報装置
玉川上水立体,（主43）立川東大和線,立川市幸町六,225.0,排水場、警報装置
立川立体,（主16）立川所沢線,立川市曙町一,44.0,排水場、警報装置
松原立体,（一220）昭島停車場熊川線,昭島市松原町一,44.0,排水場、警報装置
立川共同溝,（主43）立川東大和線,立川市高松町一,2576.0,排水場、警報装置
美住歩行者トンネル,（主5）新宿青梅線,東村山市美住町二,11.0,
美住陸橋下地下歩道,（一253）保谷狭山自動車道,東村山市美住町一,34.2,
武蔵大和トンネル,（一253）保谷狭山自動車道,東大和市清水二,35.0,
小平グリーンロード立体,（一248）府中小平線,小平市天神町二,56.5,警報装置
中神立体,（主59）八王子武蔵村山線,昭島市玉川町二,29.5,警報装置
殿ヶ谷戸立体,（一133）小川山府中線,国分寺市南町一,17.3,警報装置
清瀬立体,（主40）さいたま東村山線,清瀬市松山一,64.0,排水場、警報装置
谷保地下歩道,（一256）八王子国立線,国立市谷保,20.0,
