番号,渓流名,市町村名
1,落沢,奥多摩町
2,オチ沢,奥多摩町
3,小袖川,奥多摩町
4,シダクラ沢,奥多摩町
5,平沢,奥多摩町
6,橋沢,奥多摩町
7,蛇沢,奥多摩町
8,ボウズ谷,奥多摩町
9,水久保沢,奥多摩町
10,水根沢谷,奥多摩町
11,峰谷川,奥多摩町
12,モクボ谷,奥多摩町
13,ヤツネヤ谷,奥多摩町
14,くき沢,奥多摩町
15,海沢川,奥多摩町
16,オウカワ沢,奥多摩町
17,大沢,奥多摩町
18,小川谷,奥多摩町
19,カラ沢,奥多摩町
20,唐松谷,奥多摩町
21,小中沢,奥多摩町
22,孫惣谷,奥多摩町
23,タル沢,奥多摩町
24,寺地沢,奥多摩町
25,栃寄川,奥多摩町
26,日原川,奥多摩町
27,日陰名栗沢,奥多摩町
28,大沢川,青梅市
29,琴沢入川,青梅市
30,払沢,青梅市
31,平溝川,青梅市
32,越沢,奥多摩町
33,大丹波川,奥多摩町
34,西川,奥多摩町
35,松沢,奥多摩町
36,峰入川,奥多摩町
37,鯉川,あきる野市
38,大荷田川,青梅市
39,岨端川,青梅市
40,多摩川,青梅市、あきる野市
41,浅間沢,青梅市、羽村市
42,養沢川,あきる野市
43,子の神沢,奥多摩町
44,棚沢川,奥多摩町
45,盆堀川,あきる野市
46,南秋川,檜原村
47,北秋川,檜原村
48,秋川,あきる野市
49,一ノ谷,あきる野市
50,二ノ谷,あきる野市
51,黒沢川,青梅市
52,小布市川,青梅市
53,滝本川,青梅市
54,長沢,青梅市
55,北大久野川,日の出町
56,平井川,日の出町
57,三ノ谷,あきる野市
58,刈寄川,あきる野市
59,氷沢川,あきる野市
60,深沢川,あきる野市
61,二本竹川,青梅市
62,喜代沢,青梅市
63,鳶巣川,青梅市
64,足下田川,日の出町
65,玉の内川,日の出町
66,二ツ塚川,日の出町
67,神明沢,青梅市
68,幸神川,日の出町
69,羽生沢,日の出町
70,八雲沢,奥多摩町
71,坂沢,あきる野市
72,樽沢,あきる野市
73,白倉入沢,日の出町
74,谷戸川,日の出町
75,矢越沢,日の出町
76,滝ノ沢,奥多摩町
77,唐沢,あきる野市
78,大入川,日の出町
79,花水川,青梅市
80,坂本川,日の出町
81,水穴沢,あきる野市
82,町屋川,青梅市
83,谷久保沢,青梅市
84,吉野川,青梅市
85,大蔵沢,奥多摩町
86,塩ノ沢,奥多摩町
87,三頭沢,檜原村
88,十二天沢,奥多摩町
89,喜代沢支川,青梅市
90,中曽川,青梅市
