地域,在来工法山岳トンネル(箇所),NATM山岳トンネル(箇所),山岳トンネル(箇所),開削トンネル(箇所),計(箇所)
区分,0,0,,32,32
多摩部,30,15,,24,69
島しょ部,12,8,,0,20
合計,42,23,65,56,121
