年度,施工後都施工分(添加量200kg/m3),施工後都施工分(添加量200kg/m3)1ブロック(kN/m2),施工後都施工分(添加量200kg/m3)2ブロック(kN/m2),施工後都施工分(添加量200kg/m3)3ブロック(kN/m2),施工後都施工分(添加量200kg/m3)4ブロック(kN/m2),施工後国施工分,施工後国施工分添加量120(kg/m3)(kN/m2),施工後国施工分添加量200(kg/m3)(kN/m2)
17,施工時（28日後）,286,400,716,866,施工時（28日後）,280,395
17,施工年,,,,,施工270日後,601,749
18,施工半年後,574,1268,861,1089,,,
18,施工1年後,592,1576,1099,1384,施工630日後,340,1320
19,施工2年後,446,1545,1103,1467,施工1000日後,1185,942
20,施工3年後,534,1474,629,1106,施工1350日後,257,649
21,施工4年後,333,845,577,1096,施工1710日後,754,295
22,施工5年後,386,526,146,476,施工2020日後,1536,684
23,施工6年後,420,2302,1380,1807,,439,176
