"年度","区分","18歳未満[人]","18歳以上[人]"
"2013","合計","190","505"
"2014","合計","207","529"
"2015","合計","232","542"
"2016","合計","241","562"
"2017","１度","14","30"
"2017","２度","68","184"
"2017","３度","58","156"
"2017","４度","115","195"
"2017","合計","255","565"

"平成30年度港区行政資料集　愛の手帳所持者数","Ver201803",,
