年,西暦（年）,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
昭和57年平均/前年比（％）,1982,3.1,3.1,2.2,2.8,2.5,6.9,0.8,3.6,2.2,5.6,6.3,2,2
昭和58年平均/前年比（％）,1983,2.1,2,2,2.7,3.5,-0.3,-0.3,2.3,1.4,-0.7,5.1,3,4.5
昭和59年平均/前年比（％）,1984,2.5,2.7,2.9,2.4,3.5,1,0.6,3.1,3.4,1.7,4.3,2.5,2.1
昭和60年平均/前年比（％）,1985,2.4,2.3,1.8,3.2,3.1,0.3,0.5,3.6,6.2,2.6,4.9,1.9,1.1
昭和61年平均/前年比（％）,1986,0.9,0.7,0.1,2.1,1.7,-5,0.4,3,2,-0.2,3.8,1.9,1.8
昭和62年平均/前年比（％）,1987,0.4,0.1,-0.3,2.8,2.8,-7.3,-0.4,-0.5,2.1,0.8,3.5,1,1.3
昭和63年平均/前年比（％）,1988,1,1,1.2,1.7,2.1,-1.9,-0.5,1.4,0.2,-0.2,3.7,1.3,0.9
平成元年平均/前年比（％）,1989,2.7,2.6,2.8,3.2,3.2,-1,0.7,5.5,1.3,1.1,3.1,3.6,1.6
平成2年平均/前年比（％）,1990,3,3.2,4.3,3,3.5,0.6,0,3.8,0.6,1,4.4,4.1,1.6
平成3年平均/前年比（％）,1991,3.3,3.3,4.6,3.4,3.7,0.7,0.8,6.2,1,0.8,3.5,2.8,1.9
平成4年平均/前年比（％）,1992,1.9,1.7,0.6,3.3,3.9,0,1.2,2.5,2.7,2.4,3.5,2.7,1.3
平成5年平均/前年比（％）,1993,1.2,0.9,1,3.5,2.4,-0.2,-0.8,-2.1,0.4,0.1,3.5,1.9,1.6
平成6年平均/前年比（％）,1994,0.7,0.4,0.8,2.2,1.4,1,-2.6,-2.3,0.4,-0.6,3.1,0.9,1.1
平成7年平均/前年比（％）,1995,-0.3,-0.3,-1.4,0.4,1.3,1.6,-1.8,-0.8,0.6,1.4,2.3,-1.5,0.7
平成8年平均/前年比（％）,1996,0,0,-0.2,-0.2,0,-0.8,-2.9,1,0.8,0.8,2.6,-0.9,0.5
平成9年平均/前年比（％）,1997,1.3,1.5,1.6,0.6,0.1,3.3,-1.1,1.5,5.2,0.3,1.6,1.6,2
平成10年平均/前年比（％）,1998,0.8,0.9,1.5,0.2,-0.2,-0.8,-1.9,2.1,8.1,-1.1,1.6,0.2,1.2
平成11年平均/前年比（％）,1999,-0.4,-0.7,-0.9,0.2,-0.4,-1.1,-1.4,-1.4,-0.8,-0.2,1.4,-0.9,0.2
平成12年平均/前年比（％）,2000,-1,-1,-2.1,-0.8,-0.6,0.9,-2.4,-0.6,-0.9,-0.4,1.1,-1,-0.5
平成13年平均/前年比（％）,2001,-1.1,-0.9,-0.5,-1.6,-0.7,0,-3.7,-1.6,0.5,-1.1,0.8,-2.9,0
平成14年平均/前年比（％）,2002,-1,-1,-0.6,-0.9,-0.6,-2.2,-4.2,-1.9,-1.1,-0.3,1.2,-2.1,-0.1
,,,,,,,,,,,,,,
東京の物価／平成１５年２月,,,,,,,,,,,,,,
３．東京都区部消費者物価１０大費目指数（対前年上昇率）,,,,,,,,,,,,,,
前年比（％）,,,,,,,,,,,,,,
