年次,Year,国宝・重要文化財 National treasures and important cultural properties／総数 Total 1),国宝・重要文化財 National treasures and important cultural properties／美術工芸品 Fine arts and crafts／絵画 Paintings,国宝・重要文化財 National treasures and important cultural properties／美術工芸品 Fine arts and crafts／彫刻 Sculptures,国宝・重要文化財 National treasures and important cultural properties／美術工芸品 Fine arts and crafts／工芸品 Applied crafts,国宝・重要文化財 National treasures and important cultural properties／美術工芸品 Fine arts and crafts／書跡・典籍・古文書 Calligraphy， books and ancient documents,国宝・重要文化財 National treasures and important cultural properties／美術工芸品 Fine arts and crafts／考古・歴史資料 Archaeological artifacts and historical resources  ,国宝・重要文化財 National treasures and important cultural properties／建造物 Structures／件数 Number of structures,国宝・重要文化財 National treasures and important cultural properties／建造物 Structures／棟数 Number of buildings ,国宝 National treasures 2)／計 Total,国宝 National treasures 2)／絵画 Paintings,国宝 National treasures 2)／彫刻 Sculptures,国宝 National treasures 2)／工芸品 Applied crafts,国宝 National treasures 2)／書跡・典籍・古文書 Calligraphy， books and ancient documents,国宝 National treasures 2)／考古・歴史資料 Archaeological artifacts and historical resources  ,国宝 National treasures 2)／建造物 Structures,史跡名勝天然記念物  Historic sites， places of scenic beauty and natural monuments／史跡 Historic sites,史跡名勝天然記念物  Historic sites， places of scenic beauty and natural monuments／史跡 Historic sites／特別  Specially designated 2),史跡名勝天然記念物  Historic sites， places of scenic beauty and natural monuments／名勝 Places of scenic beauty,史跡名勝天然記念物  Historic sites， places of scenic beauty and natural monuments／名勝 Places of scenic beauty／特別  Specially designated 2),史跡名勝天然記念物  Historic sites， places of scenic beauty and natural monuments／天然記念物 Natural monuments,史跡名勝天然記念物  Historic sites， places of scenic beauty and natural monuments／天然記念物 Natural monuments／特別  Specially designated 2),重要有形民俗文化財 Important tangible folk cultural properties,重要無形民俗文化財 Important intangible folk cultural properties,重要無形文化財 Important intangible cultural properties／各個認定 Individual recognition／芸能 Performing arts,重要無形文化財 Important intangible cultural properties／各個認定 Individual recognition／工芸技術 Craft techniques,重要無形文化財 Important intangible cultural properties／保持団体等認定 Group recognition／芸能 Performing arts,重要無形文化財 Important intangible cultural properties／保持団体等認定 Group recognition／工芸技術 Craft techniques,重要伝統的建造物群保存地区 Preservation districts for groups of important traditional buildings
平成24,2012,2714,605,208,743,846,240,72,116,276,63,2,93,101,15,2,43,1,7,1,14,1,8,6,39,9,9,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-13  国指定の文化財及び記念物の件数 (平成24年12月1日) 17-13  CULTURAL PROPERTIES AND MONUMENTS DESIGNATED BY THE NATIONAL GOVERNMENT ( Dec.1，2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注 1) 建造物の棟数は除く。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) 主要な項目に関して内数で掲げたことを示す。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 1) Excludes the number of buildings within a structure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Figures included in the numbers for main items.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：文化庁｢文化財指定等の件数」（ホームページ） Source: Agency for Cultural Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
