年度,Fiscal year,開園日数 Number of open days,入園人員 Number of  visitors／総数 Total,入園人員 Number of  visitors／有料 Paid／総数 Total,入園人員 Number of  visitors／有料 Paid／普通 General／大人 Adults,入園人員Number of  visitors／有料 Paid／普通 General／中学生 Junior high school students,入園人員 Number of  visitors／有料 Paid／団体 Group／大人 Adults,入園人員 Number of  visitors／有料 Paid／団体 Group／中学生 Junior high school students,入園人員 Number of  visitors／無料 Free,入園人員 Number of  visitors／1日平均 Daily average
平成21,2009,312,708426,556141,537042,99,19000,-,152285,2271
平成22,2010,317,802341,629586,605977,271,23322,16,172755,2531
平成23,2011,318,735472,402335,378497,176,23500,162,333137,2313
,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-18  東京都立動物園等の状況 (5) 神代植物公園 (平成21～平成23年度) 17-18  STATUS OF TOKYO METROPOLITAN ZOOLOGICAL GARDENS， ETC. (5) JINDAI BOTANICAL PARK ( Fiscal Years 2009-2011 ),,,,,,,,,,
資料：公益財団法人東京都公園協会神代植物公園 Source: Tokyo Metropolitan Jindai Botanical Park,,,,,,,,,,
