年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high ／ senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成21,2009,0,総数 ,Total,,,4592,3,32,2330650,1213135,1117515,…,143252,…
平成22,2010,0,総数 ,Total,,,4580,2,40,2346692,1220885,1125807,…,144490,…
平成23,2011,0,総数 ,Total,,,4548,2,42,2326577,1209559,1117018,…,146208,…
平成23,2011,0,総数 ,Total,小学校,Elementary schools,1367,-,-,592192,302864,289328,36185,31877,4308
平成23,2011,0,総数 ,Total,中学校,Junior high schools,819,1,19,311982,157266,154716,27732,19055,8677
平成23,2011,0,総数 ,Total,高等学校,Senior high schools,434,1,15,313779,154369,159410,29511,18750,10761
平成23,2011,0,総数 ,Total,中等教育学校,Secondary education schools,8,-,8,5319,2532,2787,653,444,209
平成23,2011,0,総数 ,Total,大学,Colleges and universities,139,-,-,716882,407106,309776,113723,48598,65125
平成23,2011,0,総数 ,Total,短期大学,Junior colleges,46,-,-,19858,1647,18211,4551,1100,3451
平成23,2011,0,総数 ,Total,高等専門学校,Colleges of technology,3,-,-,3373,3058,315,…,265,…
平成23,2011,0,総数 ,Total,特別支援学校,Special needs schools,69,-,-,11592,7503,4089,6275,5723,552
平成23,2011,0,総数 ,Total,幼稚園,Kindergartens,1051,-,-,171769,86920,84849,12303,10695,1608
平成23,2011,0,総数 ,Total,高等学校通信制,Senior high school correspondence course,13,-,-,14255,7727,6528,1126,306,820
平成23,2011,0,総数 ,Total,専修学校,Specialized training schools,431,-,-,142547,68002,74545,23911,7733,16178
平成23,2011,0,総数 ,Total,各種学校,Miscellaneous schools,168,-,-,23029,10565,12464,3377,1662,1715
平成23,2011,1,国立 ,National,総数,Total,41,-,2,88138,57769,30369,…,9117,…
平成23,2011,1,国立 ,National,小学校,Elementary schools,6,-,-,4292,2143,2149,222,176,46
平成23,2011,1,国立 ,National,中学校,Junior high schools,6,-,-,2799,1519,1280,298,138,160
平成23,2011,1,国立 ,National,高等学校,Senior high schools,6,-,-,3378,1932,1446,402,205,197
平成23,2011,1,国立 ,National,中等教育学校,Secondary education schools,2,-,2,1277,588,689,155,96,59
平成23,2011,1,国立 ,National,大学,Colleges and universities,12,-,-,74429,50190,24239,14839,8171,6668
平成23,2011,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成23,2011,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,1025,926,99,…,77,…
平成23,2011,1,国立 ,National,特別支援学校,Special needs schools,4,-,-,465,243,222,277,225,52
平成23,2011,1,国立 ,National,幼稚園,Kindergartens,2,-,-,396,200,196,30,21,9
平成23,2011,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,-,-,-,-,-,-,-
平成23,2011,1,国立 ,National,専修学校,Specialized training schools,2,-,-,77,28,49,110,8,102
平成23,2011,1,国立 ,National,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成23,2011,1,公立 ,Public,総数,Total,2405,2,32,969047,502672,466375,…,61960,…
平成23,2011,1,公立 ,Public,小学校,Elementary schools,1308,-,-,561329,290049,271280,34158,30302,3856
平成23,2011,1,公立 ,Public,中学校,Junior high schools,626,1,15,229483,120635,108848,18498,14669,3829
平成23,2011,1,公立 ,Public,高等学校,Senior high schools,191,1,11,134864,66854,68010,12198,9313,2885
平成23,2011,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,6,4042,1944,2098,498,348,150
平成23,2011,1,公立 ,Public,大学,Colleges and universities,5,-,-,9658,6485,3173,1544,741,803
平成23,2011,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成23,2011,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,1601,1511,90,…,133,…
平成23,2011,1,公立 ,Public,特別支援学校,Special needs schools,61,-,-,10893,7123,3770,5878,5396,482
平成23,2011,1,公立 ,Public,幼稚園,Kindergartens,195,-,-,13628,7047,6581,1103,865,238
平成23,2011,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,-,1701,792,909,82,46,36
平成23,2011,1,公立 ,Public,専修学校,Specialized training schools,9,-,-,1848,232,1616,820,147,673
平成23,2011,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成23,2011,1,私立 ,Private,総数,Total,2102,-,8,1269392,649118,620274,…,75131,…
平成23,2011,1,私立 ,Private,小学校,Elementary schools,53,-,-,26571,10672,15899,1805,1399,406
平成23,2011,1,私立 ,Private,中学校,Junior high schools,187,-,4,79700,35112,44588,8936,4248,4688
平成23,2011,1,私立 ,Private,高等学校,Senior high schools,237,-,4,175537,85583,89954,16911,9232,7679
平成23,2011,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,-,-,-,-,-,-,-
平成23,2011,1,私立 ,Private,大学,Colleges and universities,122,-,-,632795,350431,282364,97340,39686,57654
平成23,2011,1,私立 ,Private,短期大学,Junior colleges,46,-,-,19858,1647,18211,4551,1100,3451
平成23,2011,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,747,621,126,…,55,…
平成23,2011,1,私立 ,Private,特別支援学校,Special needs schools,4,-,-,234,137,97,120,102,18
平成23,2011,1,私立 ,Private,幼稚園,Kindergartens,854,-,-,157745,79673,78072,11170,9809,1361
平成23,2011,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,10,-,-,12554,6935,5619,1044,260,784
平成23,2011,1,私立 ,Private,専修学校,Specialized training schools,420,-,-,140622,67742,72880,22981,7578,15403
平成23,2011,1,私立 ,Private,各種学校,Miscellaneous schools,168,-,-,23029,10565,12464,3377,1662,1715
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
