年度,Fiscal year,開館日数 Number of open days,備付品数 (年度末) Number of works (End of fiscal year)／総数 Total,備付品数 (年度末) Number of works (End of fiscal year)／絵画 Paintings,備付品数 (年度末) Number of works (End of fiscal year)／版画 Prints,備付品数 (年度末) Number of works (End of fiscal year)／彫刻 Sculptures,備付品数 (年度末) Number of works (End of fiscal year)／工芸 Crafts,備付品数 (年度末) Number of works (End of fiscal year)／その他 Others,観覧人員 Visitors
平成21,2009,300,4636,389,3812,101,10,324,1288201
平成22,2010,283,4696,401,3825,101,10,359,572900
平成23,2011,305,4727,401,3852,101,10,363,1246430
,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-11  国立博物館及び美術館 (2) 国立西洋美術館 (平成21～23年度) 17-11  NATIONAL MUSEUM (2) THE NATIONAL MUSEUM OF WESTERN ART ( Fiscal Years 2009-2011 ),,,,,,,,,
資料：国立西洋美術館 Source: The National Museum of Western Art　　,,,,,,,,,
