年度,Fiscal year,貸切使用回数 Group use (number of times)／メインプール Main pool(回 times),貸切使用回数 Group use (number of times)／サブプール Sub pool(回 times),貸切使用回数 Group use (number of times)／ダイビングプール Diving pool(回 times),貸切使用回数 Group use (number of times)／会議室 Conference room(回 times),一般公開利用者数 Number of individual users／プール(メイン・サブ・ダイビング)  Pools (Main-Sub-Diving) (人 persons),スポーツ教室等 Sports programs， etc.／回数 Times held(回 times),スポーツ教室等 Sports programs， etc.／人数 Participants(人 persons)
平成21,2009,12702,6594,782,2870,34287,411,50121
平成22,2010,13498,6809,741,3080,29221,242,28597
平成23,2011,10718,5533,681,1948,27919,254,14419
,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,
17-17  東京都立体育施設の利用状況 (4) 東京辰巳国際水泳場 (平成21～23年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (4) TOKYO TATSUMI INTERNATIONAL SWIMMING CENTER  ( Fiscal Years 2009-2011 ),,,,,,,,
資料：スポーツ振興局スポーツ事業部調整課 Source: Bureau of Sports， TMG,,,,,,,,
