年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成21,2009,総数,Total,100672,50645,50027,1079,73527,26066
平成22,2010,総数,Total,105682,53043,52639,943,77331,27408
平成23,2011,総数,Total,102110,51403,50707,941,74271,26898
平成23,2011,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,100149,50299,49850,940,72508,26701
平成23,2011,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,93495,46412,47083,938,66034,26523
平成23,2011,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,3873,2111,1762,-,3838,35
平成23,2011,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,1289,657,632,1,1158,130
平成23,2011,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,2,1,1,-,2,-
平成23,2011,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
平成23,2011,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
平成23,2011,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
平成23,2011,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,479,422,57,1,468,10
平成23,2011,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1011,696,315,-,1008,3
平成23,2011,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,-,-,-,-,-,-
平成23,2011,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),400,216,184,-,362,38
平成23,2011,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,174,84,90,-,167,7
平成23,2011,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,44,43,1,-,43,1
平成23,2011,(E)就職者,(E)Employed,309,236,73,-,308,1
平成23,2011,(F)上記以外の者,(F)Persons other than the above,1025,520,505,1,878,146
平成23,2011,(G)不詳・死亡,(G)Unknown or deceased,9,5,4,-,5,4
平成23,2011,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,54,36,18,-,52,2
平成23,2011,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,51,35,16,-,49,2
平成23,2011,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,3,1,2,-,3,-
平成23,2011,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,-,-,-,-,-,-
平成23,2011,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-
平成23,2011,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,4091,2711,1380,54,3496,541
,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成21～23年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2009-2011 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
