地域階層,地域コード,項番 Item number,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数　Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
0,13000,,総数,Tokyo-to,,11217,76078207,80,19613643,7606,35451857,2,1720000,6,4124685,39,7894239,3237,2709553,12,3541760,235,1022471
1,13100,,区部,All ku,,5905,40134827,48,10109412,3930,16846081,1,67000,-,-,39,7894239,1731,1283404,11,3532661,145,402030
2,13101,1,千代田区,Chiyoda-ku,,53,1702766,1,161637,22,104410,-,-,-,-,-,-,25,7016,5,1429703,-,-
2,13102,2,中央区,Chuo-ku,,94,617229,1,250216,54,326279,-,-,-,-,1,25510,36,11800,-,-,2,3424
2,13103,3,港区,Minato-ku,,116,1382777,4,234105,46,259367,-,-,-,-,3,541119,60,81508,1,263716,2,2962
2,13104,4,新宿区,Shinjuku-ku,,182,1166212,2,215617,176,350991,-,-,-,-,-,-,1,3983,2,593011,1,2609
2,13105,5,文京区,Bunkyo-ku,,115,550757,2,158657,42,200409,-,-,-,-,-,-,70,30905,1,160787,-,-
2,13106,6,台東区,Taito-ku,,75,771305,2,556742,49,192133,-,-,-,-,-,-,24,22430,-,-,-,-
2,13107,7,墨田区,Sumida-ku,,144,780608,3,133593,139,638255,-,-,-,-,-,-,-,-,-,-,2,8760
2,13108,8,江東区,Koto-ku,,304,4263814,6,1139437,165,996523,1,67000,-,-,17,1945051,91,32821,-,-,24,82983
