国公立図書館階層,区分,Classification,館数 Number of libraries,資料費( 平成23年度予算 ) Materials expenditure ( FY2011 budget )( 千円 thousand yen ),蔵書数 Number of books,館外貸出図書点数 (年度中) Number of books lent out ( during the fiscal year )
0,総数,Total,385,7152303,57309893,115765034
1,国立国会図書館,National Diet Library,1,2414118,9887050,60838
2,東京本館,Tokyo Main Library,-,…,6459282,20402
2,国会分館,Detached Library in the Diet,-,…,-,22786
2,関西館,Kansai-kan,-,…,3025178,5567
2,国際子ども図書館,International Library of  Children's Literature,-,…,326430,12083
1,都立,Metropolitan,2,319728,2427216,-
2,中央,Central,1,-,1810036,-
2,多摩,Tama,1,-,617180,-
1,区市町村立,Municipal,382,4418457,44995627,115704196
2,千代田区,Chiyoda-ku,5,72632,452643,683281
2,中央区,Chuo-ku,3,62655,659191,1507279
2,港区,Minato-ku,7,158351,878616,2465339
2,新宿区,Shinjuku-ku,10,133218,882661,2393067
2,文京区,Bunkyo-ku,11,107852,1062739,3781603
2,台東区,Taito-ku,4,61188,555709,1705013
2,墨田区,Sumida-ku,5,59293,647131,1222779
2,江東区,Koto-ku,10,168745,1453699,4606172
2,品川区,Shinagawa-ku,10,207198,1007470,3326590
2,目黒区,Meguro-ku,8,80000,1154864,4422963
2,大田区,Ota-ku,16,211134,1729018,5407624
2,世田谷区,Setagaya-ku,16,173304,1973928,6364690
2,渋谷区,Shibuya-ku,10,86765,876931,1655595
2,中野区,Nakano-ku,8,74831,952552,2159641
2,杉並区,Suginami-ku,13,204606,2308919,4935410
2,豊島区,Toshima-ku,7,75059,733555,2211727
2,北区,Kita-ku,14,191533,1254698,4109098
2,荒川区,Arakawa-ku,5,87554,702126,2009675
2,板橋区,Itabashi-ku,11,86665,1332972,3499212
2,練馬区,Nerima-ku,12,223388,1660048,6694110
2,足立区,Adachi-ku,16,147527,1772791,3571269
2,葛飾区,Katsushika-ku,12,111764,1201058,3730254
2,江戸川区,Edogawa-ku,12,222945,1383027,5455212
2,八王子市,Hachioji-shi,4,77576,1590560,2943936
2,立川市,Tachikawa-shi,9,71110,876041,1811340
2,武蔵野市,Musashino-shi,3,91904,793110,2226271
2,三鷹市,Mitaka-shi,5,63044,641058,1578190
2,青梅市,Ome-shi,12,45719,574492,1071482
2,府中市,Fuchu-shi,13,100000,1351795,2576187
2,昭島市,Akishima-shi,5,34716,404554,678389
2,調布市,Chofu-shi,11,160926,1273946,2755056
2,町田市,Machida-shi,6,98995,1038963,4264718
2,小金井市,Koganei-shi,3,43386,434468,867461
2,小平市,Kodaira-shi,11,58317,1126891,1565968
2,日野市,Hino-shi,7,60200,764866,1721482
2,東村山市,Higashimurayama-shi,5,38691,718791,1163567
2,国分寺市,Kokubunji-shi,6,26792,605304,1088084
2,国立市,Kunitachi-shi,2,26120,432918,561019
2,福生市,Fussa-shi,4,25448,432654,741090
2,狛江市,Komae-shi,1,22545,297512,518513
2,東大和市,Higashiyamato-shi,3,35295,465247,753398
2,清瀬市,Kiyose-shi,6,22652,400237,616880
2,東久留米市,Higashikurume-shi,4,31452,445443,867154
2,武蔵村山市,Musashimurayama-shi,2,21635,290406,371563
2,多摩市,Tama-shi,8,50857,781158,1837267
2,稲城市,Inagi-shi,6,40911,549858,1379236
2,羽村市,Hamura-shi,1,18257,364496,399825
2,あきる野市,Akiruno-shi,4,41972,507981,734944
2,西東京市,Nishitokyo-shi,7,70313,771416,2481104
2,瑞穂町,Mizuho-machi,1,15582,106871,74545
2,日の出町,Hinode-machi,1,3827,116164,52036
2,奥多摩町,Okutama-machi,2,3319,85965,22032
2,檜原村,Hinohara-mura,1,890,34282,14222
2,大島町,Oshima-machi,1,1395,33577,9510
2,三宅村,Miyake-mura,1,3127,12598,3507
2,八丈町,Hachijo-machi,1,3206,25659,36317
2,青ヶ島村,Aogashima-mura,1,71,10000,300
,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (1) 設立及び地域別施設状況 (平成23年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (1) STATE OF FACILITIES BY ESTABLISHMENT AND DISTRICT ( End of Fiscal Year 2011 ),,,,,,
注 1) 国立国会図書館の蔵書，館外貸出図書冊数には関西館の数を含む。　,,,,,,
2) 国立国会図書館東京本館の蔵書数は国会分館の蔵書数を含む。,,,,,,
3) 国立国会図書館の蔵書数と各施設の蔵書数の合計については一致しない。　 ,,,,,,
4） 都立日比谷図書館は平成20年度末で閉館。,,,,,,
5） 都立及び区市町村立の館外貸出図書数は個人への貸出のみ。,,,,,,
Note: 1) The numbers of books stocked and loaned at the Kansai-kan are included in figures for the National Diet Library. ,,,,,,
2) The number of books stocked at the Detached Library in the Diet is included in figures for the Tokyo Main Library of the National Diet Library.,,,,,,
3) The number of books stocked at the National Diet Library does not match the combined total of books at the National Diet Library facilities. ,,,,,,
4) Metropolitan Hibiya Library closed at the end of FY 2008.,,,,,,
5) Figures on books lent out from metropolitan and municipal libraries are loans to individuals only.,,,,,,
資料：国立国会図書館，都立中央図書館 Source: National Diet Library， Tokyo Metropolitan Central Library,,,,,,
国公立図書館階層(0:総数　1:国立国会図書館・都立・区市町村立　2:東京本館・国会分館・関西館・国際子ども図書館・中央・多摩・区市町村),,,,,,
