年度末,End of fiscal year,種類,Kind,総数 Total,博物館法による博物館 Museums registered under the Museum Act／国立 National,博物館法による博物館 Museums registered under the Museum Act／公立 Public,博物館法による博物館 Museums registered under the Museum Act／私立 Private,博物館相当施設 Museum-equivalent facilities／国立 National,博物館相当施設 Museum-equivalent facilities／公立 Public,博物館相当施設 Museum-equivalent facilities／私立 Private,博物館相当施設 Museum-equivalent facilities／大学附属 Affiliated to universities,その他 Others／国立 National,その他 Others／公立 Public,その他 Others／私立 Private,その他 Others／大学附属 Affiliated to universities
平成21,2009,総数,Total,269,-,18,53,9,7,3,24,6,79,61,9
平成22,2010,総数,Total,272,-,19,53,6,7,4,24,9,79,63,8
平成23,2011,総数,Total,271,-,19,53,5,7,4,24,8,80,62,9
平成23,2011,総合博物館,General museum,39,-,10,4,-,1,1,1,-,21,-,1
平成23,2011,歴史博物館,Historical museum,108,-,4,14,1,1,2,16,4,32,29,5
平成23,2011,美術博物館,Art museum,85,-,5,31,3,1,1,5,2,12,23,2
平成23,2011,科学博物館,Science museum,20,-,-,4,1,-,-,2,-,5,8,-
平成23,2011,動物園,Zoological garden,4,-,-,-,-,2,-,-,-,2,-,-
平成23,2011,植物園,Botanical garden,7,-,-,-,-,-,-,-,2,4,-,1
平成23,2011,動・水・植,Zoo／Aquarium／Botanical,4,-,-,-,-,1,-,-,-,2,1,-
平成23,2011,水族館,Aquarium,4,-,-,-,-,1,-,-,-,2,1,-
,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-10  博物館及び同種施設数 (平成21～23年度末) 17-10  MUSEUMS AND SAME TYPE OF FACILITIES ( End of Fiscal Years 2009-2011 ),,,,,,,,,,,,,,,
資料：日本博物館協会 Source: Japanese Association of Museums　,,,,,,,,,,,,,,,
