年度末,End of fiscal year,分類,Classification,総数 Total,中央 Central,多摩 Tama
平成21,2009,総数,Total,2369886,1712420,657466
平成22,2010,総数,Total,2404076,1763388,640688
平成23,2011,総数,Total,2427216,1810036,617180
平成23,2011,総記,General works,84858,67842,17016
平成23,2011,哲学,Philosophy,94801,73637,21164
平成23,2011,歴史,History,209346,170070,39276
平成23,2011,社会科学,Social science,425045,341691,83354
平成23,2011,自然科学,Natural science,131214,114050,17164
平成23,2011,工学,Technology,152321,131927,20394
平成23,2011,産業,Industry,103458,92539,10919
平成23,2011,芸術,The arts,142318,118041,24277
平成23,2011,語学,Language,34943,29313,5630
平成23,2011,文学,Literature,252690,116051,136639
平成23,2011,児童,Children's books,172275,-,172275
平成23,2011,その他,Others,623947,554875,69072
,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (2) 都立図書館蔵書数 (平成21～23年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (2) NUMBER OF BOOKS STOCKED AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2009-2011 ),,,,,,
資料：都立中央図書館 Source: Tokyo Metropolitan Central Library,,,,,,
（単位　冊）(In volumes),,,,,,
