地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／新生活運動 New Community Practices,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,841,9360,5992,244,278,1740,118,1015,2597,182,701,272,112,221,116,692,896,25,7,144
1,13100,,区部,All ku,413,5193,3553,111,135,1460,49,604,1194,82,351,140,61,167,18,388,341,21,6,65
2,13101,1,千代田区,Chiyoda-ku,8,58,40,-,-,5,-,2,33,-,13,2,2,-,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,160,146,-,-,77,-,-,69,2,4,-,1,2,-,1,2,-,-,2
2,13103,3,港区,Minato-ku,11,72,60,-,32,24,-,1,3,-,-,2,-,-,-,-,9,-,-,1
2,13104,4,新宿区,Shinjuku-ku,21,159,120,2,1,110,1,4,2,2,12,6,1,-,-,14,-,-,-,4
2,13105,5,文京区,Bunkyo-ku,19,188,131,1,-,2,-,9,119,1,32,-,1,-,12,5,5,-,-,1
2,13106,6,台東区,Taito-ku,20,217,160,6,8,53,-,10,83,12,7,8,1,6,1,16,-,1,-,5
2,13107,7,墨田区,Sumida-ku,10,74,38,-,-,7,1,1,29,2,3,3,1,1,-,8,7,6,-,5
2,13108,8,江東区,Koto-ku,15,27,5,-,-,5,-,-,-,6,2,10,-,-,-,2,-,-,-,2
2,13109,9,品川区,Shinagawa-ku,17,615,577,65,-,509,-,3,-,-,7,2,3,1,-,10,10,2,-,3
2,13110,10,目黒区,Meguro-ku,19,140,113,2,2,30,13,30,36,6,7,1,1,-,-,3,4,-,-,5
2,13111,11,大田区,Ota-ku,19,136,77,-,-,37,-,-,40,5,16,4,3,4,-,2,14,3,6,2
2,13112,12,世田谷区,Setagaya-ku,29,464,232,5,-,104,5,10,108,14,33,21,3,147,-,3,9,1,-,1
2,13113,13,渋谷区,Shibuya-ku,22,83,39,-,-,-,1,12,26,-,17,4,-,-,-,2,20,-,-,1
2,13114,14,中野区,Nakano-ku,13,53,13,4,8,-,-,-,1,-,-,2,2,-,-,31,4,-,-,1
2,13115,15,杉並区,Suginami-ku,21,93,36,-,5,31,-,-,-,-,-,-,1,-,-,9,44,-,-,3
2,13116,16,豊島区,Toshima-ku,16,302,184,-,18,24,-,-,142,2,7,19,1,-,-,81,4,-,-,4
2,13117,17,北区,Kita-ku,20,247,109,4,2,13,4,36,50,4,38,24,1,-,-,13,57,-,-,1
2,13118,18,荒川区,Arakawa-ku,11,95,45,-,4,9,-,4,28,2,6,6,1,-,1,8,20,1,-,5
2,13119,19,板橋区,Itabashi-ku,21,505,409,-,9,86,-,41,273,2,29,8,3,1,1,-,46,1,-,5
2,13120,20,練馬区,Nerima-ku,23,743,606,21,26,74,21,431,33,1,31,7,4,-,3,14,72,4,-,1
2,13121,21,足立区,Adachi-ku,36,314,246,-,10,216,-,3,17,2,48,2,-,-,-,-,10,1,-,5
2,13122,22,葛飾区,Katsushika-ku,19,301,157,1,-,44,3,7,102,13,36,2,31,4,-,50,4,-,-,4
2,13123,23,江戸川区,Edogawa-ku,14,147,10,-,10,-,-,-,-,6,3,7,-,1,-,116,-,1,-,3
1,13200,,市部,All shi,381,3975,2340,129,124,278,54,392,1363,97,316,122,51,47,93,282,547,4,1,75
2,13201,1,八王子市,Hachioji-shi,14,887,509,16,11,42,14,14,412,5,69,6,-,20,62,9,204,-,-,3
2,13202,2,立川市,Tachikawa-shi,29,113,65,-,25,1,-,-,39,2,21,-,-,5,7,-,5,2,-,6
2,13203,3,武蔵野市,Musashino-shi,5,80,66,11,-,-,-,40,15,-,6,1,2,2,2,-,-,-,-,1
2,13204,4,三鷹市,Mitaka-shi,9,104,74,13,4,7,-,18,32,3,6,10,7,-,-,4,-,-,-,-
2,13205,5,青梅市,Ome-shi,19,132,77,1,-,14,-,25,37,1,2,3,-,-,2,23,19,-,-,5
2,13206,6,府中市,Fuchu-shi,29,286,149,2,15,48,-,-,84,1,6,10,2,-,-,40,76,-,-,2
2,13207,7,昭島市,Akishima-shi,20,69,24,-,-,9,-,-,15,15,19,2,-,1,-,5,-,-,-,3
2,13208,8,調布市,Chofu-shi,22,237,141,13,-,25,6,22,75,4,22,7,3,1,-,22,36,-,-,1
2,13209,9,町田市,Machida-shi,18,335,272,9,22,10,8,123,100,9,10,-,1,-,-,5,37,-,-,1
2,13210,10,小金井市,Koganei-shi,12,140,98,6,-,28,9,12,43,3,9,3,1,-,2,15,4,-,-,5
2,13211,11,小平市,Kodaira-shi,24,174,93,2,6,12,2,12,59,14,33,2,1,2,1,22,1,1,-,4
2,13212,12,日野市,Hino-shi,12,169,107,7,-,25,1,21,53,1,8,15,3,3,1,15,11,-,-,5
2,13213,13,東村山市,Higashimurayama-shi,13,113,23,2,2,1,-,2,16,2,6,-,1,3,1,9,67,-,-,1
2,13214,14,国分寺市,Kokubunji-shi,15,193,112,1,7,6,-,5,93,5,23,6,4,1,8,33,-,1,-,-
2,13215,15,国立市,Kunitachi-shi,10,84,40,3,2,-,9,-,26,-,1,7,8,-,-,4,17,-,1,6
2,13218,16,福生市,Fussa-shi,13,147,82,6,8,15,1,6,46,18,14,3,-,-,-,20,7,-,-,3
2,13219,17,狛江市,Komae-shi,5,35,19,4,3,-,1,10,1,-,4,-,1,-,4,5,-,-,-,2
2,13220,18,東大和市,Higashiyamato-shi,9,100,41,3,-,6,2,13,17,5,10,11,2,1,-,19,6,-,-,5
2,13221,19,清瀬市,Kiyose-shi,10,107,63,12,9,-,-,-,42,-,-,1,-,-,-,7,35,-,-,1
2,13222,20,東久留米市,Higashikurume-shi,6,73,30,-,-,5,-,-,25,1,2,19,2,-,-,16,-,-,-,3
2,13223,21,武蔵村山市,Musashimurayama-shi,17,11,7,2,-,3,-,-,2,1,-,-,-,-,-,-,-,-,-,3
2,13224,22,多摩市,Tama-shi,15,65,30,4,-,5,1,8,12,2,21,3,1,-,-,1,-,-,-,7
