年度,Fiscal year,開館日数 Number of open days,企画展 Special exhibition／展覧会数 Number of Exhibition,企画展 Special exhibition／観覧人員 Visitors,公募展 Exhibition(Artist association)／展覧会数 Number of Exhibition,公募展 Exhibition(Artist association)／観覧人員 Visitors,収蔵品数(年度末) Number of items(end of fiscal year)／総数 Total,収蔵品数(年度末) Number of items(end of fiscal year)／図書 Books,収蔵品数(年度末) Number of items(end of fiscal year)／カタログ Exhibition Catalog,収蔵品数(年度末) Number of items(end of fiscal year)／雑誌 Periodicals,収蔵品数(年度末) Number of items(end of fiscal year)／紀要・年報 Annual Reports and Bulletin
平成21,2009,301,10,1149767,69,1246840,99314,27841,69455,1355,663
平成22,2010,293,11,1807150,69,1266989,109947,31488,76080,1612,767
平成23,2011,299,8,690000,69,1253764,121923,34261,85037,1772,853
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-11  国立博物館及び美術館 (4) 国立新美術館 (平成21～23年度)  17-11  NATIONAL MUSEUM (4) THE NATIONAL ART CENTER， TOKYO ( Fiscal Year 2009-2011 ),,,,,,,,,,,
資料：国立新美術館 Source: The National Art Center， Tokyo,,,,,,,,,,,
