年度,Fiscal year,貸切使用回数Group use (number of times)／大武道場 Large dojo(回 times),貸切使用回数Group use (number of times)／第一武道場 First dojo(回 times),貸切使用回数Group use (number of times)／第二武道場 Second dojo(回 times),貸切使用回数Group use (number of times)／弓道場 Japanese archery range(回 times),一般公開利用者数 Number of individual users／第一武道場 First dojo(人 persons),一般公開利用者数 Number of individual users／第二武道場 Second dojo(人 persons),一般公開利用者数 Number of individual users／弓道場 Japanese archery range(人 persons),一般公開利用者数 Number of individual users／トレーニングルーム Training room(人 persons),スポーツ教室等 Sports programs， etc.／回数 Times held(回 times),スポーツ教室等 Sports programs， etc.／人数 Participants(人 persons)
平成21,2009,2530,1270,1484,744,786,636,4985,51129,305,12496
平成22,2010,2345,1204,1381,748,887,641,5123,46063,305,18908
平成23,2011,1873,921,1066,668,603,366,2813,31915,281,8234
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (3) 東京武道館 (平成21～23年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (3) TOKYO BUDO-KAN ( Fiscal Years 2009-2011 ),,,,,,,,,,,
注) 24年1月より同年8月まで、大規模改修工事に伴い休館。,,,,,,,,,,,
Note: Closed from January to August 2012 due to renovations.,,,,,,,,,,,
資料：スポーツ振興局スポーツ事業部調整課 Source: Bureau of Sports， TMG,,,,,,,,,,,
