年度,Fiscal year,開館日数 Number of open days,共催展 Museum／展覧会数 Number of exhibitions,共催展 Museum／観覧人員 Visitors,収蔵品数(年度末) Number of collection items (end of fiscal year )／総数 Total,収蔵品数(年度末) Number of collection items (end of fiscal year )／絵画 Paintings,収蔵品数(年度末) Number of collection items (end of fiscal year )／彫刻 Sculptures,収蔵品数(年度末) Number of collection items (end of fiscal year )／版画 Prints,収蔵品数(年度末) Number of collection items (end of fiscal year )／その他 Others,美術団体展 Rental gallery／展覧会数 Number of exhibitions,美術団体展 Rental gallery／観覧人員 Visitors
平成19,2007,277,7,551080,4019,1506,300,1894,319,-,-
平成20,2008,222,8,343802,4093,1546,312,1904,331,-,-
平成21,2009,277,8,492849,4185,1556,318,1925,386,-,-
平成22,2010,245,9,608419,4316,1667,325,1925,399,-,-
平成23,2011,284,10,331690,4366,1713,337,1943,373,-,-
,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (2) 東京都現代美術館 (平成19～23年度) 17-12  TOKYO METROPOLITAN MUSEUMS (2) MUSEUM OF CONTEMPORARY ART TOKYO ( Fiscal Years 2007-2011 ),,,,,,,,,,,
資料：公益財団法人東京都歴史文化財団事務局 Source: Tokyo Metropolitan Foundation for History and Culture,,,,,,,,,,,
