男女区分 ,Male female classification,区分 ,Classification,マーク Mark,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,Male,握力 (kg) ,Grip strength (kg),,9.2,11,12.9,14.8,17,19.9,23.2,28.8,34.3,38.3,40.8,42.3,38.6,39.9,41.3,43.2
男 ,Male,上体起こし (回) ,Sit-ups (times),,10.6,13.2,15.2,17.4,19.2,21.5,23,26.2,28.5,28.4,29.6,29.8,24.1,23.7,23.8,23.1
男 ,Male,長座体前屈 (cm),Sit and reach (cm),,25.6,27,29.2,30.9,33.1,35.5,36.9,40.8,44.7,45.7,47.5,47.8,42.4,42.7,43,43.2
男 ,Male,反復横とび (点) ,Side step (points)　　,,26,29.4,32.6,36.4,40.4,44.2,46.2,49.3,52.2,53.3,54.8,54.8,46.3,47.1,47.6,46.6
男 ,Male,持久走 (秒) ,1500m run (seconds),,…,…,…,…,…,…,428.9,396.3,383.5,395.7,383.9,385.8,467,476.5,469.6,474.2
男 ,Male,20ｍシャトルラン (回) ,20m shuttle run (times),,15.8,24.3,32.5,40.3,47.6,56.8,64.8,78.8,85.6,80.2,86.5,85.3,57.2,58.5,63.4,54.3
男 ,Male,50ｍ走 (秒) ,50m run (seconds),,11.5,10.6,10,9.6,9.3,8.9,8.6,8.1,7.7,7.6,7.4,7.4,8,7.9,7.9,7.9
男 ,Male,立ち幅とび (cm) ,Standing long jump (cm),,111.3,123,133.9,143.2,152.1,162.7,174.4,190.8,205,215.2,221.1,225.2,205.9,209.4,210.7,213.5
男 ,Male,ハンドボール投げ (m),Handball throw (m)  ,1),8,11.6,15.7,19.6,23.4,27.4,17.8,20.5,22.9,24.3,25.4,26.1,22.6,22.6,23.3,23.9
女,Female,握力 (kg) ,Grip strength (kg),,8.5,10.2,12,13.9,16.4,19.6,21.3,23.5,24.7,25.3,26.1,26.6,24.9,25.3,25.8,26.5
女,Female,上体起こし (回) ,Sit-ups (times),,10.2,12.5,14.3,16.2,17.7,19.4,19.4,21.7,22.8,21.9,22.1,22,17.3,17.3,17.1,16.6
女,Female,長座体前屈 (cm),Sit and reach (cm),,28,30.1,32.5,34.8,37.5,40.6,41.4,43.2,45,45.2,45.7,45.9,42.9,42.6,42,41.9
女,Female,反復横とび (点) ,Side step (points)　　,,24.9,27.9,30.7,34.4,37.7,41.2,42.1,43.5,44.6,45.3,45.5,45.5,39,40,39.6,37.3
女,Female,持久走 (秒) ,1000m run (seconds),,…,…,…,…,…,…,309.4,296,298.6,313.7,315.6,317.1,382.2,374.4,376.7,379.9
女,Female,20ｍシャトルラン (回) ,20m shuttle run (times),,13.1,18.4,23.3,29.1,35.2,42.2,44.9,52.3,52.9,46.6,49.7,48.2,30.3,32.5,32.4,27.6
女,Female,50ｍ走 (秒) ,50m run (seconds),,11.9,10.9,10.4,9.9,9.5,9.2,9.2,8.9,8.9,9,9,9.1,9.5,9.7,9.9,10
女,Female,立ち幅とび (cm) ,Standing long jump (cm),,103.2,113.9,124.2,134.1,143.6,152.5,157.3,162.4,164.1,166.5,166.9,167,152.1,153.2,151.7,149.3
女,Female,ハンドボール投げ (m),Handball throw (m)  ,1),5.4,7.1,9.1,11.2,13.1,15.2,11.1,12.4,13.3,13.7,13.9,14.3,12,12.3,12.3,12.5
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (平成23年) 17-3  RESULTS OF PHYSICAL FITNESS TESTS ( 2011 ),,,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,,
Note: 1) Softball throw for elementary school students.   ,,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,,
