年月,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
接続係数,0.802118,1.048751,0.701598,2.238298,0.946051,1.339703,0.55671,0.97398,0.801991,0.542025,0.504759,0.202448,1.245396,1.037799,2.027048,1.230576,1.195439,0.912263,1.790067,4.675645,2.042247,1.250167,0.820429,1.10905
2000-01,174.5,143.3,120.9,194.7,―,―,―,―,―,―,―,51,215.7,158.4,2052,80.6,272.4,183.3,432.7,389,805.3,75.8,80,257.1
2000-02,180.6,136.5,119.4,218.2,―,―,―,―,―,―,―,54.8,208.7,161.8,2075.1,76.4,275.9,180.5,440.9,490.9,778.7,84.8,87.8,262
2000-03,179.4,133.1,130.4,226.3,―,―,―,―,―,―,―,35.4,191.9,147,2092.9,71,281.5,213.3,423.5,562.5,703.1,87.1,85.6,258.1
2000-04,164.8,127.9,132.7,171.9,―,―,―,―,―,―,―,41.6,186.7,164.3,1623.5,70,295,267.5,439.3,643.8,742.4,81,101.1,247.3
2000-05,163.2,128.4,132.9,169.9,―,―,―,―,―,―,―,46.2,198.8,166.2,1588.6,73.7,266.8,220.6,447.9,699.5,755.6,83.8,97.1,247.5
2000-06,172.5,132.4,130.4,219.8,―,―,―,―,―,―,―,45.2,199.1,169.1,1753.8,76.5,282.6,247.6,455.6,724.7,761.6,84.5,92.1,258.3
2000-07,181.8,135.7,123.8,194.3,―,―,―,―,―,―,―,48.4,200.9,158.5,1671.5,74.8,274,177.7,468.6,768.2,795,82.8,96.4,256.9
2000-08,185.2,134.8,115.5,206.1,―,―,―,―,―,―,―,62.1,211,169.3,1620.2,75.9,256.5,200.7,454,675.6,785.2,83.6,97.5,246.2
2000-09,171.7,134.8,115.1,279.6,―,―,―,―,―,―,―,34.2,209.7,152.9,1674.7,74.7,252,188.7,430,673.8,720.1,77.8,78.5,252.5
2000-10,168.8,137.8,111.1,219.1,―,―,―,―,―,―,―,35.4,212.5,172.2,1648.4,67.1,251.4,220.6,432.3,557.8,698.7,114.3,86.3,258.1
2000-11,163.9,141.6,116.3,238.8,―,―,―,―,―,―,―,25.2,215.7,179.9,1672.7,67.2,252.2,226,416.7,459.1,683.1,102.3,80.8,266.7
2000-12,166.4,139.3,118.8,215.8,―,―,―,―,―,―,―,28,203.1,184.3,1680,66.6,266.8,187.5,413.5,481.6,670.5,98.9,88.4,261.2
2001-01,170,141.5,120,214.2,―,―,―,―,―,―,―,29.8,206.7,180.8,1666.2,67.7,279.7,144.3,415.8,598.5,726.8,105.8,95.2,196.4
2001-02,180.1,144.5,117.4,302.6,―,―,―,―,―,―,―,34,200.6,180.4,1724.2,67.4,258.2,180.5,432.3,763.1,703.1,118.9,109.9,197.3
2001-03,170,149.2,131.1,223.6,―,―,―,―,―,―,―,24.1,190.8,161.5,1768.2,63.3,248.5,200.2,417.6,759.3,662.3,113,97.4,204.8
2001-04,164.8,157.3,114.5,203.2,―,―,―,―,―,―,―,25.9,199.1,173.6,1734.7,59.9,239.3,238.8,417.6,710.2,674.1,111.8,97.5,207.6
2001-05,167,165.8,114.3,128,―,―,―,―,―,―,―,27.3,215.3,180.4,1835.5,61.9,231.2,225.6,425.7,755.6,681.5,94.8,96.6,226.7
2001-06,169.1,166.4,113.4,169.7,―,―,―,―,―,―,―,26,215,185.1,1825,61.9,233.9,219.3,446.4,781.8,709.7,89.3,105.5,248.5
2001-07,178.2,169.2,112.4,220.2,―,―,―,―,―,―,―,28.5,223.2,180.9,1877.7,61.9,250.1,205.4,462.6,789.2,734.2,111.5,97.1,254
2001-08,174.1,161.8,109.5,201.4,―,―,―,―,―,―,―,28.8,209.7,184.7,1803.3,58.9,230.7,168.4,458.6,726.6,729.7,119.3,98.5,252.5
2001-09,162.9,164.1,108.3,250.7,―,―,―,―,―,―,―,23.1,210.1,166.9,1898.5,56.4,218.9,184.3,444.5,830.9,700.9,86.4,91.1,252.1
2001-10,159.6,167.2,108.6,175.9,―,―,―,―,―,―,―,25.2,218.8,184.2,1905.8,50.8,139.9,182.3,423.9,614.8,691.3,92.1,81.7,255.3
2001-11,156.7,167.2,113,235.2,―,―,―,―,―,―,―,28.8,222.7,195.6,1863.1,46.4,145.5,185.8,429.3,537.7,699.3,99.6,87.7,266.5
2001-12,157.8,172.2,112.8,202.8,―,―,―,―,―,―,―,32.1,221.4,180,1766.4,41.6,168.7,150,412.8,524.1,675,98.6,82.6,252.6
2002-01,150.8,170.1,115.3,103.9,―,―,―,―,―,―,―,39.7,155.7,191.3,1230.4,39.1,190.9,164.8,331.2,494.2,387.2,112.5,82.3,252.1
2002-02,148.7,168.4,113.4,79,―,―,―,―,―,―,―,40,150.9,192.5,1223.1,38.4,181.5,172.8,331.2,591.5,377.4,96,103.9,240.3
2002-03,134.2,162.8,111.6,86.6,―,―,―,―,―,―,―,28.7,153.6,151.4,1040.1,43.9,183.6,145.6,316.1,548,347.8,98.5,84.8,244.4
2002-04,129.3,158,109,83.5,―,―,―,―,―,―,―,30.6,151.3,164.9,1027.7,43.1,174.5,152.7,339,800.9,347.8,120,84.4,228.7
2002-05,133.2,158.9,110.3,86.6,―,―,―,―,―,―,―,33.7,156.9,168.6,1146.1,37.9,171.1,160.8,369.5,927.2,364.1,143.6,85.7,242.8
