年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
接続係数,1.005431,0.952041,0.863821,0.867308,0.841032,1.086374,1.254323,0.935216,1.094719,1.023406,1.221955
2000-01,152.3,127.5,108.7,101.8,186.3,158.9,188.1,147.5,184.2,―,―
2000-02,153.9,128.7,109.1,102.6,196.6,159,184.5,148.5,187,―,―
2000-03,148.8,126.1,107,101.1,181.3,155.7,176.1,143.8,181.4,―,―
2000-04,160.6,141.4,121.5,116.9,176.2,163.8,235.4,136.7,184.5,―,―
2000-05,143.4,115.6,97.5,91.2,177.1,145.4,159.5,142.7,180.5,―,―
2000-06,145.5,120.8,102.2,95.9,181,149.9,168.6,142.1,178.9,―,―
2000-07,141.2,116.3,99.3,93.5,175.2,145.2,162.7,140.3,174.4,―,―
2000-08,145.5,118.6,101.8,95.2,188.5,143.5,154,143.8,183,―,―
2000-09,144.9,120.8,102.3,96.3,182.9,153.6,178.1,139.7,177.7,―,―
2000-10,147.5,122.1,104.3,99.4,158.1,142.2,157.5,139.3,179.5,―,―
2000-11,143.3,116.3,102.5,96.8,171.6,135.5,133.8,138.5,180.8,―,―
2000-12,146.5,120.5,107.9,102.1,182,134.5,131.5,140,178.9,―,―
2001-01,139.2,114.3,103.5,97.5,169.5,128.1,117.3,138.6,171.9,―,―
2001-02,135.2,111.3,100,94.4,174.1,123.6,110.9,135.3,167.9,―,―
2001-03,139.7,120.2,108.2,102.6,174.3,129.1,119.9,136,167.4,―,―
2001-04,134.6,111.9,96.7,91.2,169.5,126.1,111.5,137.5,168.5,―,―
2001-05,136.2,111.9,99.3,93.1,175.1,130.5,127.4,135.7,165.7,―,―
2001-06,133.2,111.4,98.7,92.9,172.8,127.8,119.9,134.5,161.8,―,―
2001-07,125.8,101.2,91.7,85.9,165.3,114,91.7,130.4,160.7,―,―
2001-08,130,108.8,95.9,90.6,166.3,125.7,132,128.2,157.7,―,―
2001-09,124.4,104.5,93.1,87.9,161.5,119.4,103.7,128.9,150,―,―
2001-10,119.5,97.3,81.2,75,153.6,117.2,108.7,125.3,148.7,―,―
2001-11,119.3,99.9,88.1,82.5,159.4,115.8,104.1,124.7,144.9,―,―
2001-12,117.8,101.9,89.8,84.7,154.9,116.5,110.6,123.3,133.8,―,―
2002-01,118.3,99,89,84,145.2,112.1,102.9,120.9,142.2,―,―
2002-02,117.2,98.4,86.7,82.6,139.6,114,107.4,121.6,141.4,―,―
2002-03,122.4,107.5,98.1,93.8,136.2,111.5,118.2,107,142.1,―,―
2002-04,114.3,95.9,79.6,75.2,140.5,113.7,116,116.7,142.2,―,―
2002-05,122,99.1,89.3,85.3,133.6,112.9,111.9,117,149.6,―,―
2002-06,117.5,97.3,87.5,84.1,125.6,109.1,111.3,109.2,144.6,―,―
2002-07,124,99.1,90.8,87.2,134.4,110.2,106.5,116.3,159.1,―,―
2002-08,121.2,102.2,91,87.8,128,115.8,132.5,113,145.1,―,―
2002-09,123.8,105.1,94.9,91.4,128.7,115.6,127.2,107.9,146.6,―,―
2002-10,123,104,88.4,84,135.5,121.2,134.1,118.5,145.8,―,―
