年月,製造工業,最終需要財,投資財,資本財,建設財,消費財,耐久消費財,非耐久消費財,生産財,鉱工業用生産財,その他用生産財
接続係数,0.981386,0.91967,0.878697,0.888118,0.793642,0.992086,1.286984,0.853587,1.086488,0.986221,1.239817
2000-01,144.1,125.5,106.2,98.7,178,164.3,234.6,146.5,175.9,―,―
2000-02,162.4,146.6,128.4,119.1,217.3,184,275.9,161.1,190.1,―,―
2000-03,184.1,177.4,169.5,164,213.5,195.4,307.6,167.6,198.7,―,―
2000-04,152.1,132.8,110.9,104.8,167.6,177,252.2,157.8,184.8,―,―
2000-05,139.2,116.2,95.6,88.7,164,157.3,204.9,144.6,177.5,―,―
2000-06,159,137.3,116.3,108.4,192.9,179.5,250.4,161.2,195.8,―,―
2000-07,153.7,132.6,111.1,102.4,196.3,176.2,244.7,158.4,189.3,―,―
2000-08,147.7,128.8,111.5,103.4,190.2,163.8,204.6,152.6,180.1,―,―
2000-09,169.2,155.3,145.8,138.6,211,176.2,272.8,152.1,194,―,―
2000-10,155.6,129.3,110.5,102.9,183.4,167.3,211.7,155.2,199.5,―,―
2000-11,154.8,126.2,108.9,100.4,192.3,161.3,176.4,155.9,201.8,―,―
2000-12,157.9,138,128.6,120.2,207.9,158.2,164.9,154.7,191.9,―,―
2001-01,134.1,115.3,105,98.8,162.5,137.1,137.7,135.2,165.7,―,―
2001-02,148.3,133.1,123.5,116.3,191.1,153.4,147.1,153,175.1,―,―
2001-03,174.2,166.6,167.8,163.8,198.9,166.4,184.9,160.2,190.1,―,―
2001-04,135,110.9,90.2,83.3,158.2,152.3,113.3,159.4,174.7,―,―
2001-05,130.5,106.8,86.6,79.3,158.3,146.8,129.3,148.9,170,―,―
2001-06,138,114.6,97.4,89,178.8,149.9,129.7,152.6,176.9,―,―
2001-07,133.3,111.2,94.9,86,185,143.9,116.2,148.4,170.4,―,―
2001-08,124.3,105.9,92.3,85.1,162,133.9,146.8,129.5,155.4,―,―
2001-09,136.7,123.1,116.8,109.4,187.9,137.4,133.7,136.5,160.5,―,―
2001-10,124.3,98.5,76.8,67.3,173.6,141.4,133.3,141.4,166.8,―,―
2001-11,123.4,101.9,85.4,76.4,175.7,135.1,121.6,136.5,159.3,―,―
2001-12,119.3,103.6,88.9,80.6,172.6,133.5,118.7,135.2,145.9,―,―
2002-01,107.8,92.4,79.2,73.6,132.5,119.5,99.7,122.7,133.6,―,―
2002-02,120.2,106,91.4,86.3,138.5,135.9,129.7,135.5,144.3,―,―
2002-03,139.8,136,136.4,133.8,150.6,137.2,183.8,125,149.2,―,―
2002-04,112.9,94,71.4,65.7,127.3,138.4,119,141,144,―,―
2002-05,115,94.4,75.9,71.2,119.8,131.2,107.8,135,149.2,―,―
2002-06,119.5,99.1,83.5,78.6,128.9,130.9,124.2,130.8,153.5,―,―
2002-07,128.9,107.1,92.3,86.9,143.1,137.2,126,138,165.1,―,―
2002-08,116.4,98.5,85.3,81.2,124,125.4,139.3,120.6,146.3,―,―
2002-09,135.5,122.4,123.5,120.6,144.1,122.3,152.5,114,158.5,―,―
2002-10,124.9,102.6,82.2,75.8,145.8,143,154.7,138.6,161.8,―,―
2002-11,125.6,103.1,84.1,78,141.3,141.2,149.9,137.3,163.2,―,―
2002-12,123.7,101.9,87.6,81.8,142.5,130.8,120.5,131.5,159.4,―,―
2003-01,114.5,94.6,84.7,80.6,118.3,113.5,128.8,107.7,148,―,―
2003-02,125.6,108.2,98.3,94.9,127.1,126.2,144,119.3,152.3,―,―
2003-03,158,148.3,151.9,155.2,127.7,137.8,176.4,122.3,163.6,―,―
2003-04,115.4,92.4,69.7,64.6,112.1,138.4,139.9,138.5,155.7,―,―
2003-05,110.7,87.8,74.6,70.9,105.9,113.7,125.5,109.3,151.3,―,―
2003-06,126.6,104.8,96,93.6,116.8,120.8,125.6,119.4,163.3,―,―
2003-07,121.7,100.2,88.5,84.8,118.8,122.8,129.9,120.5,157.8,―,―
2003-08,110.5,92.8,84.4,82.5,99.9,108.4,116.9,105.5,139.4,―,―
2003-09,140.3,125.8,125,125,127.3,124.7,130.1,123.1,159,―,―
2003-10,122.7,98.7,81.5,75.4,130,133,143.9,129.1,164.5,―,―
2003-11,124.9,103.3,88,85.2,112.1,133.2,132.3,134.3,161.2,―,―
2003-12,130.5,111.5,102,99.7,122,128.8,118.7,133.7,160.1,―,―
2004-01,118.7,101.4,95.2,94.6,101.8,112.4,121.4,109.3,145.8,―,―
2004-02,127.7,110.7,106.4,105.8,112.9,117.6,124.3,115.4,152.8,―,―
2004-03,163.4,153.2,165.1,171.8,114.1,124.8,131.8,122.7,170,―,―
2004-04,120.8,98.3,86.6,83.6,112.7,121.1,118.4,122.7,159.3,―,―
2004-05,116,94.4,85.8,83.9,101.7,110.2,112.9,109.8,153.1,―,―
2004-06,130.6,110.1,107.5,106.3,118.1,113.3,124.3,109.3,164,―,―
2004-07,128.6,110.1,105.5,103.3,124.4,117.4,112,120.2,157.3,―,―
2004-08,116.6,99.6,97.4,96.9,102.4,102.1,99.5,103.7,143.5,―,―
2004-09,139.7,124.2,127.2,127.7,125.3,115,103.7,120.3,160.6,―,―
2004-10,121.5,98.1,88,82.9,130.7,117.3,100.3,125.1,162.1,―,―
2004-11,123.9,100,89.7,87.2,111.1,119.6,103.7,127,165.5,―,―
