年月,製造工業,鉄鋼業,非鉄金属工業,金属製品工業,汎用・生産用・業務用機械工業,汎用機械工業,生産用機械工業,業務用機械工業,電子部品・デバイス工業,電気機械工業,情報通信機械工業,輸送機械工業,窯業・土石製品工業,化学工業,プラスチック製品工業,紙・紙加工品工業,繊維工業,食料品工業,その他工業,ゴム製品工業,皮革製品工業,家具工業,木材・木製品工業,その他製品工業
接続係数,0.807722,1.041453,0.698531,2.208027,0.949101,1.404471,0.541719,0.975873,0.859457,0.532543,0.551237,0.212071,1.230912,1.01966,2.07387,1.234164,1.175818,0.902774,1.737997,4.206554,2.07601,1.23899,0.851971,1.076885
2000-01,175.8,144.8,118.1,191.7,―,―,―,―,―,―,―,48,212.1,151.7,2137.1,83.2,242.6,189.7,422.2,411.4,779.5,74.3,91.5,248.1
2000-02,177.1,138.4,116.3,226.5,―,―,―,―,―,―,―,48.9,212,154.6,2124.3,81.8,265.3,195.5,425.6,446.3,784.7,80.7,93.5,253
2000-03,187,134.3,125.2,212.9,―,―,―,―,―,―,―,48.8,202,156,2152.1,77.1,273.5,219.6,429.5,495.5,774.1,87.5,93.3,256.9
2000-04,173,128.1,130.4,189.9,―,―,―,―,―,―,―,52.7,194,164,1754.5,76.1,306.8,223.4,437.5,518.2,800.5,80.8,102.5,255
2000-05,165.7,125.2,127.5,180.8,―,―,―,―,―,―,―,47.2,197.7,159.2,1657.6,74,274.3,205.2,437.8,498.5,796.8,83.1,95.9,253.4
2000-06,173,129.6,128.5,234.1,―,―,―,―,―,―,―,46.2,197.3,161.4,1788.9,72.7,270.9,218.1,430.5,535.5,769.8,83.9,92.4,251
2000-07,175,131.7,124.8,190.8,―,―,―,―,―,―,―,44.9,199.2,158.8,1698.7,68.7,253.7,174,426.9,578.4,756.9,84.9,91.2,246.2
2000-08,177.3,133.3,121.1,220.8,―,―,―,―,―,―,―,57,207.3,162.1,1664.9,70.1,259.3,205,419.2,559.9,748.6,80.5,91.7,237.6
2000-09,173,134.7,119.4,232.3,―,―,―,―,―,―,―,45.3,200.9,160.5,1655.6,70.1,261.9,197.7,417.5,615.4,723.7,84.4,81.9,239.3
