"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201304,"集積所回収","資源プラスチック",234340,+9
201304,"集積所回収","古紙",666330,+5
201304,"集積所回収","びん・缶",361443,+7
201304,"集積所回収","ペットボトル",70180,+2
201304,"拠点回収","紙パック",190,+6
201304,"拠点回収","使用済み乾電池",0,"―"
201304,"拠点回収","ペットボトル",6240,-13
201304,"拠点回収","使用済み小型家電製品",76,"―"
201304,"ピックアップ回収","金属製品等(不燃ごみからの回収)",19610,"―"
201304,"ピックアップ回収","コード類（不燃ごみからの回収）",910,"―"
201304,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",0,"―"
201304,"ピックアップ回収","金属製品等（粗大ごみからの回収）",19470,+14
201304,"店頭回収","ペットボトル",11290,+3
201305,"集積所回収","資源プラスチック",233460,+3
201305,"集積所回収","古紙",626390,-4
201305,"集積所回収","びん・缶",365606,+2
201305,"集積所回収","ペットボトル",78570,-1
201305,"拠点回収","紙パック",230,+28
201305,"拠点回収","使用済み乾電池",0,"―"
201305,"拠点回収","ペットボトル",8530,-4
201305,"拠点回収","使用済み小型家電製品",114,"―"
201305,"拠点回収","古着",2920,"―"
201305,"拠点回収","使用済み蛍光灯",7,"―"
201305,"ピックアップ回収","金属製品等(不燃ごみからの回収)",12430,+3
201305,"ピックアップ回収","コード類（不燃ごみからの回収）",530,"―"
201305,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",1651,"―"
201305,"ピックアップ回収","金属製品等（粗大ごみからの回収）",18270,-29
201305,"店頭回収","ペットボトル",12700,+2
201306,"集積所回収","資源プラスチック",211540,-1
201306,"集積所回収","古紙",579850,-4
201306,"集積所回収","びん・缶",344948,-1
201306,"集積所回収","ペットボトル",77590,-3
201306,"拠点回収","紙パック",280,-3
201306,"拠点回収","使用済み乾電池",1970,"―"
201306,"拠点回収","ペットボトル",7210,-15
201306,"拠点回収","使用済み小型家電製品",95,"―"
201306,"拠点回収","古着",1660,"―"
201306,"拠点回収","使用済み蛍光灯",16,"―"
201306,"ピックアップ回収","金属製品等(不燃ごみからの回収)",8710,-40
201306,"ピックアップ回収","コード類（不燃ごみからの回収）",180,"―"
201306,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",588,"―"
201306,"ピックアップ回収","金属製品等（粗大ごみからの回収）",20770,-4
201306,"店頭回収","ペットボトル",12900,3
201307,"集積所回収","資源プラスチック",224940,-1
201307,"集積所回収","古紙",651130,1
201307,"集積所回収","びん・缶",369481,6
201307,"集積所回収","ペットボトル",91000,6
201307,"拠点回収","紙パック",250,14
201307,"拠点回収","使用済み乾電池",0,"―"
201307,"拠点回収","ペットボトル",8450,-1
201307,"拠点回収","使用済み小型家電製品",64,"―"
201307,"拠点回収","古着",1540,"―"
201307,"拠点回収","使用済み蛍光灯",3,"―"
201307,"ピックアップ回収","金属製品等(不燃ごみからの回収)",15370,19
201307,"ピックアップ回収","コード類（不燃ごみからの回収）",680,"―"
201307,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",0,"―"
201307,"ピックアップ回収","金属製品等（粗大ごみからの回収）",18760,-12
201307,"店頭回収","ペットボトル",16560,19
201308,"集積所回収","資源プラスチック",212840,-1
201308,"集積所回収","古紙",579720,-3
201308,"集積所回収","びん・缶",359509,4
201308,"集積所回収","ペットボトル",92890,-2
201308,"拠点回収","紙パック",310,48
201308,"拠点回収","使用済み乾電池",0,"―"
201308,"拠点回収","ペットボトル",9680,-15
201308,"拠点回収","使用済み小型家電製品",86,"―"
201308,"拠点回収","古着",1550,"―"
201308,"拠点回収","使用済み蛍光灯",12,"―"
201308,"ピックアップ回収","金属製品等(不燃ごみからの回収)",16720,18
201308,"ピックアップ回収","コード類（不燃ごみからの回収）",940,"―"
201308,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",604,"―"
201308,"ピックアップ回収","金属製品等（粗大ごみからの回収）",19640,3
201308,"店頭回収","ペットボトル",16990,7
201309,"集積所回収","資源プラスチック",202750,-2
201309,"集積所回収","古紙",599090,3
201309,"集積所回収","びん・缶",335238,3
201309,"集積所回収","ペットボトル",84990,-2
201309,"拠点回収","紙パック",210,-38
201309,"拠点回収","使用済み乾電池",0,"―"
201309,"拠点回収","ペットボトル",7920,-10
201309,"拠点回収","使用済み小型家電製品",72,-2
201309,"拠点回収","古着",0,"―"
201309,"拠点回収","使用済み蛍光灯",14,"―"
201309,"ピックアップ回収","金属製品等(不燃ごみからの回収)",18610,34
201309,"ピックアップ回収","コード類（不燃ごみからの回収）",880,"―"
201309,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",844,"―"
201309,"ピックアップ回収","金属製品等（粗大ごみからの回収）",19490,-11
201309,"店頭回収","ペットボトル",14210,2
201310,"集積所回収","資源プラスチック",227700,-1
201310,"集積所回収","古紙",663100,3
201310,"集積所回収","びん・缶",358274,2
201310,"集積所回収","ペットボトル",82060,-1
201310,"拠点回収","紙パック",210,11
201310,"拠点回収","使用済み乾電池",0,"―"
201310,"拠点回収","ペットボトル",8360,-1
201310,"拠点回収","使用済み小型家電製品",87,33
201310,"拠点回収","古着",1890,"―"
201310,"拠点回収","使用済み蛍光灯",14,"―"
201310,"ピックアップ回収","金属製品等(不燃ごみからの回収)",20180,59
201310,"ピックアップ回収","コード類（不燃ごみからの回収）",1060,"―"
201310,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",1010,"―"
201310,"ピックアップ回収","金属製品等（粗大ごみからの回収）",22270,1
201310,"店頭回収","ペットボトル",13480,10
201311,"集積所回収","資源プラスチック",213490,-1
201311,"集積所回収","古紙",630140,5
201311,"集積所回収","びん・缶",343490,3
201311,"集積所回収","ペットボトル",69810,1
201311,"拠点回収","紙パック",300,77
201311,"拠点回収","使用済み乾電池",1850,"―"
201311,"拠点回収","ペットボトル",6760,-9
201311,"拠点回収","使用済み小型家電製品",100,162
201311,"拠点回収","古着",2300,"―"
201311,"拠点回収","使用済み蛍光灯",21,"―"
201311,"ピックアップ回収","金属製品等(不燃ごみからの回収)",22020,58
201311,"ピックアップ回収","コード類（不燃ごみからの回収）",1410,"―"
201311,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",840,"―"
201311,"ピックアップ回収","金属製品等（粗大ごみからの回収）",20810,8
201311,"店頭回収","ペットボトル",12470,15
201312,"集積所回収","資源プラスチック",225440,-2
201312,"集積所回収","古紙",701950,-3
201312,"集積所回収","びん・缶",367076,-3
201312,"集積所回収","ペットボトル",67520,1
201312,"拠点回収","紙パック",230,-23
201312,"拠点回収","使用済み乾電池",0,"―"
201312,"拠点回収","ペットボトル",6020,-3
201312,"拠点回収","使用済み小型家電製品",76,76
201312,"拠点回収","古着",1710,"―"
201312,"拠点回収","使用済み蛍光灯",29,"―"
201312,"ピックアップ回収","金属製品等(不燃ごみからの回収)",20480,2
201312,"ピックアップ回収","コード類（不燃ごみからの回収）",1420,"―"
201312,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",756,"―"
201312,"ピックアップ回収","金属製品等（粗大ごみからの回収）",19240,2
201312,"店頭回収","ペットボトル",10460,2
201401,"集積所回収","資源プラスチック",237480,1
201401,"集積所回収","古紙",676370,2
201401,"集積所回収","びん・缶",405242,1
