地域階層,地域コード,地域,平成7年／総数,平成7年／男,平成7年／女,平成8年／総数,平成8年／男,平成8年／女,平成9年／総数,平成9年／男,平成9年／女,平成10年／総数,平成10年／男,平成10年／女,平成11年／総数,平成11年／男,平成11年／女,平成12年／総数,平成12年／男,平成12年／女,平成13年／総数,平成13年／男,平成13年／女,平成14年／総数,平成14年／男,平成14年／女,平成15年／総数,平成15年／男,平成15年／女,平成16年／総数,平成16年／男,平成16年／女
0,13000,総数,11785176,5903261,5881915,11766175,5887839,5878336,11790107,5896752,5893355,11840937,5918923,5922014,11908664,5952254,5956410,11983971,5987932,5996039,12078270,6034003,6044267,12187714,6084755,6102959,12289519,6132876,6156643,12378974,6171419,6207555
1,13100,区部,7990789,3972741,4018048,7958234,3954173,4004061,7964404,3956879,4007525,7990000,3969007,4020993,8030320,3989865,4040455,8075722,4012294,4063428,8143171,4047483,4095688,8219622,4083393,4136229,8289001,4117297,4171704,8345183,4142235,4202948
1,13200,市部,3701281,1883197,1818084,3714770,1886348,1828422,3732892,1892844,1840048,3758655,1903276,1855379,3786274,1915901,1870373,3816468,1929368,1887100,3847191,1942213,1904978,3880686,1957350,1923336,3913402,1971793,1941609,3947367,1985759,1961608
2,13300,郡部,61144,31032,30112,61118,30978,30140,60944,30788,30156,60648,30559,30089,60520,30441,30079,60372,30276,30096,60332,30180,30152,60289,30166,30123,60319,30158,30161,60058,30014,30044
2,13350,島部,31962,16291,15671,32053,16340,15713,31867,16241,15626,31634,16081,15553,31550,16047,15503,31409,15994,15415,27594,14135,13459,27327,13961,13366,27174,13840,13334,26885,13705,13180
1,13100,区部,7990789,3972741,4018048,7958234,3954173,4004061,7964404,3956879,4007525,7990000,3969007,4020993,8030320,3989865,4040455,8075722,4012294,4063428,8143171,4047483,4095688,8219622,4083393,4136229,8289001,4117297,4171704,8345183,4142235,4202948
4,13101,千代田区,34967,16607,18360,34595,16335,18260,34944,16479,18465,34970,16427,18543,35068,16431,18637,35339,16531,18808,35873,16934,18939,36384,17319,19065,36560,17446,19114,38470,18499,19971
4,13102,中央区,64371,30922,33449,63964,30835,33129,64150,31003,33147,64805,31258,33547,66541,32135,34406,69695,33740,35955,73446,35698,37748,77300,37427,39873,80822,39091,41731,84282,40662,43620
4,13103,港区,145051,67790,77261,144435,67534,76901,148554,69509,79045,149628,70104,79524,152682,71668,81014,154593,72608,81985,160229,75370,84859,164534,77473,87061,165947,78077,87870,169390,79514,89876
4,13104,新宿区,279460,137590,141870,277748,137314,140434,276827,137446,139381,278986,138696,140290,281109,140018,141091,283010,140975,142035,287061,143432,143629,290574,145370,145204,294617,147486,147131,298085,149192,148893
4,13105,文京区,173063,84007,89056,171937,83541,88396,171043,83157,87886,171024,83278,87746,172045,83960,88085,174467,85315,89152,176118,86092,90026,178681,87321,91360,180567,88194,92373,181931,88742,93189
4,13106,台東区,155552,78164,77388,153554,77121,76433,153595,77370,76225,153139,77170,75969,153404,77407,75997,154864,78506,76358,157073,79727,77346,159152,80961,78191,161886,82260,79626,163085,83011,80074
4,13107,墨田区,217586,107535,110051,214914,106528,108386,214076,106054,108022,213861,105970,107891,213793,105941,107852,213665,105778,107887,216520,107145,109375,218536,108134,110402,219901,108900,111001,222467,110214,112253
4,13108,江東区,369813,185610,184203,363977,182530,181447,362321,181719,180602,365459,182935,182524,368215,184257,183958,371365,185764,185601,377639,188699,188940,386389,192928,193461,393983,196589,197394,402888,200657,202231
4,13109,品川区,327983,162179,165804,324605,160551,164054,322779,159810,162969,322637,159776,162861,323273,160240,163033,323385,160204,163181,324930,161062,163868,327364,162170,165194,330615,163832,166783,334148,165466,168682
4,13110,目黒区,242534,115935,126599,243144,115837,127307,244390,116432,127958,245182,116565,128617,246007,116865,129142,248065,117910,130155,250599,119050,131549,253129,120028,133101,255175,120776,134399,255377,120936,134441
4,13111,大田区,637162,321938,315224,635961,320821,315140,639031,322063,316968,641666,323379,318287,645163,324889,320274,647256,325790,321466,650189,327286,322903,654853,329656,325197,658261,331216,327045,662507,333258,329249
4,13112,世田谷区,778920,380861,398059,781753,381616,400137,787159,384245,402914,794866,388039,406827,800406,390989,409417,807682,395014,412668,814769,398905,415864,820632,401325,419307,826875,403863,423012,831125,405439,425686
