地域階層,地域コード,地域,平成15年1月中,2月中,3月中,4月中,5月中,6月中,7月中,8月中,9月中,10月中,11月中,12月中
0,13000,総数,-803,-3607,6306,51375,8541,5292,2618,4305,5145,8471,2766,-954
1,13100,区部,-805,-2506,6429,32794,5499,3511,2214,1016,3116,6132,1327,-2545
1,13200,市部,57,-1039,561,18393,3072,1767,341,3294,2059,2322,1482,1656
2,13300,郡部,-33,-49,-102,-54,-17,33,68,2,-38,-1,-29,-41
2,13350,島部,-9,-7,-552,281,-6,-16,3,0,12,27,-9,-13
1,13100,区部,-805,-2506,6429,32794,5499,3511,2214,1016,3116,6132,1327,-2545
4,13101,千代田区,-20,16,882,550,128,15,-58,8,124,201,38,26
4,13102,中央区,216,205,292,461,237,242,254,173,418,476,554,-68
4,13103,港区,437,115,110,489,537,995,194,197,179,323,113,-246
4,13104,新宿区,133,-468,562,2291,168,196,155,39,354,495,-172,-285
4,13105,文京区,23,-394,-380,1249,61,35,153,-22,112,266,160,101
4,13106,台東区,-150,-15,240,724,-137,-144,66,101,230,229,150,-95
4,13107,墨田区,138,245,409,400,254,277,183,68,280,179,103,30
4,13108,江東区,76,37,2321,2388,511,153,494,471,476,1273,352,353
4,13109,品川区,43,-39,710,1207,228,174,-136,309,238,496,208,95
4,13110,目黒区,-98,-215,-144,1115,44,-126,-89,6,-182,105,10,-224
4,13111,大田区,56,105,845,1890,211,205,204,251,388,150,-7,-52
4,13112,世田谷区,-631,-499,-106,3985,595,268,263,563,146,-195,139,-278
4,13113,渋谷区,270,-100,-695,1032,505,253,197,-358,-221,-125,0,67
4,13114,中野区,-87,-199,195,1305,-217,-47,-129,-96,-142,-58,-97,38
4,13115,杉並区,-500,-151,678,2292,286,102,-302,-37,-218,-36,95,-510
4,13116,豊島区,-157,-261,-219,1229,-4,-152,-239,-202,-238,225,-155,-414
4,13117,北区,-143,-224,162,1119,-59,14,-11,-154,192,144,-295,-303
4,13118,荒川区,-49,-51,84,720,62,144,256,24,49,74,-71,-263
4,13119,板橋区,-181,-296,980,2465,263,-340,-270,-174,-210,180,-228,-92
4,13120,練馬区,200,81,143,2357,608,470,255,77,32,318,335,75
4,13121,足立区,-172,-330,-170,1020,526,252,99,-82,120,366,99,-279
4,13122,葛飾区,-412,32,149,713,286,-26,209,-52,225,223,-157,-254
4,13123,江戸川区,203,-100,-619,1793,406,551,466,-94,764,823,153,33
1,13200,市部,57,-1039,561,18393,3072,1767,341,3294,2059,2322,1482,1656
4,13201,八王子市,-197,-586,-1383,3049,374,490,167,492,508,461,414,463
4,13202,立川市,33,-127,131,842,194,202,43,234,-219,84,148,86
4,13203,武蔵野市,-18,-182,-153,567,-15,2,-185,-121,-153,-95,-53,-14
4,13204,三鷹市,94,-205,263,904,237,103,36,40,-139,52,-64,-41
4,13205,青梅市,-95,4,-113,52,90,-17,-63,104,-41,54,-37,-23
