道路名,事業者名,方向,工事起点住所,工事終点住所,車線制限の状況（制限車線数／現車線数）,工事内容,工事目的,工事開始期間（年）,工事開始期間（月）,工事終了期間（年）,工事終了期間（月）,工事開始予定時間1,工事終了予定時間1,工事開始予定時間2,工事終了予定時間2,備考
内堀通り,東京都建設局,内,千代田区一番町,千代田区九段南２丁目,１車線／４車線,道路工事,道路修景工事,2022,1,2027,3,9:00,18:00,,,
内堀通り,東京都建設局,内,千代田区九段南１丁目,千代田区一ツ橋１丁目,１車線／４車線,道路工事,街路築造工事,2023,11,2026,3,20:00,6:00,,,
内堀通り,ＮＴＴ,内,千代田区九段南１丁目,,１車線／４車線,電話工事,支障移設工事,2024,9,2026,1,21:00,6:00,,,
内堀通り,東京電力,外,千代田区大手町１丁目,,１車線／６車線,電気工事,点検・修理工事,2024,6,2025,1,21:00,6:00,,,
内堀通り,東京メトロ,内中外,千代田区大手町１丁目,,５車線／８車線,地下鉄工事,竹橋駅連絡通路設置工事,2021,2,2027,5,20:00,6:00,,,
外堀通り,八重洲二中,外,中央区八重洲２丁目,,４車線／８車線,道路工事,八重洲二丁目中地区再開発関連道路整備、仮囲い,2023,5,2029,5,8:00,18:00,22:00,6:00,
外堀通り,八重洲地下街,外,中央区八重洲２丁目,,２車線／８車線,地下道工事,八重洲地下街５号地下通路接続工事,2024,1,2029,5,22:00,6:00,,,
外堀通り,東京電力,外,中央区八重洲２丁目,,１車線／８車線,電気工事,撤去工事,2024,4,2029,1,21:00,6:00,,,
外堀通り,ＮＴＴ,外,中央区八重洲２丁目,,１車線／６車線,電話工事,支障移設工事,2023,7,2024,12,21:00,6:00,,,
外堀通り,東京電力,中外,中央区八重洲２丁目,,２車線／５車線,電気工事,供給工事,2024,9,2024,11,21:00,6:00,,,
外堀通り,住友不動産,外,中央区八重洲２丁目,,規制なし,再開発工事,ビル解体用仮囲い設置,2024,7,2028,10,8:00,17:00,,,
外堀通り,東京電力,外,中央区八重洲２丁目,,１車線／８車線,電気工事,支障移設工事,2023,8,2024,9,21:00,6:00,,,
外堀通り,東京都水道局,外,中央区八重洲２丁目,,１車線／８車線,水道工事,新設・撤去工事,2024,6,2024,11,21:00,6:00,,,
外堀通り,東京都建設局,内,港区新橋２丁目,港区虎ノ門１丁目,１車線／６車線,道路工事,道路照明工事,2024,9,2025,9,20:00,6:00,,,
外堀通り,ＪＲ東日本,内,港区新橋１丁目,,１車線／４車線,橋梁工事,耐震補強工事,2023,4,2025,6,23:00,6:00,,,
外堀通り,東京電力,内外,港区虎ノ門１丁目,,１車線／６車線,電気工事,支障移設工事,2024,8,2025,3,20:00,6:00,,,
外堀通り,東京メトロ,内外,港区虎ノ門１丁目,,３車線／７車線,地下鉄工事,虎ノ門駅接続横断通路設置工事,2023,8,2028,4,21:00,6:00,,,
外堀通り,東京メトロ,内,千代田区霞が関３丁目,,１車線／８車線,地下鉄工事,虎ノ門駅下水道管接続工事,2024,7,2024,10,21:00,6:00,,,
外堀通り,東京都水道局,外,港区虎ノ門１丁目,,１車線／６車線,水道工事,撤去工事,2023,12,2024,9,21:00,6:00,,,
外堀通り,東京都水道局,内中外,港区赤坂１丁目,港区赤坂２丁目,１車線／６車線,水道工事,取替工事,2024,6,2025,6,21:00,6:00,,,
外堀通り,東京都水道局,中外,港区赤坂２丁目,,１車線／６車線,水道工事,取替工事,2024,6,2025,6,21:00,6:00,,,
外堀通り,ＮＴＴ,内,新宿区市谷田町２丁目,,１車線／６車線,電話工事,支障移設工事,2024,5,2024,11,21:00,6:00,,,
外堀通り,東京都建設局,外,新宿区市谷船河原町,新宿区市谷田町,１車線／４車線,道路工事,擁壁補修工事,2023,10,2027,3,9:00,18:00,,,
外堀通り,東京電力,内,新宿区市谷田町３丁目,新宿区市谷船河原町,１車線／４車線,電気工事,支障移設工事,2024,8,2025,3,20:00,6:00,9:00,18:00,
外堀通り,東京都水道局,外,文京区後楽１丁目,,１車線／６車線,水道工事,取替工事,2024,6,2025,5,21:00,6:00,,,
