"年度","登録団体数","利用件数[件]","利用者数[人]","図書貸出冊数[冊]","スライド・ビデオ貸出件数[件]"
"2016","305","3015","37123","30","32"
"2017","338","2913","37799","134","17"
"2018","279","2690","36009","204","16"
"2019","288","2770","34507","211","27"
"2020","293","1646","13646","200","7"

"令和3年度港区行政資料集　施設利用状況一覧 商工会館","Ver202103",,,,
