"選挙名称","時現在","投票者数[人]","投票率[%]"
"令和2年6月7日執行　港区長選挙","8時現在","740","0.38"
"令和2年6月7日執行　港区長選挙","9時現在","1966","1.00"
"令和2年6月7日執行　港区長選挙","10時現在","4145","2.10"
"令和2年6月7日執行　港区長選挙","11時現在","7792","3.95"
"令和2年6月7日執行　港区長選挙","12時現在","12214","6.19"
"令和2年6月7日執行　港区長選挙","13時現在","16448","8.34 "
"令和2年6月7日執行　港区長選挙","14時現在","20653","10.47"
"令和2年6月7日執行　港区長選挙","15時現在","24847","12.59"
"令和2年6月7日執行　港区長選挙","16時現在","28829","14.61"
"令和2年6月7日執行　港区長選挙","17時現在","33104","16.78 "
"令和2年6月7日執行　港区長選挙","18時現在","37955","19.24"
"令和2年6月7日執行　港区長選挙","19時現在","42141","21.36 "
"令和2年6月7日執行　港区長選挙","20時終了","59254","30.04"

"令和2年6月7日執行　港区長選挙投票状況","Ver202006",,
