年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成30年１月,2018,1,472,122,95,...,322,128,99,618,282,134,347,311,126,341,308,910,284,235,200,139,361,1409,294,823,1221,157,943,2303,470,327,703,312,368,860,238,1087,880,1591,...,2809,506,784,1010,779,1238,1865,...,612,863,...,508,768,436,522,...,...,...,...,...,...,...,...,1996,...,242,945,198,227,337
平成30年２月,2018,2,456,117,88,...,321,117,98,625,270,131,348,318,119,323,317,884,279,237,205,138,401,1064,334,842,929,157,908,1612,469,331,725,301,402,853,239,1073,874,1580,...,2379,450,688,904,662,1301,1802,...,594,839,...,501,854,427,534,788,...,...,...,...,...,...,...,1752,...,244,980,196,220,342
平成30年３月,2018,3,457,125,78,201,326,132,101,624,268,148,350,304,117,305,317,891,277,234,201,134,309,722,334,806,521,156,558,1723,467,336,743,248,411,928,248,1043,852,1574,...,2258,459,500,820,628,1051,1799,1293,517,738,...,533,863,426,524,746,...,...,...,...,...,...,...,1731,...,243,980,197,225,346
平成30年４月,2018,4,450,111,75,200,318,117,99,625,267,153,363,308,112,...,303,899,281,224,199,134,189,740,238,616,341,159,681,1877,460,335,722,171,491,921,250,1063,858,1562,...,2117,425,437,667,616,832,1585,1018,485,657,...,553,...,419,533,733,...,...,...,...,...,...,...,1668,...,240,956,196,218,335
平成30年５月,2018,5,444,92,77,190,313,110,96,618,266,157,369,307,114,...,298,893,288,231,198,137,145,760,210,724,327,156,601,2088,488,332,740,164,453,876,248,1172,845,1547,...,2284,440,442,614,588,749,1636,905,450,639,...,634,...,423,528,840,...,...,...,...,...,517,901,1603,...,238,993,213,218,333
平成30年６月,2018,6,453,101,75,196,320,109,90,621,281,152,372,325,124,...,285,902,284,230,205,133,148,752,199,724,304,158,685,2095,488,332,896,183,362,936,234,1928,796,1540,1521,2101,436,473,631,546,715,1595,783,459,629,...,691,...,400,535,...,...,2014,...,...,...,390,669,...,2934,234,969,194,216,325
平成30年７月,2018,7,449,125,84,197,308,117,94,632,269,131,381,308,125,...,281,915,280,232,206,130,174,980,208,727,321,157,698,1931,507,320,986,197,368,991,232,1914,784,1561,1404,2174,492,575,645,608,889,1615,819,469,632,...,802,...,370,520,...,...,1559,2560,...,1010,389,659,...,2519,243,1004,195,222,327
平成30年８月,2018,8,437,114,100,196,332,117,159,632,290,138,375,309,126,...,288,917,278,237,202,133,216,1287,323,828,394,158,864,1823,535,325,875,238,438,999,262,1371,816,1571,1338,2559,566,624,616,718,1035,1692,736,480,642,807,...,...,349,496,...,612,1190,1598,...,1032,373,625,...,...,243,936,196,230,326
平成30年９月,2018,9,430,102,93,194,330,131,145,641,272,133,386,322,119,...,281,910,290,233,199,133,147,1305,262,779,444,159,925,1951,518,341,773,232,456,982,272,1078,861,1567,1285,2474,590,703,709,910,990,1716,905,502,697,588,...,673,346,484,...,514,1256,1345,...,1086,...,...,...,...,246,896,197,230,324
平成30年10月,2018,10,445,124,87,193,329,134,96,640,270,133,405,320,120,403,279,898,285,236,208,134,170,1142,263,809,523,157,795,1820,487,333,703,197,492,908,260,1015,882,1567,...,2587,549,661,760,875,958,1763,1204,503,762,584,...,577,343,487,...,472,...,1598,558,...,...,...,...,...,248,956,195,229,330
平成30年11月,2018,11,467,89,105,...,330,117,85,646,283,131,400,323,119,361,286,909,269,235,199,136,174,763,182,655,373,158,583,1579,474,317,632,147,471,980,259,922,838,1527,...,2424,571,588,736,829,983,1712,...,501,776,...,495,571,356,498,...,...,...,...,492,...,...,...,...,...,243,857,195,226,334
平成30年12月,2018,12,474,97,97,...,340,108,91,650,290,135,394,332,116,361,283,889,280,235,201,137,138,662,113,607,340,157,503,1823,473,322,628,111,333,908,260,938,827,1579,...,2339,564,666,764,716,791,1682,...,503,782,...,451,592,370,488,...,...,...,...,602,...,...,...,2082,...,245,905,196,232,343
平成30年12月上旬,2018,12上,474,88,102,...,...,108,91,650,283,135,...,...,...,355,...,...,...,...,...,...,146,663,117,610,336,...,496,1737,...,...,...,116,...,...,256,918,...,...,...,2409,564,584,744,721,793,...,...,...,...,...,441,565,...,...,...,...,...,...,520,...,...,...,1947,...,247,...,195,230,336
平成30年12月中旬,2018,12中,474,112,94,...,340,115,91,651,301,138,394,332,116,365,283,889,280,235,201,137,131,649,113,619,333,157,465,1775,473,322,628,107,333,908,256,912,827,1579,...,2353,561,608,743,710,772,1682,...,503,782,...,454,601,370,488,...,...,...,...,604,...,...,...,1926,...,247,905,196,234,340
平成30年12月下旬,2018,12下,474,92,94,...,...,101,90,649,286,132,...,...,...,362,...,...,...,...,...,...,138,675,110,591,352,...,547,1955,...,...,...,112,...,...,268,985,...,...,...,2254,567,806,804,717,808,...,...,...,...,...,458,611,...,...,...,...,...,...,682,...,...,...,2373,...,242,...,195,234,352
平成31年１月上旬,2019,1上,466,157,73,...,...,145,89,659,312,132,...,...,...,353,...,...,...,...,...,...,168,954,132,766,503,...,621,2156,...,...,...,142,...,...,275,1093,...,...,...,2643,622,982,861,756,1032,...,...,...,...,...,496,700,...,...,...,...,...,...,...,...,...,...,2367,...,247,...,205,247,345
平成31年１月中旬,2019,1中,471,128,95,...,322,107,92,646,297,153,406,338,120,347,293,922,277,235,201,134,171,861,125,712,479,158,639,2236,499,321,711,136,345,883,265,1040,845,1562,...,2297,556,824,825,665,1011,1849,...,510,754,...,496,684,414,511,...,...,...,...,...,...,...,...,1954,...,247,894,194,235,336
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018年1月,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成３１年１月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
