年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和元年５月,2019,5,448,95,89,198,330,104,82,657,272,178,371,318,116,...,281,906,265,238,205,129,191,713,197,671,363,158,582,2071,486,358,810,160,377,951,281,1355,818,1618,...,2243,487,430,629,605,841,1695,871,464,678,...,566,...,406,521,856,...,...,...,...,...,488,887,1587,...,255,1038,209,225,337
令和元年６月,2019,6,449,102,82,197,317,113,84,660,283,172,369,327,125,...,280,888,267,236,203,131,168,740,189,716,316,159,664,1934,577,346,892,165,365,947,272,2425,821,1582,1703,2185,488,470,664,610,803,1695,778,456,673,...,648,...,415,530,...,...,2088,...,...,...,428,707,...,3496,259,977,192,221,327
令和元年６月上旬,2019,6上,436,88,76,198,...,105,85,661,286,171,...,...,...,...,...,...,...,...,...,...,178,719,195,719,327,...,655,1926,...,...,...,158,...,...,281,2088,...,...,1821,2162,504,443,621,592,806,...,800,...,...,...,640,...,...,...,...,...,2217,...,...,...,441,701,...,4186,262,...,192,222,328
令和元年６月中旬,2019,6中,466,108,93,196,317,108,83,653,287,180,369,327,125,...,280,888,267,236,203,131,165,693,186,699,309,159,686,1913,577,346,892,164,365,947,271,2533,821,1582,1687,2194,466,440,656,607,801,1695,747,456,673,...,657,...,415,530,...,...,2137,...,...,...,426,718,...,3532,259,977,192,222,329
令和元年６月下旬,2019,6下,447,108,75,196,...,125,83,665,277,167,...,...,...,...,...,...,...,...,...,...,162,808,187,728,312,...,652,1962,...,...,...,174,...,...,264,2655,...,...,1600,2200,494,528,716,630,801,...,788,...,...,...,647,...,...,...,...,...,1910,...,...,...,416,703,...,2770,257,...,192,220,323
令和元年７月上旬,2019,7上,440,98,80,197,...,121,80,659,278,163,...,...,...,...,...,...,...,...,...,...,160,873,184,716,279,...,651,1959,...,...,...,161,...,...,245,2392,...,...,1477,2147,506,535,668,608,889,...,809,...,...,...,674,...,...,...,...,...,1651,2779,...,1177,392,651,...,2557,252,...,193,216,323
令和元年７月中旬,2019,7中,447,104,83,195,326,120,112,665,286,147,362,314,128,...,271,900,266,237,201,131,150,934,179,746,295,158,635,1921,602,363,1130,161,379,961,245,2125,815,1550,1387,2221,519,580,667,609,878,1626,907,467,671,...,678,...,359,507,...,...,1645,2907,...,1137,392,646,...,2684,250,952,195,221,327
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和元年7月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７．主要品目の東京都区部小売価格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
