,,,,,,,,,,(単位：トン）,,,,,
品種,,定期航路,,,,,,不定期航路,,,,,,,
,,九州,,,沖縄,,,合計,,,,,,,
,,計,移出,移入,計,移出,移入,計,移出,移入,,,,,
合計,,"313,680","143,758","169,922","507,142","426,086","81,056","743,735","514,401","229,334",,,,,
農水産品,,"8,060","6,560","1,500",-,-,-,"99,276","93,758","5,518",,,,,
1,麦,"1,085",685,400,-,-,-,"5,492","5,492",-,,,,,
2,米,270,240,30,-,-,-,210,210,-,,,,,
3,とうもろこし,-,-,-,-,-,-,"1,734","1,734",-,,,,,
4,豆類,855,320,535,-,-,-,"11,709","11,694",15,,,,,
5,その他雑穀,300,300,-,-,-,-,540,540,-,,,,,
6,野菜・果物,"4,790","4,260",530,-,-,-,"37,973","37,587",386,,,,,
7,綿花,-,-,-,-,-,-,85,75,10,,,,,
8,その他農産品,150,145,5,-,-,-,"8,286","8,265",21,,,,,
9,羊毛,-,-,-,-,-,-,126,126,-,,,,,
10,その他畜産品,500,500,-,-,-,-,"18,074","14,598","3,476",,,,,
11,水産品,110,110,-,-,-,-,"15,047","13,437","1,610",,,,,
林産品,,"5,130","2,445","2,685",-,-,-,"15,413","15,015",398,,,,,
12,原木,-,-,-,-,-,-,117,117,-,,,,,
13,製材,305,240,65,-,-,-,"14,820","14,630",190,,,,,
14,樹脂類,"4,605","2,010","2,595",-,-,-,267,195,72,,,,,
15,木材チップ,10,-,10,-,-,-,13,13,-,,,,,
16,その他林産品,190,190,-,-,-,-,136,-,136,,,,,
17,薪炭,20,5,15,-,-,-,60,60,-,,,,,
鉱産品,,"1,395",725,670,-,-,-,"9,517","9,442",75,,,,,
18,石炭,-,-,-,-,-,-,255,255,-,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,,,,,
20,金属鉱,-,-,-,-,-,-,"4,024","4,024",-,,,,,
21,砂利・砂,875,215,660,-,-,-,657,597,60,,,,,
22,石材,520,510,10,-,-,-,628,628,-,,,,,
23,原油,-,-,-,-,-,-,38,38,-,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,,,,,
25,石灰石,-,-,-,-,-,-,-,-,-,,,,,
26,原塩,-,-,-,-,-,-,101,101,-,,,,,
27,非金属鉱物,-,-,-,-,-,-,"3,814","3,799",15,,,,,
金属機械工業品,,"24,915","18,995","5,920","55,778","55,778",-,"123,452","48,542","74,910",,,,,
28,鉄鋼,10,10,-,-,-,-,296,221,75,,,,,
29,鋼材,"1,285",735,550,-,-,-,"4,445",727,"3,718",,,,,
