,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,
航路別,合計,,,1月,,,2月,,,3月,,,4月,,,5月,,,6月,,,7月,,,8月,,,9月,,,10月,,,11月,,,12月,,,航路別
,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,
合計,"47,981,969","12,770,411","35,211,558","3,841,822","877,238","2,964,584","3,844,838","995,923","2,848,915","3,684,261","1,120,064","2,564,197","3,997,288","1,094,295","2,902,993","4,004,103","1,028,948","2,975,155","4,008,943","1,156,956","2,851,987","4,028,310","1,086,418","2,941,892","4,012,586","1,067,137","2,945,449","4,081,548","1,076,331","3,005,217","4,182,707","1,103,741","3,078,966","4,269,937","1,039,908","3,230,029","4,025,626","1,123,452","2,902,174",合計
定期航路計,"47,981,969","12,770,411","35,211,558","3,841,822","877,238","2,964,584","3,844,838","995,923","2,848,915","3,684,261","1,120,064","2,564,197","3,997,288","1,094,295","2,902,993","4,004,103","1,028,948","2,975,155","4,008,943","1,156,956","2,851,987","4,028,310","1,086,418","2,941,892","4,012,586","1,067,137","2,945,449","4,081,548","1,076,331","3,005,217","4,182,707","1,103,741","3,078,966","4,269,937","1,039,908","3,230,029","4,025,626","1,123,452","2,902,174",定期航路計
世界一周,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,世界一周
北米西岸(メキシコ含む),"6,809,415","2,304,670","4,504,745","481,657","138,276","343,381","506,482","182,996","323,486","573,070","224,906","348,164","617,948","187,987","429,961","523,301","150,312","372,989","593,050","204,825","388,225","537,123","168,019","369,104","534,654","178,172","356,482","621,199","239,646","381,553","636,973","214,834","422,139","593,262","194,610","398,652","590,696","220,087","370,609",北米西岸(メキシコ含む)
北米東岸(カリビア海含む),"1,684,960","631,938","1,053,022","138,761","40,641","98,120","136,753","51,333","85,420","157,204","49,145","108,059","135,736","51,110","84,626","167,951","59,714","108,237","124,306","50,531","73,775","149,545","44,165","105,380","134,880","55,574","79,306","128,810","48,312","80,498","117,730","61,623","56,107","143,935","54,155","89,780","149,349","65,635","83,714",北米東岸(カリビア海含む)
北欧・地中海,"3,110,531","1,346,251","1,764,280","256,735","112,491","144,244","283,567","120,630","162,937","217,899","116,115","101,784","235,503","100,417","135,086","281,168","114,604","166,564","234,809","109,171","125,638","232,427","100,603","131,824","293,172","117,419","175,753","250,416","105,859","144,557","279,805","123,246","156,559","258,157","87,966","170,191","286,873","137,730","149,143",北欧・地中海
南米西岸,"565,292","28,792","536,500","63,029","1,670","61,359","57,544","1,549","55,995","66,228","2,320","63,908","64,819",194,"64,625","41,998",153,"41,845","23,198",466,"22,732","48,846","2,055","46,791","40,240","1,944","38,296","32,007","3,466","28,541","30,005","3,759","26,246","68,292","8,718","59,574","29,086","2,498","26,588",南米西岸
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,南米東岸
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,南米東岸･南ア経由
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アフリカ
オセアニア,"700,878","111,119","589,759","19,191","2,726","16,465","27,334","2,627","24,707","59,282","13,132","46,150","78,891","15,784","63,107","89,087","14,353","74,734","80,861","13,205","67,656","86,529","14,426","72,103","73,932","8,425","65,507","58,730","8,858","49,872","51,084","6,372","44,712","54,532","6,822","47,710","21,425","4,389","17,036",オセアニア
