,,,,,,,(単位：ＴＥＵ）
国別・港別,合計,,,輸出,,輸入,
,計,実入,空,実入,空,実入,空
チッタゴン,28,28,-,-,-,28,-
スリランカ,347,347,-,-,-,347,-
コロンボ,347,347,-,-,-,347,-
イラン,13,13,-,-,-,13,-
諸港(イラン),13,13,-,-,-,13,-
サウジアラビア,682,682,-,327,-,355,-
ダンマン,7,7,-,-,-,7,-
ジエッダ,647,647,-,327,-,320,-
ジュバイル,22,22,-,-,-,22,-
諸港（サウジアラビア）,6,6,-,-,-,6,-
アラブ首長国,33,33,-,-,-,33,-
アブダビ,1,1,-,-,-,1,-
ジェベルアリ,32,32,-,-,-,32,-
オマーン,6,6,-,-,-,6,-
スハール,6,6,-,-,-,6,-
イスラエル,430,430,-,-,-,430,-
ハイファ,281,281,-,-,-,281,-
アシドッド,149,149,-,-,-,149,-
ヨルダン,161,161,-,-,-,161,-
アカバ,161,161,-,-,-,161,-
レバノン,1,1,-,-,-,1,-
ベイルート,1,1,-,-,-,1,-
トルコ,523,523,-,-,-,523,-
イスタンブール,11,11,-,-,-,11,-
イズミト,4,4,-,-,-,4,-
イズミル,63,63,-,-,-,63,-
メルシン,16,16,-,-,-,16,-
イスケンデルン,19,19,-,-,-,19,-
ゲブゼ,123,123,-,-,-,123,-
ゲムポート,287,287,-,-,-,287,-
カタール,174,174,-,-,-,174,-
ドーハ,4,4,-,-,-,4,-
メサイード,170,170,-,-,-,170,-
バーレーン,28,28,-,-,-,28,-
バーレーン,28,28,-,-,-,28,-
ブルネイ,2,2,-,-,-,2,-
ムアラ,2,2,-,-,-,2,-
ヨーロッパ,"173,373","172,359","1,014","64,210",579,"108,149",435
ノルウェー,113,113,-,-,-,113,-
オスロ,5,5,-,-,-,5,-
フレドリクスタ,2,2,-,-,-,2,-
ブレビク,13,13,-,-,-,13,-
オーレスン,16,16,-,-,-,16,-
諸港(ノルウェー),77,77,-,-,-,77,-
スウェーデン,269,269,-,-,-,269,-
イェブレ,16,16,-,-,-,16,-
ゴーセンブルグ,164,164,-,-,-,164,-
諸港(スウェーデン),89,89,-,-,-,89,-
デンマーク,45,45,-,-,-,45,-
コペンハーゲン,15,15,-,-,-,15,-
オールフス,25,25,-,-,-,25,-
オールベク,4,4,-,-,-,4,-
フレデリカ,1,1,-,-,-,1,-
イギリス,"15,811","15,752",59,"5,816",8,"9,936",51
ハル,15,15,-,15,-,-,-
フィリクストーエ,63,63,-,-,-,63,-
ロンドン,5,5,-,-,-,5,-
サザンプトン,"15,534","15,475",59,"5,801",8,"9,674",51
ベルファスト,3,3,-,-,-,3,-
テムズポート,16,16,-,-,-,16,-
サウスシールズ,34,34,-,-,-,34,-
グレーンジマス,130,130,-,-,-,130,-
イミンガム,1,1,-,-,-,1,-
ティーポート,10,10,-,-,-,10,-
アイルランド,221,221,-,-,-,221,-
ダブリン,221,221,-,-,-,221,-
ポーランド,217,217,-,-,-,217,-
グダニスク,209,209,-,-,-,209,-
シュチェチン,8,8,-,-,-,8,-
フィンランド,773,773,-,-,-,773,-
ヘルシンキ,437,437,-,-,-,437,-
ラウマ,54,54,-,-,-,54,-
コトカ,282,282,-,-,-,282,-
フランス,"22,935","22,702",233,"2,673",216,"20,029",17
ルアーブル,"22,381","22,148",233,"2,673",216,"19,475",17
フォス,554,554,-,-,-,554,-
ドイツ,"53,343","53,023",320,"16,069",142,"36,954",178
ハンブルグ,"53,256","52,936",320,"16,069",142,"36,867",178
諸港(ドイツ),87,87,-,-,-,87,-
ポルトガル,145,145,-,-,-,145,-
レイショーズ,38,38,-,-,-,38,-
リスボン,107,107,-,-,-,107,-
スペイン,"1,240","1,240",-,37,-,"1,203",-
バルセロナ,319,319,-,-,-,319,-
バレンシア,680,680,-,37,-,643,-
ビルバオ,43,43,-,-,-,43,-
ビゴ,198,198,-,-,-,198,-
イタリア,"2,153","2,153",-,-,-,"2,153",-
トリエステ,275,275,-,-,-,275,-
ベネチア,599,599,-,-,-,599,-
ジェノバ,236,236,-,-,-,236,-
ラスペチア,105,105,-,-,-,105,-
リボルノ,187,187,-,-,-,187,-
ナポリ,164,164,-,-,-,164,-
カリアーリ,3,3,-,-,-,3,-
バリ,307,307,-,-,-,307,-
アンコナ,258,258,-,-,-,258,-
サレルノ,19,19,-,-,-,19,-
マルタ,41,41,-,-,-,41,-
バレッタ,41,41,-,-,-,41,-
ロシア,265,265,-,-,-,265,-
サンクト・ペテルスブルグ,265,265,-,-,-,265,-
オランダ,"73,440","73,038",402,"39,615",213,"33,423",189
ロッテルダム,"73,440","73,038",402,"39,615",213,"33,423",189
ベルギー,108,108,-,-,-,108,-
アントワープ,107,107,-,-,-,107,-
ゼーブルッゲ,1,1,-,-,-,1,-
ギリシャ,85,85,-,-,-,85,-
テサロニキ,72,72,-,-,-,72,-
ピレエフス,13,13,-,-,-,13,-
ルーマニア,"1,067","1,067",-,-,-,"1,067",-
コンスタンツア,"1,067","1,067",-,-,-,"1,067",-
ブルガリア,33,33,-,-,-,33,-
バルナ,33,33,-,-,-,33,-
エストニア,230,230,-,-,-,230,-
タリン,230,230,-,-,-,230,-
ラトビア,162,162,-,-,-,162,-
リガ,158,158,-,-,-,158,-
諸港(ラトビア),4,4,-,-,-,4,-
リトアニア,50,50,-,-,-,50,-
クライペタ,50,50,-,-,-,50,-
ウクライナ,2,2,-,-,-,2,-
オデッサ,2,2,-,-,-,2,-
クロアチア,19,19,-,-,-,19,-
リエカ,19,19,-,-,-,19,-
スロベニア,589,589,-,-,-,589,-
