,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
品種,,タコマ,オークランド,大連,高雄,"新港,天津",厦門,ハイフォン,ポートケラン,寧波－舟山,ハンブルグ,ジャカルタ,カイメップ,ロッテルダム,"ホーチミン
及びカトライ",ロングビーチ,煙台,マニラ,ルアーブル,ノーフォーク,バンコク,品種,,,,
合計,,"1,024,685","985,128","804,591","719,859","695,278","670,033","663,557","639,170","588,783","556,857","533,172","521,217","513,590","495,483","430,192","415,319","340,312","271,541","266,383","246,222",合計,,,,
農水産品,,"106,727","701,714","88,702","91,247","10,880","62,736","8,746","21,980","41,812","25,330","7,064","76,655","55,633","38,133","31,222","168,738","6,036","19,052","30,951","31,423",農水産品,,,,
1,麦,780,360,-,-,-,-,-,120,-,-,-,-,-,-,-,-,-,"2,955",-,-,1,麦,,,
2,米,-,"15,465",225,405,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,"1,440",2,米,,,
3,とうもろこし,405,612,9,-,-,-,-,-,15,87,-,-,-,-,395,-,-,-,90,30,3,とうもろこし,,,
4,豆類,"6,019",450,495,-,-,150,-,150,-,-,-,-,-,-,"13,648",75,-,29,"10,515",15,4,豆類,,,
5,その他雑穀,"5,799",60,195,-,165,-,-,-,-,-,-,-,45,-,-,-,-,-,240,-,5,その他雑穀,,,
6,野菜・果物,"42,922","144,015","10,055","48,871","6,387","53,559","4,391","1,230","17,272",404,29,"5,894","1,761","2,671","3,121","93,270","4,352","1,007",-,"2,301",6,野菜・果物,,,
7,綿花,-,-,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,
8,その他農産品,"8,218","6,352","6,717","8,674","3,276","3,994",148,"3,326",218,"2,787","1,312","12,746","15,141","7,602",765,"11,625",158,"1,548","7,960","5,137",8,その他農産品,,,
9,羊毛,-,-,-,30,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,
10,その他畜産品,"30,502","532,508",542,"10,328",654,136,-,"9,220",763,"16,687",-,14,"10,131",-,"13,121",90,238,"13,184","12,146","19,353",10,その他畜産品,,,
11,水産品,"12,082","1,892","70,464","22,834",398,"4,897","4,207","7,934","23,531","5,365","5,723","58,001","28,555","27,815",172,"63,678","1,288",329,-,"3,147",11,水産品,,,
林産品,,"69,146",54,"5,825","23,149",402,"4,567","4,209","34,250","3,930","44,563","4,815",646,"30,726","6,897","1,254",430,30,945,"1,254","2,025",林産品,,,,
12,原木,-,-,-,-,-,-,162,144,-,-,-,-,-,-,935,-,-,-,117,15,12,原木,,,
13,製材,"68,591",41,"4,370","20,599",177,"2,542",22,"25,801","1,560","37,573",315,46,"30,696",520,169,40,-,15,"1,107",-,13,製材,,,
14,樹脂類,-,-,-,"1,740",-,-,-,"2,140",-,60,"4,215",210,-,"2,520",120,-,-,600,30,-,14,樹脂類,,,
15,木材チップ,225,13,255,-,15,45,45,-,-,"6,930",15,60,30,"2,263",30,-,-,330,-,-,15,木材チップ,,,
16,その他林産品,-,-,-,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,
17,薪炭,330,-,"1,200",330,210,"1,980","3,980","6,165","2,370",-,270,330,-,"1,594",-,390,30,-,-,"2,010",17,薪炭,,,
鉱産品,,203,"1,827","13,477","8,629","24,694","50,211","7,160","1,545",658,"9,896",300,555,"1,922",475,"1,894","6,090",798,"3,705","2,761","9,495",鉱産品,,,,
18,石炭,-,-,510,"2,310","1,445",-,645,-,270,"5,417",-,-,"1,682",-,-,-,-,-,"1,379",-,18,石炭,,,
19,鉄鉱石,-,-,-,-,10,-,-,-,-,-,-,-,30,-,23,-,-,-,-,-,19,鉄鉱石,,,
20,金属鉱,81,345,-,-,510,-,-,150,-,-,-,-,-,-,560,-,-,-,75,-,20,金属鉱,,,
21,砂利・砂,-,815,"2,865",765,972,-,15,390,-,326,-,-,-,-,65,"2,745",435,-,647,120,21,砂利・砂,,,
22,石材,55,-,"2,657","1,995","5,585","49,866","1,670",855,75,319,240,345,120,-,280,"3,345",36,"3,450",-,-,22,石材,,,
23,原油,-,-,15,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,15,-,23,原油,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,
25,石灰石,-,232,-,-,-,-,"1,245",-,-,-,-,-,-,-,22,-,-,-,-,-,25,石灰石,,,
26,原塩,-,30,-,45,15,-,60,-,-,"1,550",-,15,-,30,70,-,300,120,90,-,26,原塩,,,
27,非金属鉱物,67,405,"7,430","3,514","16,157",345,"3,525",150,313,"2,284",60,195,90,445,814,-,27,135,555,"9,375",27,非金属鉱物,,,
金属機械工業品,,"19,951","16,137","273,056","141,627","326,324","253,791","153,762","166,911","176,940","213,109","148,138","49,880","51,993","70,904","178,338","90,458","147,583","14,139","20,291","43,459",金属機械工業品,,,,
28,鉄鋼,-,-,58,255,"3,821",-,-,"1,290",-,"9,983",-,90,360,30,69,-,-,-,104,-,28,鉄鋼,,,
29,鋼材,160,363,"2,461","16,538","10,059",-,15,"1,349","1,411","3,689",357,965,519,"1,165","1,368",-,18,402,187,630,29,鋼材,,,
30,非鉄金属,"1,045",467,"1,667","6,323","4,728","1,570","1,961","2,243","1,631","2,521","1,708",815,"1,239",701,"2,391","7,042","1,191",465,203,"2,476",30,非鉄金属,,,
31,金属製品,"8,837","1,632","73,747","52,302","31,011","73,227","17,752","27,729","31,635","20,636","32,787","14,169","8,577","45,398","73,257","8,984","7,606",958,"3,857","20,574",31,金属製品,,,
32,鉄道車両,30,-,85,-,-,-,66,-,-,"2,349",-,-,-,-,30,-,-,-,-,-,32,鉄道車両,,,
33,完成自動車,481,525,80,216,109,-,13,261,60,"2,138",140,22,618,-,869,-,12,203,169,30,33,完成自動車,,,
34,その他輸送用車両,270,-,"1,006",717,462,"2,275",60,30,"4,873","1,187",15,277,231,649,431,-,11,180,135,90,34,その他輸送用車両,,,
35,二輪自動車,46,"3,480",-,396,926,-,563,15,750,"6,665",75,-,-,-,"1,470",-,-,-,30,225,35,二輪自動車,,,
36,自動車部品,978,"3,204","2,841","20,134","8,966","30,151","48,498","8,281","13,304","59,288","37,224","3,689","9,595","4,516","68,661","11,646","26,526","2,687","8,458","6,834",36,自動車部品,,,
