,,,,,,,,,,,(単位：トン）,,,,,
品種,,苫小牧,仙台塩釜,神戸,横浜,清水,名古屋,博多,那覇,岩国,八戸,,,,,
合計,,"299,738","176,377","123,117","90,459","90,040","88,512","82,961","81,056","39,940","28,247",,,,,
農水産品,,"36,965","12,346",209,"5,925",400,10,"1,090",-,5,110,,,,,
1,麦,"1,075",-,-,-,-,-,-,-,-,-,,,,,
2,米,"2,100",-,-,-,-,-,30,-,-,-,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,,,,,
4,豆類,880,-,15,-,-,-,530,-,-,-,,,,,
5,その他雑穀,215,-,-,-,-,-,-,-,-,-,,,,,
6,野菜・果物,"29,040","4,261",-,-,150,-,525,-,5,-,,,,,
7,綿花,-,-,10,-,-,-,-,-,-,-,,,,,
8,その他農産品,"1,475",-,21,-,-,-,5,-,-,-,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,,,,,
10,その他畜産品,"1,310",-,-,"5,170",-,-,-,-,-,-,,,,,
11,水産品,870,"8,085",163,755,250,10,-,-,-,110,,,,,
林産品,,"1,115",-,132,-,-,-,90,-,"1,735",-,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,,,,,
13,製材,675,-,60,-,-,-,20,-,10,-,,,,,
14,樹脂類,120,-,72,-,-,-,45,-,"1,725",-,,,,,
15,木材チップ,-,-,-,-,-,-,10,-,-,-,,,,,
16,その他林産品,310,-,-,-,-,-,-,-,-,-,,,,,
17,薪炭,10,-,-,-,-,-,15,-,-,-,,,,,
鉱産品,,280,-,75,-,-,-,10,-,-,-,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,,,,,
20,金属鉱,-,-,-,-,-,-,-,-,-,-,,,,,
21,砂利・砂,115,-,60,-,-,-,-,-,-,-,,,,,
22,石材,100,-,-,-,-,-,10,-,-,-,,,,,
23,原油,-,-,-,-,-,-,-,-,-,-,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,,,,,
25,石灰石,15,-,-,-,-,-,-,-,-,-,,,,,
26,原塩,-,-,-,-,-,-,-,-,-,-,,,,,
27,非金属鉱物,50,-,15,-,-,-,-,-,-,-,,,,,
金属機械工業品,,"28,309","4,014","24,139","10,007","12,920","3,223","3,880",-,380,388,,,,,
28,鉄鋼,20,-,75,-,-,-,-,-,-,-,,,,,
29,鋼材,80,-,"3,593",-,-,-,5,-,380,-,,,,,
30,非鉄金属,115,-,859,-,-,-,20,-,-,-,,,,,
31,金属製品,"3,655",-,"1,263","1,743",-,95,"1,520",-,-,-,,,,,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,,,,,
33,完成自動車,232,-,-,-,-,-,-,-,-,-,,,,,
34,その他輸送用車両,37,-,60,-,-,-,15,-,-,-,,,,,
35,二輪自動車,-,-,60,-,-,-,-,-,-,-,,,,,
36,自動車部品,"21,210",-,"4,143","5,566","12,065","1,603",135,-,-,-,,,,,
37,その他輸送機械,-,-,247,-,-,-,-,-,-,-,,,,,
38,産業機械,405,-,"10,303",-,200,403,275,-,-,-,,,,,
39,電気機械,445,"2,246","2,061",920,220,"1,122","1,865",-,-,278,,,,,
40,測量・光学・医療機械,10,"1,768","1,475","1,778",435,-,30,-,-,110,,,,,
41,事務用機器,555,-,-,-,-,-,-,-,-,-,,,,,
42,その他機械,"1,545",-,-,-,-,-,15,-,-,-,,,,,
化学工業品,,"4,391","1,574","12,877","2,999",329,165,"1,385",-,"2,660",55,,,,,
43,陶磁器,-,-,-,-,-,-,-,-,-,-,,,,,
44,セメント,-,-,-,-,-,-,-,-,-,-,,,,,
45,ガラス類,5,-,197,-,-,-,-,-,-,-,,,,,
46,窯業品,-,-,"3,898",-,-,-,-,-,30,-,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,,,,,
48,揮発油,-,-,-,-,-,-,-,-,-,-,,,,,
49,その他の石油,175,-,130,-,-,-,140,-,-,-,,,,,
50,LNG/液化天然ガス,20,-,-,-,-,-,-,-,-,-,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,105,-,-,-,,,,,
52,その他石油製品,50,-,40,-,-,-,10,-,-,-,,,,,
53,コークス,-,-,-,-,-,-,-,-,-,-,,,,,
54,石炭製品,-,-,-,-,-,-,-,-,-,-,,,,,
55,化学薬品,"2,006",-,"2,755",-,-,30,130,-,"2,540",-,,,,,
56,化学肥料,"1,855",-,30,-,-,-,"1,000",-,-,-,,,,,
57,その他化学工業品,280,"1,574","5,827","2,999",329,135,-,-,90,55,,,,,
軽工業品,,"119,085","1,371","3,505","3,565","1,065",75,"32,190","29,310","34,765",60,,,,,
58,紙・パルプ,"62,045",-,97,-,371,-,"9,915",-,"34,760",-,,,,,
59,糸及び紡績半製品,-,-,"2,004",-,-,75,-,-,-,-,,,,,
60,その他繊維工業品,-,-,381,-,-,-,5,-,-,-,,,,,
61,砂糖,"37,725",882,-,"1,732",67,-,330,-,-,60,,,,,
62,製造食品,"11,950",489,884,"1,833",627,-,"6,460",-,5,-,,,,,
63,飲料,"2,575",-,122,-,-,-,"4,800","29,310",-,-,,,,,
64,水,"3,945",-,17,-,-,-,"9,155",-,-,-,,,,,
65,たばこ,-,-,-,-,-,-,"1,345",-,-,-,,,,,
66,その他食料工業品,845,-,-,-,-,-,180,-,-,-,,,,,
雑工業品,,"9,215",952,"1,359","3,319",252,-,"3,050",-,225,26,,,,,
67,がん具,-,-,-,-,-,-,-,-,-,-,,,,,
68,衣服・身廻品・はきもの,-,452,113,"1,774",139,-,55,-,-,26,,,,,
69,文房具・運動娯楽用品・楽器,20,432,629,"1,445",35,-,40,-,-,-,,,,,
70,家具装備品,250,-,99,-,-,-,"1,105",-,-,-,,,,,
71,その他日用品,"4,260",68,-,-,-,-,965,-,5,-,,,,,
72,ゴム製品,160,-,270,-,78,-,375,-,90,-,,,,,
73,木製品,-,-,-,-,-,-,5,-,-,-,,,,,
74,その他製造工業品,"4,525",-,248,100,-,-,505,-,130,-,,,,,
特殊品,,"100,378","156,120","80,821","64,644","75,074","85,039","41,266","51,746",170,"27,608",,,,,
75,金属くず,"1,815",-,-,-,-,-,-,-,-,-,,,,,
76,再利用資材,"6,870",-,-,10,-,-,-,-,-,-,,,,,
77,動植物性製造飼肥料,"1,125",-,-,-,-,-,85,-,-,-,,,,,
78,廃棄物,5,-,-,-,-,-,125,-,-,-,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,,,,,
80,輸送用容器,"79,545",-,618,-,-,-,"26,995",-,70,-,,,,,
