,,,,,,,,,,,(単位：トン）,,,
品種,,上海,レムチャバン,香港,青島,蛇口,バンクーバー,釜山,ロサンゼルス,シンガポール,太倉,,,
合計,,"3,998,943","2,172,940","1,916,136","1,754,391","1,684,701","1,254,435","1,155,545","1,142,304","1,115,891","1,111,830",,,
農水産品,,"75,984","175,782","221,071","403,323","6,663","448,088","72,505","212,807","111,365",797,,,
1,麦,-,-,-,-,-,"18,973",281,105,660,-,,,
2,米,-,"2,385",-,-,-,-,1,-,177,-,,,
3,とうもろこし,-,45,30,-,-,435,30,"3,148",90,-,,,
4,豆類,590,255,"1,275",225,30,"86,601","1,575","13,147",148,-,,,
5,その他雑穀,-,-,-,-,-,75,-,390,15,-,,,
6,野菜・果物,"52,077","24,398","8,358","301,615","2,078","4,893","14,986","74,733","13,663",195,,,
7,綿花,-,-,-,-,34,-,-,30,45,-,,,
8,その他農産品,"11,871","3,625","1,193","37,847","3,205","3,194","2,075","2,179","14,924",270,,,
9,羊毛,90,-,-,-,-,-,-,-,75,14,,,
10,その他畜産品,"5,651","94,878","170,202","3,057",623,"326,187","11,292","116,389","39,596",198,,,
11,水産品,"5,705","50,196","40,013","60,579",693,"7,730","42,265","2,686","41,972",120,,,
林産品,,"15,383","3,398","5,448","2,742","6,714","397,546","27,585",668,"12,265",465,,,
12,原木,689,-,15,-,528,322,-,-,45,465,,,
13,製材,"7,114",381,"5,079","1,977","6,156","396,294","27,545",430,"3,550",-,,,
14,樹脂類,860,855,39,-,-,-,-,183,"7,215",-,,,
15,木材チップ,120,60,30,-,-,930,25,25,705,-,,,
16,その他林産品,114,-,30,-,-,-,-,-,-,-,,,
17,薪炭,"6,486","2,102",255,765,30,-,15,30,750,-,,,
鉱産品,,"6,967","10,080","14,002","10,232","5,333","2,495","3,221","4,164","12,993","2,115",,,
18,石炭,987,"3,900",360,480,-,"1,035",135,-,"2,833",75,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,120,,,
20,金属鉱,120,60,660,-,-,-,90,92,"1,260",-,,,
21,砂利・砂,140,225,90,"2,415",930,229,210,454,705,-,,,
22,石材,"1,844",-,"2,904","5,573",743,31,615,175,"2,175",720,,,
23,原油,-,-,90,60,-,-,-,"1,050",-,-,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,,,
25,石灰石,"1,320",-,-,-,45,-,-,-,15,-,,,
26,原塩,675,-,30,879,-,-,45,443,418,"1,170",,,
27,非金属鉱物,"1,881","5,895","9,868",825,"3,615","1,200","2,126","1,950","5,587",30,,,
金属機械工業品,,"1,280,836","812,648","674,465","128,628","614,407","41,718","270,262","152,675","166,543","591,582",,,
28,鉄鋼,620,-,315,"2,145",407,30,638,28,"1,650",105,,,
29,鋼材,"5,944","3,733","1,144","2,685",393,157,"20,444","2,525","5,479","1,039",,,
30,非鉄金属,"30,643","16,529","8,008","1,919","4,151","2,236","11,027","7,118","3,073","1,090",,,
31,金属製品,"170,356","171,658","45,958","21,408","50,097","8,105","45,437","45,508","14,156","119,814",,,
32,鉄道車両,13,-,14,9,189,-,-,49,-,-,,,
33,完成自動車,"1,289",387,325,39,26,"1,885",776,"2,561","5,286",15,,,
