,,,,,,,,,,,,,,,,,,,(単位：トン）
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入
コーク,"9,714",880,"8,834",トラパーニ,157,-,157,カナダ,"1,411,710","145,826","1,265,884",ティファナ,230,230,-,ロゾー,6,6,-
ガルウェイ,2,2,-,チィビタベッキア,233,128,105,ｼｬｰﾛｯﾄﾀｳﾝ,15,15,-,諸港(メキシコ),"4,639","4,639",-,セントルシア,2,2,-
諸港(アイルランド),57,-,57,ジオイアタウロ,"7,376",23,"7,353",ハリファクス,"7,771","5,011","2,760",ホンジュラス,981,849,132,カストリーズ,2,2,-
ポーランド,"33,965","5,059","28,906",サレルノ,"3,950",298,"3,652",セントジョン,226,-,226,プエルトコルテス,101,21,80,グアドループ,42,42,-
グジニア,"5,638","2,034","3,604",諸港(イタリア),"4,472","4,101",371,ケベック,213,213,-,サンロレンゾ,742,720,22,ポアント・ア・ピトル,15,15,-
グダニスク,"26,488","1,351","25,137",マルタ,30,30,-,モントリオール,"4,205","1,935","2,270",サンペドロスラ,43,43,-,諸港(グアドルーブ）,27,27,-
シュチェチン,320,200,120,バレッタ,30,30,-,トロント,"4,906","4,906",-,諸港(ホンジュラス),95,65,30,アンティグア・バーブーダ,1,1,-
諸港(ポーランド),"1,519","1,474",45,ロシア,"145,265","89,113","56,152",ハミルトン,3,3,-,グアテマラ,"1,381","1,146",235,諸港(アンティグア・バーブーダ）,1,1,-
フィンランド,"66,947","3,048","63,899",サンクト・ペテルスブルグ,"62,239","56,978","5,261",プリンスルーパート,"6,206",180,"6,026",サント トマス デ カステイジァ,21,6,15,ヴァージン諸島,15,15,-
オウル,"4,106",10,"4,096",ボストーチヌイ,"33,389",17,"33,372",バンクーバー,"1,385,129","130,694","1,254,435",プエルトケツアール,959,739,220,トルトラ,15,15,-
ヘルシンキ,"8,748","1,104","7,644",ウラジオストック,"39,127","23,169","15,958",諸港(カナダ),"3,036","2,869",167,諸港(グアテマラ),401,401,-,ケイマン諸島,2,2,-
ラウマ,"9,347","1,183","8,164",ノボロシースク,441,430,11,アメリカ,"7,023,518","2,841,018","4,182,500",エルサルバドル,728,728,-,諸港（ｹｲﾏﾝ諸島）,2,2,-
コトカ,"43,882",650,"43,232",諸港(ロシア),"10,069","8,519","1,550","ポートランド,メーン州",93,93,-,アカフトラ,368,368,-,南アメリカ,"589,475","81,738","507,737"
コッコラ,713,-,713,オランダ,"1,069,052","555,357","513,695",ボストン,"4,557","3,611",946,サンサルバドル,323,323,-,コロンビア,"1,558","1,273",285
諸港(フィンランド),151,101,50,アムステルダム,"15,618","15,618",-,ニューヨーク,"119,249","99,551","19,698",諸港(エルサルバドル),37,37,-,バランキア,109,109,-
フランス,"391,395","68,708","322,687",ロッテルダム,"1,046,904","533,314","513,590",フィラデルフィア,268,79,189,ニカラグア,233,53,180,カルタヘナ,333,78,255
ダンケルク,195,165,30,テルノイゼン,1,1,-,ボルチモア,"2,108","1,600",508,コリント,195,15,180,ブエナベンツラ,"1,033","1,018",15
ルアーブル,"326,987","55,446","271,541",諸港(オランダ),"6,529","6,424",105,"ウィルミントン,ノースカロライナ州",41,1,40,マナグア,38,38,-,諸港(コロンビア）,83,68,15
マルセーユ,47,47,-,ベルギー,"104,827","41,136","63,691",チャールストン,"196,548","72,370","124,178",コスタリカ,516,280,236,ベネズエラ,280,280,-
ブレスト,170,-,170,アントワープ,"101,206","37,815","63,391",サバンナ,"477,857","379,363","98,494",カルデラ,123,70,53,プエルトカベーヨ,1,1,-
ブルゴーニュ,4,4,-,ゼーブルッゲ,120,-,120,ジャクソンビル,"42,806","16,444","26,362",諸港(コスタリカ),393,210,183,グアンタ,246,246,-
諸港(フランス),"63,992","13,046","50,946",オーステンデ,5,5,-,マイアミ,"5,205","4,621",584,パナマ,"27,329","2,100","25,229",ラグアイラ,3,3,-
ドイツ,"820,350","246,914","573,436",諸港(ベルギー),"3,496","3,316",180,ノーフォーク,"374,062","107,679","266,383",パナマ,130,130,-,諸港(ベネズエラ）,30,30,-
キール,2,2,-,ギリシャ,"8,726","4,132","4,594",クリーブランド,313,313,-,コロン,375,375,-,ガイアナ,28,28,-
ハンブルグ,"780,796","223,939","556,857",テサロニキ,"1,866",48,"1,818",トレド,97,97,-,クリストバル,9,9,-,ジョウジタウン,28,28,-
ブレーメルハーフェン,"14,991",422,"14,569",ピレエフス,"6,773","4,006","2,767",デトロイト,204,204,-,バルボア,"19,257",1,"19,256",スリナム,22,22,-
ブレーメン,"1,035","1,035",-,イラクリオン,9,-,9,シカゴ,"32,689","32,599",90,マンザニロ,"7,399","1,426","5,973",パラマリボ,22,22,-
ビルへルムスハーフェン,"1,435",-,"1,435",諸港(ギリシャ),78,78,-,ミルウォキー,284,284,-,諸港(パナマ),159,159,-,エクアドル,766,438,328
フレンスブルグ,10,10,-,ルーマニア,"21,535","1,750","19,785",タンパ,4,4,-,バルバドス,232,232,-,グァヤキル,702,375,327
諸港(ドイツ),"22,081","21,506",575,コンスタンツア,"21,523","1,738","19,785",モビール,"1,301",49,"1,252",ブリッジタウン,232,232,-,諸港(エクアドル）,64,63,1
ポルトガル,"19,910","14,476","5,434",諸港(ルーマニア),12,12,-,ニューオリンズ,157,76,81,キューバ,113,37,76,ペルー,"28,621",728,"27,893"
レイショーズ,"5,423","4,347","1,076",ブルガリア,"1,575",236,"1,339",ヒューストン,"9,659","4,758","4,901",マンサニヨ,32,32,-,パイタ,284,5,279
リスボン,"12,207","10,082","2,125",バルナ,"1,364",50,"1,314",ダッチハーバー,"35,791",-,"35,791",諸港(キューバ),81,5,76,カヤオ,"28,280",666,"27,614"
シネシュ,"2,090",15,"2,075",ブルガス,85,60,25,シアトル,"19,545","2,409","17,136",ハイチ,43,43,-,イキトス,1,1,-
