,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,,
品種,,辰巳,,,13号地その2,,,,,,,,,大井,,,若洲,,,中央防波堤,,,品種,,,,,,
,,辰巳ふ頭,,,合計,,,青海コンテナふ頭（公共）,,,青海コンテナふ頭(埠頭㈱),,,大井コンテナふ頭,,,若洲内貿ふ頭,,,中央防波堤内側内貿ふ頭,,,,,,,,,
,,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,,,,,,,
合計,,"55,011","38,321","16,690","276,802","200,425","76,377","165,146","97,279","67,867","111,656","103,146","8,510","1,245,912","626,652","619,260","262,022","209,860","52,162","623,632","326,062","297,570",合計,,,,,,
農水産品,,"1,357","1,357",-,"24,696","15,702","8,994","13,422","9,950","3,472","11,274","5,752","5,522","109,470","97,381","12,089",-,-,-,"51,005","14,040","36,965",農水産品,,,,,,
1,麦,-,-,-,715,715,-,-,-,-,715,715,-,"5,492","5,492",-,-,-,-,"5,920","4,845","1,075",1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,210,210,-,-,-,-,"2,195",95,"2,100",2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,"1,734","1,734",-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,955,955,-,-,-,-,955,955,-,"10,859","10,844",15,-,-,-,"2,405","1,525",880,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,540,540,-,-,-,-,425,210,215,5,その他雑穀,,,,,
6,野菜・果物,"1,357","1,357",-,-,-,-,-,-,-,-,-,-,"46,137","41,726","4,411",-,-,-,"36,040","7,000","29,040",6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,85,75,10,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,-,-,-,-,-,-,"8,286","8,265",21,-,-,-,"1,705",230,"1,475",8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,126,126,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,"7,810","2,640","5,170",-,-,-,"7,810","2,640","5,170","12,928","12,928",-,-,-,-,"1,310",-,"1,310",10,その他畜産品,,,,,
11,水産品,-,-,-,"15,216","11,392","3,824","13,422","9,950","3,472","1,794","1,442",352,"23,073","15,441","7,632",-,-,-,"1,005",135,870,11,水産品,,,,,
林産品,,"3,230","2,964",266,"38,225","38,225",-,-,-,-,"38,225","38,225",-,"12,183","12,051",132,-,-,-,"2,910","1,795","1,115",林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,117,117,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,"3,094","2,964",130,"38,115","38,115",-,-,-,-,"38,115","38,115",-,"11,726","11,666",60,-,-,-,950,275,675,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,267,195,72,-,-,-,"1,295","1,175",120,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-,10,10,-,15,木材チップ,,,,,
16,その他林産品,136,-,136,110,110,-,-,-,-,110,110,-,-,-,-,-,-,-,360,50,310,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,60,60,-,-,-,-,295,285,10,17,薪炭,,,,,
鉱産品,,-,-,-,"1,045","1,045",-,-,-,-,"1,045","1,045",-,"9,517","9,442",75,-,-,-,"2,170","1,890",280,鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,255,255,-,-,-,-,-,-,-,18,石炭,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,,,
20,金属鉱,-,-,-,-,-,-,-,-,-,-,-,-,"4,024","4,024",-,-,-,-,40,40,-,20,金属鉱,,,,,
21,砂利・砂,-,-,-,-,-,-,-,-,-,-,-,-,657,597,60,-,-,-,860,745,115,21,砂利・砂,,,,,
22,石材,-,-,-,-,-,-,-,-,-,-,-,-,628,628,-,-,-,-,750,650,100,22,石材,,,,,
23,原油,-,-,-,-,-,-,-,-,-,-,-,-,38,38,-,-,-,-,-,-,-,23,原油,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,,,
25,石灰石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,285,270,15,25,石灰石,,,,,
26,原塩,-,-,-,-,-,-,-,-,-,-,-,-,101,101,-,-,-,-,-,-,-,26,原塩,,,,,
27,非金属鉱物,-,-,-,"1,045","1,045",-,-,-,-,"1,045","1,045",-,"3,814","3,799",15,-,-,-,235,185,50,27,非金属鉱物,,,,,
金属機械工業品,,"7,404","6,482",922,"74,341","40,660","33,681","73,354","40,185","33,169",987,475,512,"84,704","34,184","50,520","55,778","55,778",-,"47,469","19,160","28,309",金属機械工業品,,,,,,
28,鉄鋼,-,-,-,-,-,-,-,-,-,-,-,-,296,221,75,-,-,-,45,25,20,28,鉄鋼,,,,,
29,鋼材,-,-,-,-,-,-,-,-,-,-,-,-,"4,445",727,"3,718",-,-,-,775,695,80,29,鋼材,,,,,
30,非鉄金属,-,-,-,-,-,-,-,-,-,-,-,-,"5,699","4,840",859,-,-,-,115,-,115,30,非鉄金属,,,,,
31,金属製品,"7,335","6,460",875,"2,567",-,"2,567","2,518",-,"2,518",49,-,49,"8,347","6,989","1,358",-,-,-,"7,270","3,615","3,655",31,金属製品,,,,,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-,-,-,-,32,鉄道車両,,,,,
33,完成自動車,69,22,47,-,-,-,-,-,-,-,-,-,"1,321","1,291",30,-,-,-,"1,897","1,665",232,33,完成自動車,,,,,
