,,,,,,,(単位：ＴＥＵ）,,,
都道府県別・港別,合計,,,移出,,移入,,,,
,計,実入,空,実入,空,実入,空,,,
合計,"536,826","279,092","257,734","147,136","235,821","131,956","21,913",,,
北海道,"69,461","67,644","1,817","35,657",56,"31,987","1,761",,,
函館,130,68,62,68,-,-,62,,,
苫小牧,"69,331","67,576","1,755","35,589",56,"31,987","1,699",,,
青森県,"5,469","1,762","3,707",432,"3,599","1,330",108,,,
八戸,"5,469","1,762","3,707",432,"3,599","1,330",108,,,
岩手県,"3,328","2,652",676,"1,447",602,"1,205",74,,,
釜石,"1,392",805,587,508,570,297,17,,,
大船渡,"1,936","1,847",89,939,32,908,57,,,
宮城県,"52,693","41,760","10,933","20,606","9,555","21,154","1,378",,,
仙台塩釜,"52,693","41,760","10,933","20,606","9,555","21,154","1,378",,,
福島県,51,51,-,46,-,5,-,,,
小名浜,51,51,-,46,-,5,-,,,
茨城県,"7,043","4,755","2,288","2,880","1,469","1,875",819,,,
鹿島,"2,368","1,141","1,227",526,"1,146",615,81,,,
那珂湊,"2,237","1,651",586,"1,116",87,535,499,,,
茨城(常陸那珂),"2,438","1,963",475,"1,238",236,725,239,,,
千葉県,"8,365","2,682","5,683",599,"5,505","2,083",178,,,
千葉,"8,365","2,682","5,683",599,"5,505","2,083",178,,,
東京都,"8,048","8,048",-,"5,706",-,"2,342",-,,,
大島（元町）,"4,567","4,567",-,"3,210",-,"1,357",-,,,
大島（波浮）,177,177,-,125,-,52,-,,,
新島,"1,085","1,085",-,727,-,358,-,,,
神津島,652,652,-,497,-,155,-,,,
利島,366,366,-,223,-,143,-,,,
式根島諸港,217,217,-,140,-,77,-,,,
小笠原（二見）,984,984,-,784,-,200,-,,,
神奈川県,"95,847","30,676","65,171","16,115","63,772","14,561","1,399",,,
川崎,"2,794","1,854",940,449,798,"1,405",142,,,
横浜,"93,053","28,822","64,231","15,666","62,974","13,156","1,257",,,
静岡県,"46,026","18,940","27,086","8,383","26,979","10,557",107,,,
清水,"34,965","18,504","16,461","8,009","16,354","10,495",107,,,
御前崎,"11,061",436,"10,625",374,"10,625",62,-,,,
愛知県,"68,369","14,249","54,120","4,304","54,081","9,945",39,,,
三河,540,371,169,371,169,-,-,,,
名古屋,"67,829","13,878","53,951","3,933","53,912","9,945",39,,,
三重県,"17,317",709,"16,608",96,"16,529",613,79,,,
四日市,"17,317",709,"16,608",96,"16,529",613,79,,,
大阪府,"12,188","2,264","9,924","1,005","9,838","1,259",86,,,
大阪,"12,188","2,264","9,924","1,005","9,838","1,259",86,,,
兵庫県,"61,059","17,816","43,243","7,034","41,986","10,782","1,257",,,
神戸,"61,059","17,816","43,243","7,034","41,986","10,782","1,257",,,
