,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
品種,,那覇,苫小牧,横浜,仙台塩釜,博多,神戸,清水,名古屋,大阪,"大島
（元町）","小笠原
（二見）",那珂湊,"茨城(常
陸那珂)",大船渡,釜石,鹿島,新島,八戸,千葉,志布志,品種,,,,
合計,,"420,982","350,920","221,596","220,271","145,159","96,011","93,203","56,121","26,880","25,456","12,517","9,780","9,148","7,447","6,204","5,874","5,522","5,194","4,541","4,474",合計,,,,
農水産品,,60,"16,735","26,376","17,412","10,697","28,601","1,660","7,903","16,987",983,-,364,"1,258",-,315,386,168,499,694,-,農水産品,,,,
1,麦,-,"4,845","5,492",715,680,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,
2,米,-,95,75,-,375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,
3,とうもろこし,-,-,480,-,-,"1,187",-,67,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,
4,豆類,-,"1,595","9,714",50,"1,640",90,-,525,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,
5,その他雑穀,-,210,270,-,555,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,
6,野菜・果物,60,"7,000","2,454","6,156","4,880","24,768",165,"2,924","4,389",983,-,-,-,-,-,-,168,-,-,-,6,野菜・果物,,,
7,綿花,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,
8,その他農産品,-,230,"1,868",30,"1,207","1,503",261,"3,301",240,-,-,-,-,-,-,-,-,-,-,-,8,その他農産品,,,
9,羊毛,-,-,-,-,-,-,-,74,22,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,
10,その他畜産品,-,85,"2,694",915,"1,265",688,-,206,"10,197",-,-,-,-,-,-,-,-,-,-,-,10,その他畜産品,,,
11,水産品,-,"2,675","3,329","9,546",95,350,"1,234",791,"2,139",-,-,364,"1,258",-,315,386,-,499,694,-,11,水産品,,,
林産品,,-,"5,777",403,"34,265","2,700",-,"2,247","3,513","5,561","2,217",-,-,-,-,-,-,420,-,-,30,林産品,,,,
12,原木,-,22,-,-,-,-,19,76,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,
13,製材,-,"4,235",195,"34,155",515,-,"2,168","3,437","5,561","2,217",-,-,-,-,-,-,420,-,-,30,13,製材,,,
14,樹脂類,-,"1,175",195,-,"1,990",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,
15,木材チップ,-,10,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,
16,その他林産品,-,50,-,110,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,
17,薪炭,-,285,-,-,5,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,17,薪炭,,,
鉱産品,,-,"1,890","2,496",-,740,"2,025",354,"4,164",90,-,-,-,-,-,-,-,-,-,-,-,鉱産品,,,,
18,石炭,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,
20,金属鉱,-,40,949,-,-,"1,920",-,"1,065",90,-,-,-,-,-,-,-,-,-,-,-,20,金属鉱,,,
21,砂利・砂,-,745,582,-,215,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,21,砂利・砂,,,
22,石材,-,650,287,-,510,45,-,296,-,-,-,-,-,-,-,-,-,-,-,-,22,石材,,,
23,原油,-,-,8,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,原油,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,
25,石灰石,-,270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,石灰石,,,
26,原塩,-,-,39,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,26,原塩,,,
27,非金属鉱物,-,185,631,-,15,30,354,"2,769",-,-,-,-,-,-,-,-,-,-,-,-,27,非金属鉱物,,,
金属機械工業品,,"55,778","19,160","15,078","8,712","20,431","6,673","9,476","9,724",120,"3,160",638,"5,707","4,337",-,"1,134","2,942","1,881","2,303","1,888",-,金属機械工業品,,,,
28,鉄鋼,-,25,-,-,10,-,-,180,-,-,-,-,-,-,-,-,-,-,-,-,28,鉄鋼,,,
29,鋼材,-,695,491,-,735,39,180,17,-,-,-,-,-,-,-,-,-,-,-,-,29,鋼材,,,
30,非鉄金属,-,-,341,-,-,"4,305",15,59,90,-,-,-,-,-,-,-,-,-,30,-,30,非鉄金属,,,
31,金属製品,-,"3,615","2,799",-,"2,489",120,"2,335",551,-,"3,160",-,-,-,-,-,-,"1,881",-,-,-,31,金属製品,,,
32,鉄道車両,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,鉄道車両,,,
33,完成自動車,-,"1,665",282,-,-,-,120,889,-,-,-,-,-,-,-,-,-,-,-,-,33,完成自動車,,,
34,その他輸送用車両,-,105,60,-,30,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,34,その他輸送用車両,,,
35,二輪自動車,-,5,225,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,35,二輪自動車,,,
36,自動車部品,-,"8,535","2,057",165,"13,905",15,180,"2,639",30,-,-,-,-,-,-,-,-,-,-,-,36,自動車部品,,,
37,その他輸送機械,-,-,367,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,37,その他輸送機械,,,
38,産業機械,-,"1,520","3,350",48,545,"1,890","1,199","1,237",-,-,638,-,-,-,-,-,-,-,-,-,38,産業機械,,,
39,電気機械,-,"1,670","3,737","5,926",148,304,"2,802","3,673",-,-,-,"1,695","2,663",-,830,"1,807",-,"1,625","1,392",-,39,電気機械,,,
40,測量・光学・医療機械,-,15,"1,222","2,573",39,-,"1,746",479,-,-,-,"2,841","1,674",-,304,957,-,678,277,-,40,測量・光学・医療機械,,,
41,事務用機器,"55,778",725,52,-,"2,115",-,-,-,-,-,-,-,-,-,-,-,-,-,189,-,41,事務用機器,,,
42,その他機械,-,585,80,-,415,-,809,-,-,-,-,"1,171",-,-,-,178,-,-,-,-,42,その他機械,,,
化学工業品,,-,"41,783","21,286","1,524","6,455","1,640","2,902","3,282",270,"1,022",-,225,-,-,40,-,257,172,-,-,化学工業品,,,,
43,陶磁器,-,-,592,-,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,-,43,陶磁器,,,
44,セメント,-,370,-,-,235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,セメント,,,
45,ガラス類,-,285,"1,066",60,805,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,45,ガラス類,,,
46,窯業品,-,830,459,48,15,664,45,738,-,-,-,-,-,-,-,-,-,-,-,-,46,窯業品,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,
48,揮発油,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油,,,
49,その他の石油,-,"2,150",201,-,"1,595",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,その他の石油,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス,,,
51,LPG/液化石油ガス,-,45,-,-,-,-,-,-,-,"1,022",-,-,-,-,-,-,257,-,-,-,51,LPG/液化石油ガス,,,
52,その他石油製品,-,405,248,-,195,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,52,その他石油製品,,,
53,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,コークス,,,
54,石炭製品,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,石炭製品,,,
55,化学薬品,-,"34,623","5,629",-,"1,545",402,450,807,75,-,-,-,-,-,-,-,-,-,-,-,55,化学薬品,,,
56,化学肥料,-,"1,205",92,-,"1,295",-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,56,化学肥料,,,
57,その他化学工業品,-,"1,870","12,978","1,416",770,574,"2,377","1,646",180,-,-,225,-,-,40,-,-,172,-,-,57,その他化学工業品,,,
軽工業品,,"11,736","123,630","68,273","8,024","49,998","20,180","38,614","8,005","2,588","4,814",-,"1,364","1,227",-,"1,214","1,539",807,604,"1,012",-,軽工業品,,,,
58,紙・パルプ,-,"15,020","10,512",-,"3,000",159,"33,298","3,106",156,-,-,-,-,-,-,-,-,-,-,-,58,紙・パルプ,,,
59,糸及び紡績半製品,-,-,161,-,-,-,150,69,-,-,-,-,-,-,-,-,-,-,-,-,59,糸及び紡績半製品,,,
