,,,,,,,,,,,(単位：トン）
品種,,台中,ナヴァセバ,高雄,マニラ,バンクーバー,"ホーチミン
及びカトライ",大連,蛇口,黄埔,バンコク
合計,,"147,153","142,802","139,472","133,315","130,694","130,524","130,249","128,766","127,365","115,865"
農水産品,,"1,187",75,"10,939","4,090","1,687","13,659",62,15,-,"14,031"
1,麦,-,-,-,-,-,-,-,-,-,-
2,米,-,-,-,-,194,-,-,-,-,1
3,とうもろこし,-,60,-,-,-,-,-,-,-,-
4,豆類,-,-,-,-,-,-,-,-,-,-
5,その他雑穀,-,-,-,-,-,-,-,-,-,-
6,野菜・果物,958,-,"1,484",15,120,278,45,-,-,41
7,綿花,-,-,-,-,-,-,-,-,-,-
8,その他農産品,22,-,95,-,105,284,17,15,-,2
9,羊毛,-,-,-,-,-,-,-,-,-,-
10,その他畜産品,195,-,"3,927",16,8,39,-,-,-,225
11,水産品,12,15,"5,433","4,059","1,260","13,058",-,-,-,"13,762"
林産品,,406,-,846,30,-,-,"2,107",-,600,-
12,原木,391,-,779,-,-,-,-,-,-,-
13,製材,15,-,67,-,-,-,"2,047",-,600,-
14,樹脂類,-,-,-,30,-,-,30,-,-,-
15,木材チップ,-,-,-,-,-,-,-,-,-,-
16,その他林産品,-,-,-,-,-,-,30,-,-,-
17,薪炭,-,-,-,-,-,-,-,-,-,-
鉱産品,,"1,883",150,939,6,1,82,705,120,330,169
18,石炭,-,-,1,-,-,-,-,-,-,-
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-
20,金属鉱,-,-,-,-,-,-,-,-,-,-
21,砂利・砂,-,-,-,-,-,-,-,-,-,-
22,石材,2,-,-,-,-,-,-,-,-,-
23,原油,-,-,-,-,-,-,-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-
25,石灰石,-,-,-,-,-,-,-,-,-,-
26,原塩,-,-,-,-,1,-,-,-,-,21
27,非金属鉱物,"1,881",150,938,6,-,82,705,120,330,148
金属機械工業品,,"21,657","37,405","36,211","47,362","77,015","22,309","73,072","3,244","70,922","24,562"
28,鉄鋼,-,-,181,11,4,49,2,-,-,26
29,鋼材,"1,981","18,580","9,521","2,008","3,146","3,401","1,848",139,"4,198","5,441"
30,非鉄金属,85,372,"3,149","1,553",981,372,"3,440",30,102,916
31,金属製品,"1,099",265,"5,777","5,872","2,124","1,550","5,422",400,"6,511","2,643"
32,鉄道車両,-,-,-,-,270,-,-,-,-,-
33,完成自動車,8,112,-,"1,746","2,482",134,15,-,212,86
34,その他輸送用車両,403,-,102,17,214,17,5,-,-,3
35,二輪自動車,-,-,20,-,10,65,-,-,-,-
36,自動車部品,20,"1,747","7,566","2,172","9,084","1,264","1,763",462,"27,739",257
37,その他輸送機械,39,-,-,181,77,-,-,-,3,31
38,産業機械,"3,585","12,454","5,067","18,696","54,163","5,901","22,245",803,"22,391","5,037"
39,電気機械,"12,538","3,724","2,272","13,927","2,902","7,967","35,340","1,181","2,647","6,744"
40,測量・光学・医療機械,"1,446",133,"2,475",390,"1,499","1,589","2,921",84,"7,119","1,662"
41,事務用機器,33,5,6,508,14,-,71,25,-,32
42,その他機械,420,13,75,281,45,-,-,120,-,"1,684"
化学工業品,,"28,839","96,535","23,112","25,792","12,528","44,519","24,593","5,957","36,242","37,495"
43,陶磁器,159,-,11,1,237,-,61,-,-,12
44,セメント,-,10,2,-,47,7,-,-,-,15
45,ガラス類,100,"1,462",706,27,761,399,97,56,20,431
46,窯業品,"1,088",586,"1,316","1,230",756,381,247,213,192,"3,846"
47,重油,-,-,-,-,-,-,-,-,-,-
48,揮発油,-,-,-,-,-,-,-,-,-,-
49,その他の石油,180,135,90,37,2,842,240,110,351,477
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-
52,その他石油製品,-,122,147,15,-,5,-,-,256,275
53,コークス,-,-,-,-,-,-,-,-,-,-
