,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
品種,,上海,レムチャバン,ロングビーチ,ロサンゼルス,ロッテルダム,タコマ,香港,サバンナ,ポートケラン,寧波－舟山,釜山,ジャカルタ,ハイフォン,シンガポール,太倉,基隆,ハンブルグ,青島,"新港,天津",南沙,品種,
合計,,"935,640","692,673","667,077","642,302","533,314","482,152","478,327","379,363","341,840","309,324","291,948","281,367","273,592","241,399","236,109","234,605","223,939","200,743","189,218","155,689",合計,
農水産品,,567,"55,521","1,625","4,655",480,"1,099","21,456",120,"1,832",547,"4,466","1,403","8,343","8,582",-,"14,160",374,396,120,-,農水産品,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦
2,米,-,1,94,997,88,5,455,-,12,-,-,-,-,320,-,121,7,-,-,-,2,米
3,とうもろこし,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし
4,豆類,11,-,60,2,-,36,80,120,-,-,-,-,-,-,-,-,3,-,-,-,4,豆類
5,その他雑穀,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀
6,野菜・果物,60,"1,306",138,77,45,-,"7,598",-,363,15,45,76,516,"1,067",-,"11,688",-,126,-,-,6,野菜・果物
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花
8,その他農産品,233,2,260,685,120,-,478,-,645,427,63,-,69,"1,409",-,387,349,90,120,-,8,その他農産品
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛
10,その他畜産品,233,"17,982",80,475,16,-,"7,545",-,-,-,779,-,"1,860",935,-,28,15,-,-,-,10,その他畜産品
11,水産品,30,"36,230",993,"2,419",211,979,"5,300",-,812,105,"3,579","1,327","5,898","4,851",-,"1,936",-,180,-,-,11,水産品
林産品,,"5,383",124,15,101,-,-,-,-,-,17,22,51,-,2,270,455,3,195,-,-,林産品,
12,原木,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,450,-,-,-,-,12,原木
13,製材,"5,225",-,-,-,-,-,-,-,-,-,-,-,-,-,270,-,3,120,-,-,13,製材
14,樹脂類,128,1,-,-,-,-,-,-,-,-,-,51,-,2,-,-,-,75,-,-,14,樹脂類
15,木材チップ,-,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ
16,その他林産品,30,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,16,その他林産品
17,薪炭,-,-,15,101,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,17,薪炭
鉱産品,,"3,478",497,327,337,25,12,233,-,179,135,871,"1,257",106,37,-,630,182,74,105,90,鉱産品,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭
19,鉄鉱石,-,10,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石
20,金属鉱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,金属鉱
21,砂利・砂,97,-,-,-,-,-,-,-,83,-,-,575,-,-,-,-,130,-,-,-,21,砂利・砂
22,石材,-,-,-,3,-,-,-,-,1,-,-,-,-,1,-,-,-,44,-,-,22,石材
23,原油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,原油
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石
25,石灰石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,石灰石
26,原塩,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,原塩
27,非金属鉱物,"3,381",476,327,313,25,12,233,-,95,135,871,682,106,36,-,630,52,30,105,90,27,非金属鉱物
金属機械工業品,,"293,921","290,196","504,190","453,446","347,144","402,158","178,382","287,271","158,962","10,563","96,387","192,576","127,038","115,346","18,268","56,946","127,670","20,265","47,871",537,金属機械工業品,
28,鉄鋼,"2,211","3,448",340,"1,075",100,154,"1,104",13,819,-,575,646,-,117,165,"2,982",112,-,-,-,28,鉄鋼
29,鋼材,"6,981","25,109","14,412","7,443","1,246","2,210","2,919","10,311","1,592","2,052","4,438","4,740","36,582","2,246",-,"4,613","1,272",115,428,32,29,鋼材
30,非鉄金属,"7,945","7,881","2,763","3,276","1,005","2,849","5,588",571,"3,469",49,"3,098",299,534,"1,322",85,"1,748","1,510","4,163",399,18,30,非鉄金属
31,金属製品,"17,945","24,763","20,639","18,924","3,023","13,887","7,829","3,181","47,924","3,526","11,853","7,575","4,251","5,073","3,574","2,521","5,663","1,465","3,546",8,31,金属製品
32,鉄道車両,195,-,270,54,-,-,-,-,-,-,-,-,-,-,-,-,84,40,-,-,32,鉄道車両
33,完成自動車,102,264,580,358,72,554,160,"4,949","12,980",-,569,"7,714","8,073",40,-,"2,589",560,19,133,-,33,完成自動車
34,その他輸送用車両,189,78,183,216,8,75,49,-,45,-,51,42,45,8,-,135,4,-,-,-,34,その他輸送用車両
35,二輪自動車,28,-,124,121,630,6,22,840,49,11,2,-,-,97,-,550,350,20,-,-,35,二輪自動車
36,自動車部品,"49,483","113,880","296,926","199,530","29,506","266,532","21,701","40,144","61,822",45,"1,996","103,243","5,359","4,426","1,255","3,995","19,151",32,"10,863",-,36,自動車部品
37,その他輸送機械,596,180,"1,560","1,121","1,317","10,802",486,"6,585",-,14,705,153,14,753,80,13,709,18,90,24,37,その他輸送機械
38,産業機械,"130,740","67,322","118,941","155,192","255,279","66,191","53,684","195,475","11,734","3,284","33,928","55,566","65,485","56,504","10,792","9,738","45,656","12,420","23,160",36,38,産業機械
39,電気機械,"60,096","27,710","34,709","39,675","30,669","30,171","76,191","23,651","12,026","1,298","36,693","4,965","5,460","34,631","1,299","25,140","21,574","1,624","5,357",387,39,電気機械
40,測量・光学・医療機械,"15,191","12,908","10,825","23,032","21,308","8,706","5,027","1,422","3,532",210,"2,227","7,321","1,133","3,418","1,010","1,594","30,355",271,"1,326",32,40,測量・光学・医療機械
41,事務用機器,"2,047","6,477","1,297","2,884","2,847",21,"3,178",129,369,49,205,312,94,"5,625",-,534,596,78,"2,452",-,41,事務用機器
42,その他機械,172,176,621,545,134,-,444,-,"2,601",25,47,-,8,"1,086",8,794,74,-,117,-,42,その他機械
化学工業品,,"341,406","105,094","57,871","61,653","86,931","25,676","111,792","48,459","34,577","54,364","92,805","54,460","25,174","54,160","34,427","77,777","48,593","23,554","35,678","10,195",化学工業品,
43,陶磁器,253,336,379,268,59,56,289,-,22,8,18,-,-,"1,647",-,925,31,-,-,-,43,陶磁器
44,セメント,90,-,27,20,"1,155",-,-,-,-,-,39,180,85,18,-,121,60,-,-,-,44,セメント
45,ガラス類,"7,917",405,"3,329","3,543","2,609","7,685","2,106",30,"1,854",166,"2,071",581,15,"3,664",-,533,"3,262",897,768,-,45,ガラス類
46,窯業品,"7,669","5,233","2,674","1,165","3,498",217,"4,279","21,711",858,182,"4,646","7,225","6,884",551,323,"2,714","8,337",247,163,-,46,窯業品
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油
49,その他の石油,"2,499","1,471",213,279,985,-,228,15,134,"2,303",479,506,481,236,"1,710","3,509",38,83,600,-,49,その他の石油
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス
52,その他石油製品,"1,244",190,198,91,-,11,210,29,15,"2,625",46,293,15,162,"2,145",189,33,-,11,-,52,その他石油製品
53,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,コークス
54,石炭製品,150,-,-,-,-,-,-,"1,035",825,-,-,-,-,45,-,23,-,-,-,-,54,石炭製品
55,化学薬品,"21,651","25,870","11,129","12,919","17,221","5,789","2,132","2,265","3,091","4,860","14,145","7,080","1,254","12,451","2,237","6,824","3,413","2,841",480,"1,077",55,化学薬品
56,化学肥料,30,-,23,-,-,5,30,-,60,-,16,-,-,-,-,10,-,456,-,-,56,化学肥料
