,,,,,,,,,,,,,,,,,,,(単位：トン）,,
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,,
合計,"47,981,969","12,770,411","35,211,558",南沙,"241,168","155,689","85,479",シンガポール,"1,357,290","241,399","1,115,891",イラン,"3,664","2,667",997,モルディヴ,356,356,-,,
アジア,"34,772,302","8,225,237","26,547,065",容奇,"5,358","2,061","3,297",シンガポール,"1,357,290","241,399","1,115,891",バンダルホメイユ,100,100,-,マレ,356,356,-,,
韓国,"1,871,175","500,606","1,370,569",順徳,"6,768",98,"6,670",インドネシア,"1,310,399","432,777","877,622",ブーシェフル（ブシール、ブシャール）,317,317,-,バーレーン,"2,583","1,031","1,552",,
仁川,"145,540","64,017","81,523",太平,"2,213","2,213",-,ビンタン,780,-,780,諸港(イラン),"3,247","2,250",997,バーレーン,"1,978",956,"1,022",,
群山,"13,877","8,982","4,895",新会,"4,324","1,064","3,260",ウジュンパンダン,80,-,80,イラク,"1,448","1,448",-,諸港（バーレーン）,605,75,530,,
釜山,"1,447,493","291,948","1,155,545",揚州,"1,200",533,667,サマリンダ,"2,085",-,"2,085",ウム　カザル,"1,392","1,392",-,ブルネイ,355,355,-,,
浦項,"2,443",117,"2,326",肇慶,"1,989","1,005",984,バンジャルマシン,"1,695",-,"1,695",諸港(イラク),56,56,-,ムアラ,355,355,-,,
光陽,"184,661","105,230","79,431",?州,78,78,-,ポンチアナ,"14,741",-,"14,741",イエメン,547,530,17,東チモール,5,5,-,,
蔚山,"40,386","2,822","37,564",杭州,"5,163","5,163",-,スラバヤ,"195,629","24,643","170,986",ムカラー,17,-,17,ディリ,5,5,-,,
馬山,"5,160",-,"5,160",新港，天津,"884,496","189,218","695,278",セマラン,"78,071","9,875","68,196",アデン,530,530,-,ヨーロッパ,"3,524,922","1,279,971","2,244,951",,
平沢,"2,253","1,398",855,乍浦,"140,717","99,651","41,066",ジャカルタ,"814,539","281,367","533,172",サウジアラビア,"34,672","19,211","15,461",アイスランド,772,772,-,,
温山,15,15,-,嘉興,7,7,-,ベラワン,"35,342","4,426","30,916",ジエッダ,"10,897","9,717","1,180",レイキャビーク,675,675,-,,
諸港(韓国),"29,347","26,077","3,270",石島,"46,689","1,131","45,558",ジャンビ,"9,730",-,"9,730",ジュバイル,"4,878","1,068","3,810",諸港(アイスランド),97,97,-,,
中国,"18,920,584","3,620,834","15,299,750",水東,30,30,-,パレンバン,"20,270","5,700","14,570",諸港（サウジアラビア）,"18,897","8,426","10,471",ノルウェー,"16,833","1,292","15,541",,
香港,"2,394,463","478,327","1,916,136",金州,50,50,-,パンジャン,"4,853",103,"4,750",クウェート,"6,322","6,307",15,ベルゲン,540,303,237,,
大連,"934,840","130,249","804,591",大?湾,54,54,-,バタン,"5,306","3,149","2,157",クウェート,100,100,-,クルスチャンサン,230,133,97,,
秦皇島,"11,584","2,538","9,046",馬尾,299,299,-,メダン,4,4,-,シャイバ,283,268,15,オスロ,673,515,158,,
天津,"3,432","2,832",600,無錫,"6,120","6,120",-,タンジュンプリオク,"106,974","88,341","18,633",シュワイカ,"5,939","5,939",-,フレドリクスタ,438,-,438,,
青島,"1,955,134","200,743","1,754,391",興安,"1,394",-,"1,394",諸港（インドネシア）,"20,300","15,169","5,131",アラブ首長国,"72,370","65,972","6,398",ブレビク,525,15,510,,
連雲港,"269,407","73,129","196,278",三山,"31,941","4,273","27,668",フィリピン,"923,314","243,835","679,479",ﾗｽｱﾙﾊｲﾏｰ,1,1,-,スタバンゲル,21,15,6,,
上海,"4,934,583","935,640","3,998,943",三水,"11,022","1,347","9,675",スービックベイ,"20,915","2,187","18,728",シャルジャー,"7,831","7,831",-,ハウゲスン,536,58,478,,
仙頭,"24,389","3,200","21,189",マカオ,"3,725","3,725",-,マニラ,"473,627","133,315","340,312",ドバイ,"4,716","3,857",859,オーレスン,"3,733",24,"3,709",,
黄埔,"218,885","127,365","91,520",諸港(中国),"682,082","302,873","379,209",セブ,"12,520","7,653","4,867",アブダビ,"1,468",277,"1,191",フローラ,574,-,574,,
湛江,"3,247",60,"3,187",台湾,"2,082,721","625,111","1,457,610",ダバオ,"12,707","2,851","9,856",ハウルファカン,133,133,-,ラビック,368,15,353,,
南通,"29,568","4,730","24,838",高雄,"859,331","139,472","719,859",カガヤン,"23,986",316,"23,670",ジェベルアリ,"57,307","53,509","3,798",ヘレト,"2,310",-,"2,310",,
張家港,"97,796","11,777","86,019",基隆,"426,708","234,605","192,103",バタンガス,"4,869","4,869",-,アジマン,50,50,-,モーレイ,"3,114",-,"3,114",,
福州,"111,135","10,562","100,573",台中,"345,405","147,153","198,252",ジェネラルサントス,"4,279","3,868",411,諸港（アラブ首長国）,864,314,550,諸港(ノルウェー),"3,771",214,"3,557",,
寧波－舟山,"898,107","309,324","588,783",台東,20,20,-,サンタクルス,30,30,-,オマーン,"1,510","1,057",453,スウェーデン,"88,405","5,808","82,597",,
温州,"3,304",88,"3,216",諸港(台湾),"451,257","103,861","347,396",カビテ,"1,008","1,008",-,マスカット,1,1,-,イェブレ,"25,038",-,"25,038",,
煙台,"421,629","6,310","415,319",ベトナム,"2,570,389","557,756","2,012,633",マニラサウスハーバー,"280,621","44,319","236,302",サララー,16,1,15,ストックホルム,"1,121","1,004",117,,
海門,960,960,-,ハイフォン,"937,149","273,592","663,557",諸港（フィリピン）,"88,752","43,419","45,333",スハール,"1,463","1,025",438,ノルコッピング,"3,834",8,"3,826",,
厦門,"712,247","42,214","670,033",ダナン,"51,466","10,362","41,104",カンボジア,"75,912","7,323","68,589",諸港(オマーン),30,30,-,ゴーセンブルグ,"24,687","3,879","20,808",,
北海,691,654,37,ホーチミン及びカトライ,"626,007","130,524","495,483",プノンペン,"23,293","1,554","21,739",イスラエル,"18,143","12,420","5,723",ヘルシンブボルイ,"23,407",348,"23,059",,
広州,"3,930","3,930",-,クイニヨン,562,-,562,コンポンソム,"2,599",280,"2,319",ハイファ,"6,730","3,587","3,143",マルメ,2,2,-,,
海口,"4,246",136,"4,110",ヴンタウ,"41,963","5,515","36,448",シアヌークヴィル,"43,812","5,337","38,475",アシドッド,"11,128","8,548","2,580",ピチオ,"8,543",-,"8,543",,
江門,"9,947","3,449","6,498",カイラン,762,-,762,諸港（カンボジア）,"6,208",152,"6,056",諸港(イスラエル),285,285,-,諸港(スウェーデン),"1,773",567,"1,206",,
南京,"168,330","35,847","132,483",ハノイ,"2,679","2,679",-,ミャンマー,"47,385","11,366","36,019",ヨルダン,"1,112",540,572,デンマーク,"17,280","6,035","11,245",,
泉州,285,-,285,カイメップ,"534,930","13,713","521,217",ヤンゴン,"43,199","7,180","36,019",アカバ,751,269,482,コペンハーゲン,"1,739",516,"1,223",,
梧州,692,662,30,諸港(ベトナム),"374,871","121,371","253,500",諸港(ミャンマー),"4,186","4,186",-,諸港(ヨルダン),361,271,90,オールフス,"6,197","1,214","4,983",,
武漢,"69,315","39,084","30,231",タイ,"3,320,879","889,159","2,431,720",インド,"461,626","356,363","105,263",シリア・アラブ,73,73,-,オールベク,75,-,75,,
安慶,"5,430",95,"5,335",バンコク,"362,087","115,865","246,222",カルカッタ,"35,146","26,020","9,126",ラタキア,52,52,-,スカーン,22,-,22,,
赤湾,45,-,45,ソンクラー,"50,784","38,248","12,536",ビシャカパトナム,"14,107","11,907","2,200",タルトス,21,21,-,フレデリカ,"4,643",128,"4,515",,
重慶,"10,367","3,739","6,628",レムチャバン,"2,865,613","692,673","2,172,940",チェンナイ,"67,173","58,202","8,971",レバノン,521,491,30,諸港(デンマーク),"4,604","4,177",427,,
丹東,3,3,-,シーラーチャー,805,805,-,ツチコリン,"1,765",298,"1,467",ベイルート,521,491,30,イギリス,"335,656","168,711","166,945",,
東莞,893,869,24,諸港(タイ),"41,590","41,568",22,コーチン,"3,171","1,240","1,931",トルコ,"39,826","21,592","18,234",フィリクストーエ,"30,838","7,398","23,440",,
防城,15,-,15,マレーシア,"1,448,199","525,563","922,636",マンガロール,221,101,120,イスタンブール,"6,545","2,817","3,728",ロンドン,"1,019","1,019",-,,
恵州,760,760,-,クアンタン,"14,214","2,520","11,694",ムンバイ,219,219,-,イズミト,"8,520","4,852","3,668",グラスゴー,27,27,-,,
九江,"36,214",629,"35,585",ペナン,"229,271","96,347","132,924",ナブラキ,8,8,-,イズミル,"3,228","2,223","1,005",マンチェスター,76,76,-,,
南昌,"4,066",544,"3,522",ポートケラン,"981,010","341,840","639,170",ハルディア,"4,515",240,"4,275",メルシン,"2,568",336,"2,232",リバプール,88,88,-,,
日照,"32,637",37,"32,600",バトウパート,1,1,-,ムンドラ,"42,529","23,417","19,112",イスケンデルン,15,-,15,サザンプトン,"237,654","100,099","137,555",,
蛇口,"1,813,467","128,766","1,684,701",タワウ,"3,784","2,149","1,635",ナヴァセバ,"179,427","142,802","36,625",テキルダー,93,93,-,ベルファスト,223,99,124,,
深洲,"3,263","3,263",-,サンダカン,15,15,-,ピパバブ,"38,435","32,566","5,869",ゲムポート,"2,284","1,551",733,ニューカッスル,22,22,-,,
太倉,"1,347,939","236,109","1,111,830",コタキナバル,"3,019","2,337",682,ハジラ,"3,776",80,"3,696",ヤリミカ,"3,261","2,552",709,サンダーランド,"33,637","33,637",-,,
威海,"105,991",617,"105,374",ラブーアン,3,3,-,諸港(インド),"71,134","59,263","11,871",諸港(トルコ),"13,312","7,168","6,144",ダンディー,20,20,-,,
蕪湖,"4,315","1,512","2,803",ミーリ,307,202,105,パキスタン,"52,311","39,986","12,325",カタール,"3,534","1,230","2,304",サウスシールズ,"1,196","1,196",-,,
塩田,"75,013","7,619","67,394",ビンツーロー,"2,386",32,"2,354",カラチ,"35,301","25,974","9,327",ドーハ,553,553,-,グリノック,"1,352",-,"1,352",,
営口,"6,354",323,"6,031",シブ,175,175,-,カシム,"15,236","12,238","2,998",ウムサイド,127,-,127,グレーンジマス,"2,622",992,"1,630",,
鎮江,"11,650",-,"11,650",クチン,"5,320","4,600",720,諸港（パキスタン）,"1,774","1,774",-,メサイード,"1,562",-,"1,562",イミンガム,173,173,-,,
中山,"74,734","27,138","47,596",パシールグダン,"152,308","51,118","101,190",バングラディシュ,"120,987","32,953","88,034",諸港(カタール),"1,292",677,615,ティーポート,105,-,105,,
珠海,"6,586","4,500","2,086",バターワーズ,307,307,-,チッタゴン,"118,307","30,560","87,747",キプロス,364,364,-,諸港(イギリス),"26,604","23,865","2,739",,
仏山,"4,183",544,"3,639",ジョホーバル,736,736,-,諸港（バングラディシュ）,"2,680","2,393",287,フアマグスタ,178,178,-,アイルランド,"13,846","2,997","10,849",,
江陰,"6,544","3,091","3,453",タンジュンペレパス,"44,405","12,418","31,987",スリランカ,"21,726","4,557","17,169",リマソル,124,124,-,ダブリン,"4,054","2,096","1,958",,
南海,"11,082",184,"10,898",諸港(マレーシア),"10,938","10,763",175,コロンボ,"21,726","4,557","17,169",諸港（キプロス）,62,62,-,リムリック,19,19,-,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
