,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,
品種,,合計,,,品川,,,,,,,,,13号地その2,,,,,,品種,,,,,,,
,,,,,合計,,,品川コンテナ,,,品川外貿,,,合計,,,青海コンテナふ頭（公共）,,,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,,,,,,,,
28,鉄鋼,"75,117","34,294","40,823","2,948",747,"2,201","2,948",747,"2,201",-,-,-,"22,583","9,477","13,106","8,362","5,692","2,670",28,鉄鋼,,,,,,
29,鋼材,"385,795","282,581","103,214","46,682","15,570","31,112","44,329","14,813","29,516","2,353",757,"1,596","132,248","97,605","34,643","68,689","43,429","25,260",29,鋼材,,,,,,
30,非鉄金属,"249,370","93,870","155,500","35,844","6,505","29,339","35,502","6,401","29,101",342,104,238,"69,952","23,000","46,952","48,841","15,447","33,394",30,非鉄金属,,,,,,
31,金属製品,"1,775,178","342,761","1,432,417","159,068","21,005","138,063","157,840","20,969","136,871","1,228",36,"1,192","705,526","116,449","589,077","421,508","49,994","371,514",31,金属製品,,,,,,
32,鉄道車両,"3,982","1,038","2,944",116,102,14,116,102,14,-,-,-,776,429,347,569,426,143,32,鉄道車両,,,,,,
33,完成自動車,"129,892","103,705","26,187","1,993",556,"1,437","1,993",556,"1,437",-,-,-,"50,052","45,312","4,740","20,696","19,201","1,495",33,完成自動車,,,,,,
34,その他輸送用車両,"97,511","2,715","94,796","8,382",92,"8,290","8,313",92,"8,221",69,-,69,"52,919","1,134","51,785","44,666",393,"44,273",34,その他輸送用車両,,,,,,
35,二輪自動車,"62,573","7,335","55,238",844,11,833,844,11,833,-,-,-,"6,821",934,"5,887","4,424",809,"3,615",35,二輪自動車,,,,,,
36,自動車部品,"2,558,718","1,610,295","948,423","108,658","20,622","88,036","106,931","20,613","86,318","1,727",9,"1,718","453,029","229,918","223,111","268,817","126,030","142,787",36,自動車部品,,,,,,
37,その他輸送機械,"385,366","43,921","341,445","13,573",676,"12,897","13,572",675,"12,897",1,1,-,"211,024","10,654","200,370","114,011","9,071","104,940",37,その他輸送機械,,,,,,
38,産業機械,"3,499,198","1,943,735","1,555,463","250,302","91,557","158,745","246,609","89,646","156,963","3,693","1,911","1,782","872,602","373,850","498,752","521,793","208,548","313,245",38,産業機械,,,,,,
39,電気機械,"3,952,421","742,676","3,209,745","418,033","71,967","346,066","411,270","71,047","340,223","6,763",920,"5,843","1,577,086","126,981","1,450,105","1,078,974","68,457","1,010,517",39,電気機械,,,,,,
40,測量・光学・医療機械,"573,296","220,321","352,975","47,469","8,572","38,897","46,712","8,280","38,432",757,292,465,"165,503","34,438","131,065","94,773","14,332","80,441",40,測量・光学・医療機械,,,,,,
41,事務用機器,"181,958","34,661","147,297","15,440",676,"14,764","15,434",670,"14,764",6,6,-,"60,280","6,546","53,734","32,475","2,701","29,774",41,事務用機器,,,,,,
42,その他機械,"37,783","11,332","26,451","1,991",934,"1,057","1,954",934,"1,020",37,-,37,"11,544","2,528","9,016","7,807","1,285","6,522",42,その他機械,,,,,,
化学工業品,,"6,045,535","2,414,249","3,631,286","785,350","232,636","552,714","773,620","231,960","541,660","11,730",676,"11,054","1,785,006","689,109","1,095,897","970,895","363,045","607,850",化学工業品,,,,,,,
43,陶磁器,"148,992","11,303","137,689","4,560",134,"4,426","4,350",134,"4,216",210,-,210,"45,540","3,279","42,261","28,687","1,989","26,698",43,陶磁器,,,,,,
44,セメント,"16,676","3,356","13,320",533,203,330,533,203,330,-,-,-,"1,655",710,945,617,107,510,44,セメント,,,,,,
45,ガラス類,"291,353","89,267","202,086","43,853","8,286","35,567","43,233","8,266","34,967",620,20,600,"99,550","34,313","65,237","56,600","8,499","48,101",45,ガラス類,,,,,,
46,窯業品,"371,388","146,981","224,407","34,481","9,703","24,778","34,361","9,703","24,658",120,-,120,"124,611","37,919","86,692","66,104","22,614","43,490",46,窯業品,,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,,
48,揮発油,243,-,243,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,48,揮発油,,,,,,
49,その他の石油,"42,507","22,130","20,377","3,248","1,680","1,568","3,248","1,680","1,568",-,-,-,"10,590","7,081","3,509","6,350","5,489",861,49,その他の石油,,,,,,
50,LNG/液化天然ガス,194,-,194,30,-,30,30,-,30,-,-,-,30,-,30,30,-,30,50,LNG/液化天然ガス,,,,,,
51,LPG/液化石油ガス,930,-,930,930,-,930,930,-,930,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,,,,,,
52,その他石油製品,"36,557","16,979","19,578","1,263",518,745,"1,261",516,745,2,2,-,"9,710","4,416","5,294","4,802","3,243","1,559",52,その他石油製品,,,,,,
53,コークス,"11,569",-,"11,569",330,-,330,330,-,330,-,-,-,"9,199",-,"9,199","1,091",-,"1,091",53,コークス,,,,,,
54,石炭製品,"5,429","4,810",619,30,-,30,30,-,30,-,-,-,158,98,60,23,8,15,54,石炭製品,,,,,,
55,化学薬品,"927,712","294,194","633,518","131,274","24,761","106,513","131,094","24,607","106,487",180,154,26,"276,624","70,294","206,330","144,421","35,728","108,693",55,化学薬品,,,,,,
56,化学肥料,"54,842","2,249","52,593","10,966",61,"10,905","10,936",61,"10,875",30,-,30,"19,094","1,376","17,718","13,264","1,196","12,068",56,化学肥料,,,,,,
57,その他化学工業品,"4,137,143","1,822,980","2,314,163","553,852","187,290","366,562","543,284","186,790","356,494","10,568",500,"10,068","1,188,244","529,623","658,621","648,906","284,172","364,734",57,その他化学工業品,,,,,,
