"選挙名称","届出番号","名簿届出政党等名称","0:25 確定[人]","23:30[人]","23:45[人]"
"平成29年10月22日執行衆議院議員選挙","1","日本共産党","6789","3000","6500"
"平成29年10月22日執行衆議院議員選挙","2","希望の党","15360","5000","15000"
"平成29年10月22日執行衆議院議員選挙","3","幸福実現党","440","0","0"
"平成29年10月22日執行衆議院議員選挙","4","社会民主党","666","0","500"
"平成29年10月22日執行衆議院議員選挙","5","日本のこころ","576","0","500"
"平成29年10月22日執行衆議院議員選挙","6","立憲民主党","21212","5000","21000"
"平成29年10月22日執行衆議院議員選挙","7","公明党","5148","2000","5000"
"平成29年10月22日執行衆議院議員選挙","8","自由民主党","33210","10000","33000"
"平成29年10月22日執行衆議院議員選挙","9","日本維新の会","3051","0","3000"
"平成29年10月22日執行衆議院議員選挙","10","支持政党なし","1631","0","1500"

"平成29年10月22日執行　衆議院比例代表選出議員選挙第1区開票推移","Ver201710",,,,
