"年月[西暦]","調査項目","設問","取組","選択肢","回答数[人]","構成比[%]"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","すでに実行している","297","57.7"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","今後実行するつもり","116","22.5"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","実行したいが困難","74","14.4"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","実行するつもりはない","28","5.4"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","節電・節水など省エネルギーに努める","無回答","0","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","すでに実行している","372","72.2"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","今後実行するつもり","74","14.4"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","実行したいが困難","44","8.5"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","実行するつもりはない","25","4.9"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","電車やバスなどの公共交通機関を積極的に利用する","無回答","0","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","すでに実行している","75","14.6"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","今後実行するつもり","136","26.4"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","実行したいが困難","219","42.5"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","実行するつもりはない","85","16.5"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","身の回りに木でできた製品を取り入れて使う","無回答","0","0.0"
"202003","環境に配慮した行動","Q4. あなたは、環境をより良くするための取組を実行していますか。（○はそれぞれ１つ）","食材を無駄なく使う、不要なレジ袋を断るなど、ごみとなるものを出さないよう心がける","すでに実行している","310","60.2"
