国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成27年中の転出者数
総数,0,13000,総数,22301,25875,66636,44873,26471,25906,27704,27070,28059,28122,23375,25172,371564
総数,1,13100,区部,16985,19562,47891,33883,20021,19952,21377,20643,21525,21902,18225,19396,281362
総数,1,13200,市部,5227,6236,18341,10872,6377,5884,6221,6319,6436,6149,5088,5672,88822
総数,2,13300,郡部,46,52,106,57,46,34,60,35,52,32,30,49,599
総数,2,13350,島部,43,25,298,61,27,36,46,73,46,39,32,55,781
総数,1,13100,区部,16985,19562,47891,33883,20021,19952,21377,20643,21525,21902,18225,19396,281362
総数,4,13101,千代田区,131,134,364,273,140,124,143,141,150,152,135,128,2015
総数,4,13102,中央区,269,288,825,573,359,360,371,359,390,391,284,323,4792
総数,4,13103,港区,516,508,1264,855,598,593,623,550,564,598,504,616,7789
総数,4,13104,新宿区,849,849,2290,1785,964,951,1017,989,988,1096,852,1010,13640
総数,4,13105,文京区,407,376,1507,936,436,426,425,462,463,464,343,455,6700
総数,4,13106,台東区,411,462,912,702,475,490,455,490,484,516,451,415,6263
総数,4,13107,墨田区,499,587,1140,848,581,489,617,592,631,663,529,544,7720
総数,4,13108,江東区,762,880,2287,1601,944,965,1033,966,1106,1104,802,888,13338
総数,4,13109,品川区,757,880,1919,1525,869,892,924,912,996,847,731,787,12039
総数,4,13110,目黒区,572,689,1523,1187,668,610,680,670,625,717,606,647,9194
総数,4,13111,大田区,1383,1696,4120,2944,1752,1765,1917,1910,1892,1819,1875,1761,24834
総数,4,13112,世田谷区,1654,2109,4721,3345,1930,1897,2021,1998,2049,1999,1725,1821,27269
総数,4,13113,渋谷区,455,469,1021,784,511,520,503,536,502,543,468,498,6810
総数,4,13114,中野区,622,728,1669,1383,759,804,906,773,836,832,677,698,10687
総数,4,13115,杉並区,905,1119,2679,2102,1138,1076,1139,1132,1121,1188,980,1145,15724
総数,4,13116,豊島区,648,754,1642,1218,872,866,797,744,837,915,705,766,10764
総数,4,13117,北区,689,790,1902,1582,814,872,1000,889,939,899,818,757,11951
総数,4,13118,荒川区,362,380,936,663,407,403,469,416,447,513,370,401,5767
