国籍区分,地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,平成27年中の増減
総数,0,13000,総数,2749,-486,5992,10254,659,2094,2155,-2410,4096,7561,1041,-1264,32441
総数,1,13100,区部,2668,-440,5071,9098,517,1611,2197,-1715,3216,6716,890,-1238,28591
総数,1,13200,市部,80,-38,929,1150,136,476,-41,-696,882,848,155,-26,3855
総数,2,13300,郡部,-4,-8,4,-1,-1,5,0,-7,-5,-3,-4,0,-24
総数,2,13350,島部,5,0,-12,7,7,2,-1,8,3,0,0,0,19
総数,1,13100,区部,2668,-440,5071,9098,517,1611,2197,-1715,3216,6716,890,-1238,28591
総数,4,13101,千代田区,21,14,37,55,16,56,45,-12,2,71,15,-55,265
総数,4,13102,中央区,36,47,98,45,15,47,23,23,-48,106,12,-80,324
総数,4,13103,港区,212,108,227,205,70,-146,-63,99,180,46,33,-428,543
総数,4,13104,新宿区,505,-276,574,1736,5,176,432,-256,825,1254,69,36,5080
総数,4,13105,文京区,36,-14,92,211,-23,5,-19,-82,167,139,24,-72,464
総数,4,13106,台東区,179,2,138,564,-18,79,111,-25,156,455,76,31,1748
総数,4,13107,墨田区,121,-9,70,235,43,91,65,-28,95,154,6,38,881
総数,4,13108,江東区,-21,-398,219,222,33,70,2,-82,93,254,72,11,475
総数,4,13109,品川区,52,39,133,79,-17,93,35,-60,19,35,39,-84,363
総数,4,13110,目黒区,68,52,112,106,33,37,-50,-1,168,107,35,-50,617
総数,4,13111,大田区,65,-2,163,225,25,97,24,-103,111,257,44,-19,887
総数,4,13112,世田谷区,130,43,361,360,-16,31,-30,-252,263,198,36,-142,982
総数,4,13113,渋谷区,56,10,60,171,-18,-46,-38,19,158,66,-18,-145,275
総数,4,13114,中野区,89,-39,234,455,-28,79,128,-160,285,351,23,-110,1307
総数,4,13115,杉並区,108,-24,353,305,38,126,183,-189,148,167,10,-11,1214
総数,4,13116,豊島区,257,-71,251,1075,-3,73,430,-141,198,815,85,-20,2949
総数,4,13117,北区,139,45,211,551,62,214,196,-41,122,454,32,20,2005
総数,4,13118,荒川区,93,-44,75,457,-1,0,129,-30,74,264,22,-23,1016
総数,4,13119,板橋区,159,10,135,469,47,85,135,-48,49,457,50,28,1576
総数,4,13120,練馬区,54,-54,291,285,28,108,34,-220,139,110,-16,-12,747
総数,4,13121,足立区,78,-3,110,181,68,77,32,-1,108,220,77,44,991
総数,4,13122,葛飾区,88,52,153,330,83,109,184,-39,130,237,73,-95,1305
総数,4,13123,江戸川区,143,72,974,776,75,150,209,-86,-226,499,91,-100,2577
