国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成27年中の増減
総数,0,13000,総数,2833,-376,36577,32913,5396,7527,6394,1192,8518,13252,2797,740,117763
総数,1,13100,区部,4079,969,31932,23639,4849,6516,5961,2004,7690,11768,2852,855,103114
総数,1,13200,市部,-1112,-1338,5278,8795,553,981,428,-802,865,1483,-26,-60,15045
総数,2,13300,郡部,-74,3,-61,-4,-13,20,35,-10,-14,11,-3,-4,-114
総数,2,13350,島部,-60,-10,-572,483,7,10,-30,0,-23,-10,-26,-51,-282
総数,1,13100,区部,4079,969,31932,23639,4849,6516,5961,2004,7690,11768,2852,855,103114
総数,4,13101,千代田区,150,124,328,432,80,163,123,122,62,153,-27,-7,1703
総数,4,13102,中央区,368,279,709,565,409,300,218,644,170,493,413,339,4907
総数,4,13103,港区,501,429,699,656,204,20,264,295,251,233,94,-254,3392
総数,4,13104,新宿区,330,-424,1169,1953,-48,8,470,-87,1241,1924,92,-147,6481
総数,4,13105,文京区,227,155,747,742,151,89,230,-42,290,150,198,-38,2899
総数,4,13106,台東区,232,-57,393,767,-19,41,95,-201,214,516,11,-38,1954
総数,4,13107,墨田区,23,-14,832,555,259,446,114,34,271,186,199,395,3300
総数,4,13108,江東区,244,-217,4034,1199,439,379,468,1,233,285,368,116,7549
総数,4,13109,品川区,157,194,1304,479,332,1030,431,376,387,695,471,190,6046
総数,4,13110,目黒区,85,8,743,351,-10,244,-103,32,362,169,-8,-93,1780
総数,4,13111,大田区,26,-73,2499,1063,434,222,249,-133,258,462,-261,-144,4602
総数,4,13112,世田谷区,345,33,3123,1825,373,287,241,28,1146,953,304,299,8957
総数,4,13113,渋谷区,160,123,800,710,96,123,233,12,278,184,203,-32,2890
総数,4,13114,中野区,144,70,1691,1578,45,404,143,-3,456,587,13,-19,5109
総数,4,13115,杉並区,234,-35,2634,1289,233,283,292,192,358,544,-40,139,6123
総数,4,13116,豊島区,321,-89,1584,1979,171,161,477,-84,201,814,-134,-269,5132
総数,4,13117,北区,195,5,570,715,307,286,170,96,131,551,-7,149,3168
