国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成27年中の転出者数
総数,0,13000,総数,30113,35713,62500,43634,33107,34896,34466,34561,37821,38941,34222,35456,455430
総数,1,13100,区部,22447,26079,43934,32075,24493,26172,25821,25335,28276,29392,25552,26783,336359
総数,1,13200,市部,7532,9516,17814,11310,8482,8608,8517,9049,9413,9433,8548,8544,116766
総数,2,13300,郡部,100,89,199,140,103,83,102,128,103,89,101,90,1327
総数,2,13350,島部,34,29,553,109,29,33,26,49,29,27,21,39,978
総数,1,13100,区部,22447,26079,43934,32075,24493,26172,25821,25335,28276,29392,25552,26783,336359
総数,4,13101,千代田区,206,261,511,424,283,258,283,293,368,416,358,329,3990
総数,4,13102,中央区,484,559,1103,732,543,618,593,560,678,667,542,558,7637
総数,4,13103,港区,950,1027,1786,1376,1049,1231,1115,1151,1306,1299,1055,1157,14502
総数,4,13104,新宿区,1559,1639,2972,2372,1607,1853,1763,1648,1994,2217,1747,1820,23191
総数,4,13105,文京区,689,792,1488,1084,736,737,688,807,843,915,727,773,10279
総数,4,13106,台東区,621,733,1090,929,648,753,795,743,790,876,842,857,9677
総数,4,13107,墨田区,785,794,1217,931,754,754,810,749,842,880,744,772,10032
総数,4,13108,江東区,1007,1166,2009,1477,1199,1278,1155,1334,1377,1370,1180,1230,15782
総数,4,13109,品川区,967,1173,1886,1304,1078,1105,1114,1088,1276,1184,1118,1268,14561
総数,4,13110,目黒区,974,1152,1743,1266,1010,1043,1134,1147,1155,1225,1186,1201,14236
総数,4,13111,大田区,1142,1311,2202,1398,1064,1273,1271,1201,1386,1300,1156,1211,15915
総数,4,13112,世田谷区,2070,2306,4019,2713,2193,2243,2210,2323,2434,2561,2255,2201,29528
総数,4,13113,渋谷区,967,1071,1545,1254,1012,1116,1045,1128,1203,1295,1056,1110,13802
総数,4,13114,中野区,1211,1383,2183,1741,1386,1387,1458,1344,1467,1646,1480,1501,18187
総数,4,13115,杉並区,1562,1915,2997,2202,1786,1827,1852,1748,2028,1947,1870,1998,23732
総数,4,13116,豊島区,1119,1238,1948,1648,1296,1366,1302,1262,1377,1625,1366,1405,16952
総数,4,13117,北区,766,903,1619,1198,799,973,900,878,995,1116,867,929,11943
総数,4,13118,荒川区,572,742,1033,887,654,641,647,622,677,721,605,677,8478
総数,4,13119,板橋区,975,1177,2100,1450,1217,1120,1232,1105,1266,1275,1164,1254,15335
総数,4,13120,練馬区,1310,1636,2894,2137,1476,1587,1493,1529,1707,1684,1494,1675,20622
総数,4,13121,足立区,873,977,1811,1257,852,968,933,918,1080,1064,891,1005,12629
総数,4,13122,葛飾区,618,842,1395,1011,773,858,845,741,854,880,763,751,10331
総数,4,13123,江戸川区,1020,1282,2383,1284,1078,1183,1183,1016,1173,1229,1086,1101,15018
総数,1,13200,市部,7532,9516,17814,11310,8482,8608,8517,9049,9413,9433,8548,8544,116766
