地域階層,地域コード,地域,平成28年1月1日現在人口,平成27年中の動き／人口増減,平成27年中の動き／社会増減（他県との移動増減）,平成27年中の動き／社会増減（他県との移動増減）／転入数,平成27年中の動き／社会増減（他県との移動増減）／転出数,平成27年中の動き／都内間の移動増減,平成27年中の動き／都内間の移動増減／転入数,平成27年中の動き／都内間の移動増減／転出数,平成27年中の動き／自然増減,平成27年中の動き／自然増減／出生数,平成27年中の動き／自然増減／死亡数,平成27年中の動き／その他の増減,（別掲）人口増減のうち日本人増減,面積(km2),人口密度(1km2当たり）,平成27年1月1日現在人口 
0,13000,総数,13507347,117763,82479,454043,371564,-520,454910,455430,3363,116573,113210,32441,86163,2190.9,6165,13389584
1,13100,区部,9256625,103114,65925,347287,281362,2296,338655,336359,6302,83449,77147,28591,75335,626.7,14770,9153511
1,13200,市部,4166760,15045,16569,105391,88822,-3234,113532,116766,-2145,32575,34720,3855,11316,784.2,5313,4151715
2,13300,郡部,57673,-114,54,653,599,418,1745,1327,-562,353,915,-24,-194,375.86,153,57787
2,13350,島部,26289,-282,-69,712,781,0,978,978,-232,196,428,19,-294,404.13,65,26571
1,13100,区部,9256625,103114,65925,347287,281362,2296,338655,336359,6302,83449,77147,28591,75335,626.7,14770,9153511
4,13101,千代田区,55131,1703,1054,3069,2015,179,4169,3990,205,599,394,265,1633,11.66,4728,53428
4,13102,中央区,144440,4907,2523,7315,4792,978,8615,7637,1082,1983,901,324,4513,10.21,14147,139533
4,13103,港区,222080,3392,2707,10496,7789,-1340,13162,14502,1482,3118,1636,543,3326,20.37,10902,218688
4,13104,新宿区,341009,6481,3224,16864,13640,-1794,21397,23191,-29,2612,2641,5080,3912,18.22,18716,334528
4,13105,文京区,218771,2899,2389,9089,6700,-368,9911,10279,414,2034,1620,464,2262,11.29,19377,215872
4,13106,台東区,186895,1954,1416,7679,6263,-853,8824,9677,-357,1619,1976,1748,1168,10.11,18486,184941
4,13107,墨田区,259204,3300,2391,10111,7720,-119,9913,10032,147,2562,2415,881,2492,13.77,18824,255904
4,13108,江東区,490921,7549,4321,17659,13338,1570,17352,15782,1183,5100,3917,475,5986,40.16,12224,483372
4,13109,品川区,380917,6046,3925,15964,12039,929,15490,14561,829,3830,3001,363,5689,22.84,16678,374871
4,13110,目黒区,277764,1780,1915,11109,9194,-1272,12964,14236,520,2577,2057,617,1391,14.67,18934,275984
4,13111,大田区,711623,4602,3986,28820,24834,-180,15735,15915,-91,6120,6211,887,3751,60.66,11731,707021
4,13112,世田谷区,908325,8957,6066,33335,27269,300,29828,29528,1609,8164,6555,982,7767,58.05,15647,899368
4,13113,渋谷区,217456,2890,2144,8954,6810,-130,13672,13802,601,2210,1609,275,2474,15.11,14392,214566
4,13114,中野区,324357,5109,3382,14069,10687,454,18641,18187,-34,2734,2768,1307,3520,15.59,20805,319248
4,13115,杉並区,563701,6123,5229,20953,15724,-741,22991,23732,421,4841,4420,1214,4746,34.06,16550,557578
4,13116,豊島区,299587,5132,2831,13595,10764,-446,16506,16952,-202,2206,2408,2949,2208,13.01,23027,294455
4,13117,北区,341970,3168,1407,13358,11951,384,12327,11943,-628,2892,3520,2005,1564,20.61,16592,338802
4,13118,荒川区,209899,2184,1245,7012,5767,14,8492,8478,-91,1909,2000,1016,1487,10.16,20659,207715
