国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成27年中の転入者数
総数,0,13000,総数,25488,28319,99588,64889,30367,29385,29876,29971,32216,32556,24924,26464,454043
総数,1,13100,区部,19992,21906,74743,46906,23492,23074,23314,23270,25338,25180,19519,20553,347287
総数,1,13200,市部,5435,6318,24605,17723,6774,6215,6486,6571,6812,7286,5327,5839,105391
総数,2,13300,郡部,39,61,89,77,59,45,38,71,40,53,52,29,653
総数,2,13350,島部,22,34,151,183,42,51,38,59,26,37,26,43,712
総数,1,13100,区部,19992,21906,74743,46906,23492,23074,23314,23270,25338,25180,19519,20553,347287
総数,4,13101,千代田区,184,163,625,558,190,172,199,224,213,196,153,192,3069
総数,4,13102,中央区,478,456,1420,912,546,466,434,538,528,612,433,492,7315
総数,4,13103,港区,705,732,1967,1342,713,742,766,717,743,758,620,691,10496
総数,4,13104,新宿区,1007,976,3377,2250,1082,1050,1168,1178,1327,1422,960,1067,16864
総数,4,13105,文京区,541,568,2188,1420,590,528,547,572,606,531,489,509,9089
総数,4,13106,台東区,477,515,1306,939,542,557,516,472,632,654,531,538,7679
総数,4,13107,墨田区,632,658,1962,1249,745,745,653,687,784,690,638,668,10111
総数,4,13108,江東区,1012,1045,4503,2352,1124,1108,1212,1083,1228,1124,970,898,17659
総数,4,13109,品川区,893,1029,3147,1859,1196,1310,1062,1136,1218,1197,966,951,15964
総数,4,13110,目黒区,635,748,2284,1518,701,760,710,841,814,778,634,686,11109
総数,4,13111,大田区,1605,1757,6561,3630,1976,1860,2118,1894,2170,2112,1531,1606,28820
総数,4,13112,世田谷区,1889,2070,7550,4695,2149,2064,2141,2152,2400,2454,1747,2024,33335
総数,4,13113,渋谷区,548,564,1667,1252,603,612,650,598,675,680,567,538,8954
総数,4,13114,中野区,757,905,3076,2065,915,952,873,953,1037,981,747,808,14069
総数,4,13115,杉並区,1206,1304,4921,3077,1413,1324,1261,1356,1420,1414,1047,1210,20953
総数,4,13116,豊島区,841,882,2828,1817,999,879,923,830,978,1093,782,743,13595
総数,4,13117,北区,799,857,2594,1936,895,975,933,915,907,1018,755,774,13358
総数,4,13118,荒川区,423,438,1307,958,487,469,468,473,543,560,421,465,7012
総数,4,13119,板橋区,1030,1271,4549,2661,1330,1331,1313,1295,1471,1365,1089,1183,19888
総数,4,13120,練馬区,1268,1420,5418,3077,1566,1367,1599,1684,1636,1594,1237,1323,23189
総数,4,13121,足立区,1041,1267,3854,2433,1338,1312,1287,1267,1362,1431,1135,1160,18887
総数,4,13122,葛飾区,702,807,2539,1704,880,916,860,839,961,894,739,759,12600
総数,4,13123,江戸川区,1319,1474,5100,3202,1512,1575,1621,1566,1685,1622,1328,1268,23272
総数,1,13200,市部,5435,6318,24605,17723,6774,6215,6486,6571,6812,7286,5327,5839,105391
総数,4,13201,八王子市,622,673,3024,2883,805,758,744,815,785,818,635,746,13308
総数,4,13202,立川市,221,229,1116,729,299,229,359,288,316,317,280,236,4619
総数,4,13203,武蔵野市,247,317,1207,822,299,274,306,298,303,323,213,271,4880
総数,4,13204,三鷹市,280,325,1501,833,366,318,335,316,359,301,280,288,5502
総数,4,13205,青梅市,137,157,395,228,131,151,148,117,129,138,103,112,1946
総数,4,13206,府中市,356,348,2026,1698,628,383,376,455,444,789,300,331,8134
総数,4,13207,昭島市,84,114,415,301,91,109,119,89,133,137,114,102,1808
総数,4,13208,調布市,332,406,1807,1102,514,474,431,449,480,465,347,343,7150
総数,4,13209,町田市,750,892,2348,1640,821,860,891,888,924,886,787,884,12571
総数,4,13210,小金井市,223,280,988,701,220,225,289,237,271,293,194,222,4143
総数,4,13211,小平市,283,373,1411,1095,318,254,238,312,288,279,211,240,5302
総数,4,13212,日野市,184,241,1234,767,273,277,226,286,293,286,207,227,4501
総数,4,13213,東村山市,153,164,673,450,180,179,164,181,177,208,162,160,2851
総数,4,13214,国分寺市,174,224,1059,659,276,230,194,228,256,211,183,176,3870
総数,4,13215,国立市,108,122,532,341,127,149,130,121,152,151,94,103,2130
総数,4,13218,福生市,45,64,250,124,59,47,84,62,60,71,77,48,991
総数,4,13219,狛江市,134,177,620,334,163,155,179,185,162,229,137,178,2653
総数,4,13220,東大和市,50,56,202,145,71,77,90,78,75,72,50,80,1046
総数,4,13221,清瀬市,123,118,322,233,102,117,138,150,100,112,102,120,1737
総数,4,13222,東久留米市,139,152,450,484,142,131,192,155,205,141,118,148,2457
総数,4,13223,武蔵村山市,64,60,189,191,80,67,73,95,50,102,78,90,1139
総数,4,13224,多摩市,186,219,694,440,211,176,182,165,210,288,146,199,3116
総数,4,13225,稲城市,176,183,579,368,142,193,198,175,168,222,137,154,2695
総数,4,13227,羽村市,64,57,165,252,64,66,59,80,72,64,46,46,1035
総数,4,13228,あきる野市,38,52,211,124,53,56,60,52,65,54,41,59,865
総数,4,13229,西東京市,262,315,1187,779,339,260,281,294,335,329,285,276,4942
総数,1,13550,町村部,61,95,240,260,101,96,76,130,66,90,78,72,1365
総数,2,13300,郡部,39,61,89,77,59,45,38,71,40,53,52,29,653
総数,4,13303,瑞穂町,24,19,57,46,49,34,29,63,21,34,34,11,421
総数,4,13305,日の出町,6,31,14,20,9,9,6,5,12,16,16,15,159
総数,4,13307,檜原村,7,2,2,2,1,0,0,3,3,0,2,0,22
総数,4,13308,奥多摩町,2,9,16,9,0,2,3,0,4,3,0,3,51
総数,2,13350,島部,22,34,151,183,42,51,38,59,26,37,26,43,712
総数,3,13360,大島支庁,14,10,66,80,15,13,12,26,7,14,11,16,284
総数,4,13361,大島町,8,8,39,48,6,8,4,14,6,8,7,13,169
