国籍区分,地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成27年中の出生数
総数,0,13000,総数,10517,8675,9430,9316,9468,10067,10307,9832,9789,10177,9587,9408,116573
総数,1,13100,区部,7543,6121,6768,6646,6829,7190,7346,7100,6948,7318,6884,6756,83449
総数,1,13200,市部,2933,2497,2610,2627,2599,2833,2915,2684,2792,2816,2660,2609,32575
総数,2,13300,郡部,27,36,30,29,25,24,31,32,30,28,33,28,353
総数,2,13350,島部,14,21,22,14,15,20,15,16,19,15,10,15,196
総数,1,13100,区部,7543,6121,6768,6646,6829,7190,7346,7100,6948,7318,6884,6756,83449
総数,4,13101,千代田区,48,49,46,56,50,53,57,45,44,53,50,48,599
総数,4,13102,中央区,143,177,171,179,188,175,165,152,155,151,176,151,1983
総数,4,13103,港区,286,224,238,267,241,303,274,268,248,250,242,277,3118
総数,4,13104,新宿区,219,202,236,231,189,205,230,208,234,249,229,180,2612
総数,4,13105,文京区,189,164,153,169,173,162,184,184,142,192,160,162,2034
総数,4,13106,台東区,150,113,123,140,130,138,150,136,136,134,140,129,1619
総数,4,13107,墨田区,225,177,206,192,224,232,237,217,226,228,186,212,2562
総数,4,13108,江東区,456,384,426,377,439,434,432,411,453,456,400,432,5100
総数,4,13109,品川区,348,298,316,285,298,301,347,341,320,342,302,332,3830
総数,4,13110,目黒区,256,191,209,198,212,236,208,188,224,247,224,184,2577
総数,4,13111,大田区,600,453,509,493,486,507,494,532,512,541,498,495,6120
総数,4,13112,世田谷区,797,595,670,663,674,664,740,694,654,687,704,622,8164
総数,4,13113,渋谷区,185,150,159,188,147,202,210,199,216,193,179,182,2210
総数,4,13114,中野区,241,186,215,241,220,261,224,230,203,248,222,243,2734
総数,4,13115,杉並区,423,370,374,372,382,430,456,408,397,412,417,400,4841
総数,4,13116,豊島区,191,141,186,181,191,192,184,210,177,191,182,180,2206
総数,4,13117,北区,254,177,187,218,249,263,240,293,272,234,262,243,2892
総数,4,13118,荒川区,168,131,168,149,166,161,153,180,141,190,161,141,1909
総数,4,13119,板橋区,447,358,337,335,404,404,416,380,398,402,392,395,4668
総数,4,13120,練馬区,551,424,553,474,519,549,574,540,520,576,456,505,6241
