国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成27年中の転入者数
総数,0,13000,総数,29609,34383,60582,46001,33121,35214,35198,34247,36829,39537,34003,36186,454910
総数,1,13100,区部,22304,25693,43902,33137,24433,26399,26461,25314,27749,30303,25594,27366,338655
総数,1,13200,市部,7175,8527,16333,12224,8519,8649,8527,8719,8899,9050,8250,8660,113532
総数,2,13300,郡部,113,132,187,162,132,139,184,136,150,141,131,138,1745
総数,2,13350,島部,17,31,160,478,37,27,26,78,31,43,28,22,978
総数,1,13100,区部,22304,25693,43902,33137,24433,26399,26461,25314,27749,30303,25594,27366,338655
総数,4,13101,千代田区,278,329,532,488,268,290,276,332,351,441,289,295,4169
総数,4,13102,中央区,563,519,1033,811,610,664,630,912,679,771,688,735,8615
総数,4,13103,港区,971,1044,1446,1199,963,1057,1145,1037,1088,1201,893,1118,13162
総数,4,13104,新宿区,1323,1399,2488,2100,1454,1552,1653,1614,2024,2520,1653,1617,21397
総数,4,13105,文京区,747,739,1460,1079,715,667,757,687,783,802,734,741,9911
総数,4,13106,台東区,698,676,999,923,616,653,700,620,705,825,721,688,8824
総数,4,13107,墨田区,623,753,1176,859,746,798,785,692,804,873,822,982,9913
総数,4,13108,江東区,1037,1167,3474,1657,1271,1271,1346,1187,1255,1251,1211,1225,17352
総数,4,13109,品川区,933,1151,1791,1328,1041,1543,1245,1200,1342,1370,1235,1311,15490
総数,4,13110,目黒区,932,1000,1579,1161,887,999,1033,955,1101,1152,1053,1112,12964
総数,4,13111,大田区,984,1276,2124,1568,1187,1274,1284,1164,1220,1231,1173,1250,15735
総数,4,13112,世田谷区,1981,2261,3868,2680,2195,2173,2173,2255,2806,2733,2309,2394,29828
総数,4,13113,渋谷区,986,1074,1633,1263,1003,1108,1071,1000,1057,1236,1122,1119,13672
総数,4,13114,中野区,1221,1362,2279,2144,1294,1508,1496,1336,1466,1694,1382,1459,18641
総数,4,13115,杉並区,1463,1738,3038,2205,1665,1632,1749,1839,1866,2044,1716,2036,22991
総数,4,13116,豊島区,1073,1175,2076,1958,1355,1419,1242,1227,1235,1452,1101,1193,16506
総数,4,13117,北区,865,952,1414,1061,962,959,978,995,1021,1115,913,1092,12327
総数,4,13118,荒川区,507,615,1085,833,614,641,659,645,680,859,635,719,8492
総数,4,13119,板橋区,1217,1350,2149,1721,1191,1429,1377,1136,1415,1462,1277,1529,17253
総数,4,13120,練馬区,1331,1665,2802,2066,1464,1544,1729,1516,1572,1830,1650,1756,20925
総数,4,13121,足立区,877,1348,1967,1682,1028,1126,1069,1018,1108,1172,1006,1086,14487
総数,4,13122,葛飾区,760,902,1640,1057,822,926,851,837,875,924,953,782,11329
総数,4,13123,江戸川区,934,1198,1849,1294,1082,1166,1213,1110,1296,1345,1058,1127,14672
総数,1,13200,市部,7175,8527,16333,12224,8519,8649,8527,8719,8899,9050,8250,8660,113532
総数,4,13201,八王子市,563,711,1318,1159,735,767,664,897,896,734,733,747,9924
総数,4,13202,立川市,375,476,817,623,457,429,503,512,517,489,437,507,6142
総数,4,13203,武蔵野市,434,424,1036,549,440,448,432,534,448,480,467,491,6183
総数,4,13204,三鷹市,457,494,1128,682,509,462,594,516,513,530,489,576,6950
総数,4,13205,青梅市,211,244,427,305,220,248,191,261,209,232,256,220,3024
総数,4,13206,府中市,514,610,1147,1060,514,654,556,524,555,596,517,508,7755
総数,4,13207,昭島市,218,220,538,339,286,296,200,248,268,252,259,221,3345
総数,4,13208,調布市,528,571,1100,940,796,741,724,655,636,648,588,594,8521
総数,4,13209,町田市,247,300,674,538,316,328,358,356,389,370,287,344,4507
総数,4,13210,小金井市,297,367,635,409,341,298,319,305,365,353,363,378,4430
総数,4,13211,小平市,406,531,877,757,470,502,502,430,461,472,412,533,6353
総数,4,13212,日野市,340,427,1190,528,389,381,389,443,330,412,373,372,5574
総数,4,13213,東村山市,249,263,448,401,278,292,291,275,317,350,310,315,3789
総数,4,13214,国分寺市,256,384,660,413,312,313,321,370,304,364,315,334,4346
総数,4,13215,国立市,127,189,469,389,226,213,209,230,263,253,240,212,3020
総数,4,13218,福生市,157,165,201,188,171,136,153,158,155,156,160,148,1948
総数,4,13219,狛江市,152,249,372,232,209,200,239,208,234,288,234,249,2866
総数,4,13220,東大和市,145,208,311,249,153,173,208,136,153,178,121,150,2185
総数,4,13221,清瀬市,115,107,241,163,123,147,135,163,163,167,116,158,1798
総数,4,13222,東久留米市,195,209,466,453,245,218,221,188,401,258,198,192,3244
総数,4,13223,武蔵村山市,156,160,226,213,148,126,130,117,148,166,174,152,1916
総数,4,13224,多摩市,308,357,525,428,270,305,333,222,294,383,296,286,4007
総数,4,13225,稲城市,132,134,324,257,140,200,133,153,130,149,149,132,2033
総数,4,13227,羽村市,83,103,156,173,142,123,101,107,112,119,138,119,1476
総数,4,13228,あきる野市,118,166,254,183,138,125,151,190,142,131,138,180,1916
総数,4,13229,西東京市,392,458,793,593,491,524,470,521,496,520,480,542,6280
総数,1,13550,町村部,130,163,347,640,169,166,210,214,181,184,159,160,2723
総数,2,13300,郡部,113,132,187,162,132,139,184,136,150,141,131,138,1745
総数,4,13303,瑞穂町,59,59,78,86,77,83,95,82,106,90,72,66,953
