区分,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
建築物に係る解体工事,445,444,489,428,458
建築物に係る新築等工事,112,105,115,104,85
建築物以外に係る工事等,206,192,193,202,239
合計,763,741,797,734,782
