区分,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
大規模建築物,12,19,8,15,11
宅地開発,6,7,6,12,11
小規模集合住宅（平成24年6月まで）,42,6,,,
合計,60,32,14,27,22
