区分,,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度
違反件数,,55,42,19,22,45
違反事項別,確認申請手続,32,29,14,15,36
違反事項別,建ぺい率,24,14,15,0,0
違反事項別,道路斜線制限,7,9,7,0,0
違反事項別,構造(防火･準防火),4,0,1,9,31
違反事項別,敷地と道路との関係,10,3,1,1,1
違反事項別,道路内建築制限,3,3,0,2,7
違反事項別,容積率制限,1,1,0,1,0
違反事項別,安全条例の各種制限,0,0,0,11,22
違反事項別,その他,22,85,45,38,25
,,,,,,
,,,,,,
,,,,,,
,,,,,,
